"","GO0042277_peptide_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.325012645173909
"Q5VUJ6_IDR_1_54",0.529877582917623
"Q5VUJ6_IDR_308_649",0.470122417082377
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.503238933203602
"Q5VV16_IDR_235_409",0.496761066796397
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.472841021089934
"Q5VV42_IDR_499_545",0.527158978910066
"Q5VWN6_IDR_1918_1981",0.191362532284076
"Q5VWN6_IDR_1993_2150",0.185691867064295
"Q5VWN6_IDR_803_1879",0.198369843573803
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.347601920887273
"Q5VWQ0_IDR_63_351",0.302697856480835
"Q5VWQ0_IDR_708_802",0.349700222631891
"Q5VWQ8_IDR_1141_1189",0.316729597374068
"Q5VWQ8_IDR_1_142",0.334473464469845
"Q5VWQ8_IDR_654_1098",0.348796938156086
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.193895359651922
"Q5VZL5_IDR_1_334",0.202244282373716
"Q5VZL5_IDR_640_677",0.230814387389353
"Q5VZL5_IDR_851_997",0.189988373432411
"Q5VZL5_IDR_999_1200",0.183057597152597
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.169551304222028
"Q5VZP5_IDR_45_103",0.168412708965491
"Q5XX13_IDR_168_231",0.528514381408377
"Q5XX13_IDR_693_978",0.471485618591623
"Q5XXA6_IDR_1_48",0.303557032101809
"Q5XXA6_IDR_74_121",0.288360679007201
"Q5XXA6_IDR_945_986",0.40808228889099
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.49034230858286
"Q63HK3_IDR_383_743",0.50965769141714
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.345989655653663
"Q66K14_IDR_944_993",0.329671961286145
"Q66K41_IDR_1_291",0.514240428123229
"Q66K41_IDR_304_345",0.485759571876771
"Q66K64_IDR_1_37",0.492704679988526
"Q66K64_IDR_275_383",0.507295320011474
"Q66K66_IDR_241_349",0.472193905706479
"Q66K66_IDR_32_81",0.527806094293521
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.22959165147957
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.502009650674828
"Q8IU57_IDR_479_520",0.497990349325172
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.503583587219978
"Q8IU81_IDR_56_237",0.496416412780022
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.494060895807331
"Q8IUC6_IDR_634_673",0.505939104192669
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.266932568231253
"Q8IUD2_IDR_621_730",0.245022738805657
"Q8IUD2_IDR_764_839",0.260672287624385
"Q8IUD2_IDR_926_1072",0.227372405338704
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.50987546157119
"Q8IUE0_IDR_1_55",0.49012453842881
"Q8IUE1_IDR_116_241",0.517867767464415
"Q8IUE1_IDR_1_55",0.482132232535585
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.346605957253994
"Q8IUG5_IDR_1_504",0.332991875422906
"Q8IUW5_IDR_126_223",0.199581732431263
"Q8IUW5_IDR_1_54",0.214311398115418
"Q8IUW5_IDR_234_271",0.247918740429169
"Q8IUW5_IDR_91_123",0.33818812902415
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.397844029468547
"Q8IUX7_IDR_1099_1138",0.321007166950679
"Q8IUX7_IDR_44_388",0.281148803580773
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.502092293367473
"Q8IUY3_IDR_182_321",0.497907706632527
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.502666762417879
"Q8IV04_IDR_352_446",0.497333237582121
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.517679348599118
"Q8IV31_IDR_62_184",0.482320651400882
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.250876941850573
"Q8IVE3_IDR_1453_1493",0.2550175700589
"Q8IVE3_IDR_36_69",0.251170061896134
"Q8IVE3_IDR_71_132",0.242935426194393
"Q8IVF1_IDR_14_81",0.204697956642489
"Q8IVF1_IDR_232_366",0.204984315740737
"Q8IVF1_IDR_407_522",0.200003046608689
"Q8IVF1_IDR_525_878",0.189082058859806
"Q8IVF1_IDR_83_205",0.201232622148279
"Q8IVF2_IDR_1_114",0.353152319302317
"Q8IVF2_IDR_1794_5795",0.322080743881636
"Q8IVF2_IDR_195_1792",0.324766936816047
"Q8IVF4_IDR_156_187",0.484267752444264
"Q8IVF4_IDR_1_66",0.515732247555736
"Q8IVF5_IDR_1017_1093",0.238024196207011
"Q8IVF5_IDR_1461_1667",0.254090333375214
"Q8IVF5_IDR_1_498",0.231052025513516
"Q8IVF5_IDR_749_804",0.276833444904258
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.336635573116962
"Q8IVW6_IDR_319_491",0.323510544529183
"Q8IVW6_IDR_516_561",0.339853882353855
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.366873840257823
"Q8IW35_IDR_575_628",0.31719990010274
"Q8IW35_IDR_633_854",0.315926259639437
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.486837586595107
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.499345076972828
"Q8IWE2_IDR_404_437",0.500654923027172
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.502260832856892
"Q8IWF9_IDR_234_348",0.497739167143108
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.107937605964183
"Q8IWI9_IDR_1340_1371",0.115356413600185
"Q8IWI9_IDR_1398_1903",0.110485638125551
"Q8IWI9_IDR_1905_2856",0.113018749666953
"Q8IWI9_IDR_261_649",0.107591126161747
"Q8IWI9_IDR_2974_3016",0.110303676860299
"Q8IWI9_IDR_3020_3065",0.114329636793127
"Q8IWI9_IDR_681_751",0.106457826990031
"Q8IWI9_IDR_753_1079",0.114519325837924
"Q8IWJ2_IDR_1_69",0.335796664091656
"Q8IWT3_IDR_1658_1690",0.239179864127139
"Q8IWT3_IDR_2437_2517",0.27959087763198
"Q8IWT6_IDR_180_231",0.402643234678107
"Q8IWT6_IDR_62_95",0.597356765321893
"Q8IWU2_IDR_1_101",0.235440718472702
"Q8IWU2_IDR_1377_1415",0.254998403246162
"Q8IWU2_IDR_1426_1459",0.255462563813367
"Q8IWU2_IDR_557_1314",0.254098314467769
"Q8IWU5_IDR_1_40",0.230279631075528
"Q8IWU5_IDR_557_594",0.323987081433809
"Q8IWU5_IDR_648_718",0.221571553845126
"Q8IWU5_IDR_824_860",0.224161733645537
"Q8IWU6_IDR_1_37",0.25564643149279
"Q8IWU6_IDR_510_543",0.253384898779397
"Q8IWU6_IDR_561_610",0.252257740998466
"Q8IWU6_IDR_666_738",0.238710928729347
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.32179394859708
"Q8IWV1_IDR_178_270",0.360061331257825
"Q8IWV1_IDR_295_398",0.318144720145095
"Q8IX03_IDR_790_917",0.239733985344532
"Q8IX03_IDR_945_991",0.262238468089649
"Q8IX07_IDR_1_83",0.332784359448558
"Q8IX07_IDR_194_247",0.348510925698152
"Q8IX07_IDR_266_972",0.31870471485329
"Q8IX12_IDR_212_357",0.190001869472979
"Q8IX12_IDR_599_722",0.208507498115252
"Q8IX12_IDR_793_917",0.191014747700284
"Q8IX12_IDR_9_144",0.19989900320881
"Q8IX12_IDR_981_1021",0.210576881502674
"Q8IX15_IDR_125_364",0.240564499374151
"Q8IX15_IDR_1_38",0.250192621248973
"Q8IX15_IDR_420_461",0.253125027737085
"Q8IX15_IDR_504_550",0.256117851639791
"Q8IX18_IDR_1_50",0.499813686102534
"Q8IX18_IDR_706_779",0.500186313897466
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.496780123372629
"Q8IX29_IDR_239_292",0.503219876627371
"Q8IXP5_IDR_108_216",0.501327418127126
"Q8IXP5_IDR_1_106",0.498672581872874
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.489812793701475
"Q8IXQ8_IDR_211_264",0.510187206298526
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.289629926989996
"Q8IXT5_IDR_485_921",0.307579118109464
"Q8IXT5_IDR_89_151",0.402790954900539
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.350036693243349
"Q8IXW0_IDR_176_344",0.328266194474257
"Q8IXW0_IDR_466_587",0.321697112282394
"Q8IXW5_IDR_1_41",0.482554356957349
"Q8IXW5_IDR_171_324",0.517445643042651
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.507700632791108
"Q8IY63_IDR_493_952",0.492299367208892
"Q8IY67_IDR_1_35",0.527812928829447
"Q8IY67_IDR_349_606",0.472187071170553
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.510095292563341
"Q8IY84_IDR_7_44",0.489904707436659
"Q8IY85_IDR_375_441",0.515153259496696
"Q8IY85_IDR_77_146",0.484846740503304
"Q8IY92_IDR_1_50",0.172190082640972
"Q8IY92_IDR_377_470",0.154499355685762
"Q8IY92_IDR_558_613",0.170783720527759
"Q8IY92_IDR_630_669",0.167785571597505
"Q8IY92_IDR_64_289",0.173606303636491
"Q8IY92_IDR_824_1750",0.161134965911511
"Q8IYE1_IDR_684_715",0.515011539732957
"Q8IYF1_IDR_647_753",0.51515085253125
"Q8IYF1_IDR_79_458",0.48484914746875
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.372362852400024
"Q8IYH5_IDR_573_649",0.309825188631964
"Q8IYH5_IDR_714_786",0.317811958968012
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.496573112294356
"Q8IYI6_IDR_287_328",0.503426887705644
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.247262558346406
"Q8IYJ0_IDR_112_175",0.254078019859392
"Q8IYJ0_IDR_204_238",0.246413785527337
"Q8IYJ0_IDR_240_282",0.252245636266865
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.508896223747595
"Q8IYK4_IDR_584_626",0.491103776252405
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.167875810341439
"Q8IYW2_IDR_1347_1410",0.158626817502182
"Q8IYW2_IDR_1985_2022",0.168408656936994
"Q8IYW2_IDR_2287_2320",0.164377168629314
"Q8IYW2_IDR_2540_2579",0.17458134552839
"Q8IYW2_IDR_2630_2661",0.166130201061682
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.539320671283673
"Q8IZ41_IDR_77_124",0.460679328716327
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.343185307377506
"Q8IZ63_IDR_360_422",0.324132050048587
"Q8IZ63_IDR_87_332",0.332682642573907
"Q8IZ69_IDR_1_56",0.466621562157554
"Q8IZ69_IDR_591_625",0.533378437842446
"Q8IZ73_IDR_31_122",0.472444226793581
"Q8IZ73_IDR_421_495",0.527555773206419
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.261761826304803
"Q8IZA0_IDR_201_244",0.508752084740516
"Q8IZA0_IDR_957_1015",0.229486088954681
"Q8IZA3_IDR_114_346",0.473430621053376
"Q8IZA3_IDR_1_50",0.526569378946624
"Q8IZC4_IDR_185_221",0.324789922554048
"Q8IZC4_IDR_409_445",0.355033047409322
"Q8IZC4_IDR_476_603",0.32017703003663
"Q8IZC6_IDR_1_36",0.506379051393195
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.51110474334389
"Q8IZJ3_IDR_1758_1835",0.48889525665611
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.489152156126192
"Q8IZL8_IDR_637_1130",0.510847843873808
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.474766331449983
"Q8IZN3_IDR_323_488",0.525233668550017
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.493142570308769
"Q8IZP6_IDR_97_147",0.506857429691231
"Q8IZP7_IDR_1_118",0.49541118888277
"Q8IZP7_IDR_426_459",0.50458881111723
"Q8IZP9_IDR_249_371",0.240571813587804
"Q8IZP9_IDR_39_74",0.281078417985299
"Q8IZU9_IDR_701_778",0.51627350079624
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.188650483246189
"Q8IZX4_IDR_1220_1400",0.16683607522745
"Q8IZX4_IDR_1644_1826",0.16201582171648
"Q8IZX4_IDR_268_354",0.1543230738798
"Q8IZX4_IDR_536_578",0.171982900460507
"Q8IZX4_IDR_82_235",0.156191645469573
"Q8IZY2_IDR_1152_1210",0.486736856561346
"Q8IZY2_IDR_2105_2146",0.513263143438654
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.506582285766603
"Q8N0S2_IDR_260_351",0.493417714233397
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.241879627334483
"Q8N0U7_IDR_267_299",0.288323080553557
"Q8N0U7_IDR_37_122",0.232297596697234
"Q8N0U7_IDR_391_467",0.237499695414727
"Q8N103_IDR_1_81",0.411018688265146
"Q8N103_IDR_283_731",0.588981311734854
"Q8N108_IDR_1_176",0.520056722920555
"Q8N108_IDR_344_512",0.479943277079445
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.516869374608442
"Q8N114_IDR_203_240",0.483130625391558
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.511022189401136
"Q8N122_IDR_820_949",0.488977810598864
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.503290615960167
"Q8N128_IDR_68_213",0.496709384039833
"Q8N129_IDR_1_32",0.502481407564342
"Q8N129_IDR_202_248",0.497518592435658
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.336820206600014
"Q8N137_IDR_442_797",0.340688422012848
