"","GO0003729_mRNA_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.333917788767916
"Q5VUJ6_IDR_1_54",0.561390646255293
"Q5VUJ6_IDR_308_649",0.438609353744707
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.51753745666091
"Q5VV16_IDR_235_409",0.48246254333909
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.505609188408677
"Q5VV42_IDR_499_545",0.494390811591323
"Q5VWN6_IDR_1918_1981",0.168131837715697
"Q5VWN6_IDR_1993_2150",0.169758571154808
"Q5VWN6_IDR_803_1879",0.158727539018509
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.327000315851658
"Q5VWQ0_IDR_63_351",0.359938703564984
"Q5VWQ0_IDR_708_802",0.313060980583358
"Q5VWQ8_IDR_1141_1189",0.334397471307985
"Q5VWQ8_IDR_1_142",0.293315883172692
"Q5VWQ8_IDR_654_1098",0.372286645519324
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.192511466214927
"Q5VZL5_IDR_1_334",0.190797453919612
"Q5VZL5_IDR_640_677",0.232748097938895
"Q5VZL5_IDR_851_997",0.188006264055909
"Q5VZL5_IDR_999_1200",0.195936717870658
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.154056523667431
"Q5VZP5_IDR_45_103",0.156674128615669
"Q5XX13_IDR_168_231",0.509200490216744
"Q5XX13_IDR_693_978",0.490799509783256
"Q5XXA6_IDR_1_48",0.314403178069164
"Q5XXA6_IDR_74_121",0.328876097555362
"Q5XXA6_IDR_945_986",0.356720724375474
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.517427566469406
"Q63HK3_IDR_383_743",0.482572433530594
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.361726786547352
"Q66K14_IDR_944_993",0.328629652534787
"Q66K41_IDR_1_291",0.496356637573798
"Q66K41_IDR_304_345",0.503643362426202
"Q66K64_IDR_1_37",0.446026315719671
"Q66K64_IDR_275_383",0.553973684280329
"Q66K66_IDR_241_349",0.557806659646077
"Q66K66_IDR_32_81",0.442193340353923
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.255025305401251
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.490935368976788
"Q8IU57_IDR_479_520",0.509064631023212
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.47322202251696
"Q8IU81_IDR_56_237",0.52677797748304
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.475559096742275
"Q8IUC6_IDR_634_673",0.524440903257725
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.260478775033999
"Q8IUD2_IDR_621_730",0.241469926270501
"Q8IUD2_IDR_764_839",0.255025921685171
"Q8IUD2_IDR_926_1072",0.24302537701033
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.499575525142435
"Q8IUE0_IDR_1_55",0.500424474857565
"Q8IUE1_IDR_116_241",0.493066653733726
"Q8IUE1_IDR_1_55",0.506933346266274
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.269367089468351
"Q8IUG5_IDR_1_504",0.461207277813495
"Q8IUW5_IDR_126_223",0.238359020428807
"Q8IUW5_IDR_1_54",0.281931270686622
"Q8IUW5_IDR_234_271",0.244620566770381
"Q8IUW5_IDR_91_123",0.23508914211419
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.320033144882536
"Q8IUX7_IDR_1099_1138",0.310707236388763
"Q8IUX7_IDR_44_388",0.369259618728701
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.514459926394955
"Q8IUY3_IDR_182_321",0.485540073605045
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.483499553424818
"Q8IV04_IDR_352_446",0.516500446575182
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.478918291619757
"Q8IV31_IDR_62_184",0.521081708380243
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.26221797507469
"Q8IVE3_IDR_1453_1493",0.239060903540173
"Q8IVE3_IDR_36_69",0.25027552343057
"Q8IVE3_IDR_71_132",0.248445597954567
"Q8IVF1_IDR_14_81",0.198242510799955
"Q8IVF1_IDR_232_366",0.207091686034954
"Q8IVF1_IDR_407_522",0.207834905618722
"Q8IVF1_IDR_525_878",0.183834523942129
"Q8IVF1_IDR_83_205",0.20299637360424
"Q8IVF2_IDR_1_114",0.313142068760993
"Q8IVF2_IDR_1794_5795",0.351796965003763
"Q8IVF2_IDR_195_1792",0.335060966235244
"Q8IVF4_IDR_156_187",0.497547463670208
"Q8IVF4_IDR_1_66",0.502452536329792
"Q8IVF5_IDR_1017_1093",0.254987897909279
"Q8IVF5_IDR_1461_1667",0.243738679755347
"Q8IVF5_IDR_1_498",0.251498964719096
"Q8IVF5_IDR_749_804",0.249774457616278
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.331857253883434
"Q8IVW6_IDR_319_491",0.300661609329075
"Q8IVW6_IDR_516_561",0.367481136787492
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.324177173512067
"Q8IW35_IDR_575_628",0.344674471365401
"Q8IW35_IDR_633_854",0.331148355122532
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.49606454643209
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.475430290922593
"Q8IWE2_IDR_404_437",0.524569709077407
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.528062316814411
"Q8IWF9_IDR_234_348",0.47193768318559
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.123508218985668
"Q8IWI9_IDR_1340_1371",0.111314275678946
"Q8IWI9_IDR_1398_1903",0.113362865312191
"Q8IWI9_IDR_1905_2856",0.105342033194099
"Q8IWI9_IDR_261_649",0.110215140136702
"Q8IWI9_IDR_2974_3016",0.114105074661674
"Q8IWI9_IDR_3020_3065",0.112605820270699
"Q8IWI9_IDR_681_751",0.102455268863426
"Q8IWI9_IDR_753_1079",0.107091302896596
"Q8IWJ2_IDR_1_69",0.338352570738336
"Q8IWT3_IDR_1658_1690",0.239316903369633
"Q8IWT3_IDR_2437_2517",0.253088457945895
"Q8IWT6_IDR_180_231",0.496614058262882
"Q8IWT6_IDR_62_95",0.503385941737118
"Q8IWU2_IDR_1_101",0.243552054224445
"Q8IWU2_IDR_1377_1415",0.263066502232445
"Q8IWU2_IDR_1426_1459",0.268997031524018
"Q8IWU2_IDR_557_1314",0.224384412019091
"Q8IWU5_IDR_1_40",0.222310600434766
"Q8IWU5_IDR_557_594",0.239130745339276
"Q8IWU5_IDR_648_718",0.27874995926746
"Q8IWU5_IDR_824_860",0.259808694958498
"Q8IWU6_IDR_1_37",0.220789243468141
"Q8IWU6_IDR_510_543",0.297544943073611
"Q8IWU6_IDR_561_610",0.22756666502418
"Q8IWU6_IDR_666_738",0.254099148434067
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.318886559380302
"Q8IWV1_IDR_178_270",0.341616498570284
"Q8IWV1_IDR_295_398",0.339496942049413
"Q8IX03_IDR_790_917",0.26967422469833
"Q8IX03_IDR_945_991",0.252751262479872
"Q8IX07_IDR_1_83",0.311082390713326
"Q8IX07_IDR_194_247",0.301098929733758
"Q8IX07_IDR_266_972",0.387818679552916
"Q8IX12_IDR_212_357",0.208654959086045
"Q8IX12_IDR_599_722",0.183290440734231
"Q8IX12_IDR_793_917",0.227122428784431
"Q8IX12_IDR_9_144",0.195296506251935
"Q8IX12_IDR_981_1021",0.185635665143359
"Q8IX15_IDR_125_364",0.233305310536006
"Q8IX15_IDR_1_38",0.259192152287571
"Q8IX15_IDR_420_461",0.261494263317354
"Q8IX15_IDR_504_550",0.246008273859069
"Q8IX18_IDR_1_50",0.511396158802157
"Q8IX18_IDR_706_779",0.488603841197843
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.533754052449256
"Q8IX29_IDR_239_292",0.466245947550744
"Q8IXP5_IDR_108_216",0.502325594559716
"Q8IXP5_IDR_1_106",0.497674405440284
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.501497904264697
"Q8IXQ8_IDR_211_264",0.498502095735303
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.314330644349124
"Q8IXT5_IDR_485_921",0.35643206664008
"Q8IXT5_IDR_89_151",0.329237289010796
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.341500913781927
"Q8IXW0_IDR_176_344",0.316708906025815
"Q8IXW0_IDR_466_587",0.341790180192258
"Q8IXW5_IDR_1_41",0.532250824609518
"Q8IXW5_IDR_171_324",0.467749175390482
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.518161225646579
"Q8IY63_IDR_493_952",0.481838774353422
"Q8IY67_IDR_1_35",0.51656962419415
"Q8IY67_IDR_349_606",0.48343037580585
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.492802943106303
"Q8IY84_IDR_7_44",0.507197056893697
"Q8IY85_IDR_375_441",0.490037962043169
"Q8IY85_IDR_77_146",0.509962037956831
"Q8IY92_IDR_1_50",0.166612814969028
"Q8IY92_IDR_377_470",0.18071803772788
"Q8IY92_IDR_558_613",0.164853959789645
"Q8IY92_IDR_630_669",0.164559013292048
"Q8IY92_IDR_64_289",0.165079955117295
"Q8IY92_IDR_824_1750",0.158176219104104
"Q8IYE1_IDR_684_715",0.523179384502193
"Q8IYF1_IDR_647_753",0.596846581695192
"Q8IYF1_IDR_79_458",0.403153418304808
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.332113076046495
"Q8IYH5_IDR_573_649",0.347687513745462
"Q8IYH5_IDR_714_786",0.320199410208043
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.496456824459409
"Q8IYI6_IDR_287_328",0.503543175540591
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.248351218976274
"Q8IYJ0_IDR_112_175",0.24495607434751
"Q8IYJ0_IDR_204_238",0.258097405815648
"Q8IYJ0_IDR_240_282",0.248595300860568
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.461413460751124
"Q8IYK4_IDR_584_626",0.538586539248876
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.163530086663354
"Q8IYW2_IDR_1347_1410",0.185508230343652
"Q8IYW2_IDR_1985_2022",0.159093140066361
"Q8IYW2_IDR_2287_2320",0.166258910981969
"Q8IYW2_IDR_2540_2579",0.162835538319375
"Q8IYW2_IDR_2630_2661",0.162774093625289
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.466725058977985
"Q8IZ41_IDR_77_124",0.533274941022015
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.332129323182358
"Q8IZ63_IDR_360_422",0.327450186304954
"Q8IZ63_IDR_87_332",0.340420490512688
"Q8IZ69_IDR_1_56",0.509129316634765
"Q8IZ69_IDR_591_625",0.490870683365235
"Q8IZ73_IDR_31_122",0.558824740609429
"Q8IZ73_IDR_421_495",0.441175259390571
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.320592719040269
"Q8IZA0_IDR_201_244",0.328877175813143
"Q8IZA0_IDR_957_1015",0.350530105146588
"Q8IZA3_IDR_114_346",0.588279908601826
"Q8IZA3_IDR_1_50",0.411720091398174
"Q8IZC4_IDR_185_221",0.311504273977023
"Q8IZC4_IDR_409_445",0.324436869689362
"Q8IZC4_IDR_476_603",0.364058856333615
"Q8IZC6_IDR_1_36",0.450500076344019
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.508154582591872
"Q8IZJ3_IDR_1758_1835",0.491845417408128
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.495558911746342
"Q8IZL8_IDR_637_1130",0.504441088253658
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.52633789657441
"Q8IZN3_IDR_323_488",0.47366210342559
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.533767445815897
"Q8IZP6_IDR_97_147",0.466232554184103
"Q8IZP7_IDR_1_118",0.411194191905969
"Q8IZP7_IDR_426_459",0.588805808094031
"Q8IZP9_IDR_249_371",0.24271638386307
"Q8IZP9_IDR_39_74",0.245022225509786
"Q8IZU9_IDR_701_778",0.514040523141673
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164177885561072
"Q8IZX4_IDR_1220_1400",0.162228293182117
"Q8IZX4_IDR_1644_1826",0.162437184890598
"Q8IZX4_IDR_268_354",0.178377144533351
"Q8IZX4_IDR_536_578",0.166845519200811
"Q8IZX4_IDR_82_235",0.165933972632052
"Q8IZY2_IDR_1152_1210",0.508019014840306
"Q8IZY2_IDR_2105_2146",0.491980985159694
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.513955827336532
"Q8N0S2_IDR_260_351",0.486044172663468
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.251408941194075
"Q8N0U7_IDR_267_299",0.252923322117616
"Q8N0U7_IDR_37_122",0.250800459253826
"Q8N0U7_IDR_391_467",0.244867277434483
"Q8N103_IDR_1_81",0.498725250181412
"Q8N103_IDR_283_731",0.501274749818588
"Q8N108_IDR_1_176",0.484816602711267
"Q8N108_IDR_344_512",0.515183397288733
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.49471410343108
"Q8N114_IDR_203_240",0.50528589656892
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.495548605968924
"Q8N122_IDR_820_949",0.504451394031076
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.517555716479215
"Q8N128_IDR_68_213",0.482444283520785
"Q8N129_IDR_1_32",0.480725184532501
"Q8N129_IDR_202_248",0.519274815467499
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.305418835851353
"Q8N137_IDR_442_797",0.312923516490403
