"","GO0000976_transcription_cis_regulatory_region_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.252085417054872
"Q5VUJ6_IDR_1_54",0.462316450702538
"Q5VUJ6_IDR_308_649",0.537683549297462
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.431929422135318
"Q5VV16_IDR_235_409",0.568070577864683
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.367900513543138
"Q5VV42_IDR_499_545",0.632099486456862
"Q5VWN6_IDR_1918_1981",0.168551440977
"Q5VWN6_IDR_1993_2150",0.185837379948566
"Q5VWN6_IDR_803_1879",0.154849660869137
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.140461962743691
"Q5VWQ0_IDR_63_351",0.55194973670883
"Q5VWQ0_IDR_708_802",0.307588300547479
"Q5VWQ8_IDR_1141_1189",0.357800015173433
"Q5VWQ8_IDR_1_142",0.321938188977237
"Q5VWQ8_IDR_654_1098",0.32026179584933
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.225554133515083
"Q5VZL5_IDR_1_334",0.321831040094845
"Q5VZL5_IDR_640_677",0.144037869702269
"Q5VZL5_IDR_851_997",0.157397163259593
"Q5VZL5_IDR_999_1200",0.151179793428209
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162893003287406
"Q5VZP5_IDR_45_103",0.212517025193349
"Q5XX13_IDR_168_231",0.441142926549073
"Q5XX13_IDR_693_978",0.558857073450927
"Q5XXA6_IDR_1_48",0.247491582214096
"Q5XXA6_IDR_74_121",0.479569853256641
"Q5XXA6_IDR_945_986",0.272938564529263
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.508710991910366
"Q63HK3_IDR_383_743",0.491289008089634
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.332193034571002
"Q66K14_IDR_944_993",0.324098832936529
"Q66K41_IDR_1_291",0.468853708088087
"Q66K41_IDR_304_345",0.531146291911913
"Q66K64_IDR_1_37",0.542728364816252
"Q66K64_IDR_275_383",0.457271635183748
"Q66K66_IDR_241_349",0.762424336959732
"Q66K66_IDR_32_81",0.237575663040268
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.238615962254272
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.53076895161425
"Q8IU57_IDR_479_520",0.46923104838575
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.474764867499357
"Q8IU81_IDR_56_237",0.525235132500643
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.511720806716417
"Q8IUC6_IDR_634_673",0.488279193283583
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.236074874074509
"Q8IUD2_IDR_621_730",0.188455073388218
"Q8IUD2_IDR_764_839",0.200926291619359
"Q8IUD2_IDR_926_1072",0.374543760917913
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.528133688825231
"Q8IUE0_IDR_1_55",0.471866311174769
"Q8IUE1_IDR_116_241",0.558577696824701
"Q8IUE1_IDR_1_55",0.441422303175299
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.426166905725518
"Q8IUG5_IDR_1_504",0.290183960433877
"Q8IUW5_IDR_126_223",0.270324670992082
"Q8IUW5_IDR_1_54",0.264216487061187
"Q8IUW5_IDR_234_271",0.226217945657847
"Q8IUW5_IDR_91_123",0.239240896288884
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.317072806991557
"Q8IUX7_IDR_1099_1138",0.393325670679971
"Q8IUX7_IDR_44_388",0.289601522328473
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.618704550877191
"Q8IUY3_IDR_182_321",0.381295449122809
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.531142251615304
"Q8IV04_IDR_352_446",0.468857748384696
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.509754267021289
"Q8IV31_IDR_62_184",0.490245732978711
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.251731329927957
"Q8IVE3_IDR_1453_1493",0.288469035112696
"Q8IVE3_IDR_36_69",0.243073445149679
"Q8IVE3_IDR_71_132",0.216726189809668
"Q8IVF1_IDR_14_81",0.196641258849144
"Q8IVF1_IDR_232_366",0.19629153756324
"Q8IVF1_IDR_407_522",0.195058602806862
"Q8IVF1_IDR_525_878",0.217813073927977
"Q8IVF1_IDR_83_205",0.194195526852777
"Q8IVF2_IDR_1_114",0.362762360010081
"Q8IVF2_IDR_1794_5795",0.336874268313166
"Q8IVF2_IDR_195_1792",0.300363371676754
"Q8IVF4_IDR_156_187",0.556900485313137
"Q8IVF4_IDR_1_66",0.443099514686863
"Q8IVF5_IDR_1017_1093",0.214258121726717
"Q8IVF5_IDR_1461_1667",0.248574434669702
"Q8IVF5_IDR_1_498",0.366562822983623
"Q8IVF5_IDR_749_804",0.170604620619959
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.338067923022593
"Q8IVW6_IDR_319_491",0.338909653118459
"Q8IVW6_IDR_516_561",0.323022423858948
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.456677899203981
"Q8IW35_IDR_575_628",0.265597209737191
"Q8IW35_IDR_633_854",0.277724891058828
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.546980707246621
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.540762681582621
"Q8IWE2_IDR_404_437",0.459237318417379
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.441731207352445
"Q8IWF9_IDR_234_348",0.558268792647555
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.118544823309263
"Q8IWI9_IDR_1340_1371",0.10737923577619
"Q8IWI9_IDR_1398_1903",0.0860801169555078
"Q8IWI9_IDR_1905_2856",0.0862008209436585
"Q8IWI9_IDR_261_649",0.221746410405591
"Q8IWI9_IDR_2974_3016",0.0984677559335091
"Q8IWI9_IDR_3020_3065",0.0945978990827051
"Q8IWI9_IDR_681_751",0.106546531675214
"Q8IWI9_IDR_753_1079",0.0804364059183613
"Q8IWJ2_IDR_1_69",0.258781061415515
"Q8IWT3_IDR_1658_1690",0.212319423780701
"Q8IWT3_IDR_2437_2517",0.222601596482984
"Q8IWT6_IDR_180_231",0.458566194609363
"Q8IWT6_IDR_62_95",0.541433805390637
"Q8IWU2_IDR_1_101",0.292883039147925
"Q8IWU2_IDR_1377_1415",0.256037458970823
"Q8IWU2_IDR_1426_1459",0.221521602711476
"Q8IWU2_IDR_557_1314",0.229557899169776
"Q8IWU5_IDR_1_40",0.216489597857205
"Q8IWU5_IDR_557_594",0.251862858527684
"Q8IWU5_IDR_648_718",0.22280017952174
"Q8IWU5_IDR_824_860",0.308847364093371
"Q8IWU6_IDR_1_37",0.250357612355935
"Q8IWU6_IDR_510_543",0.274760496707939
"Q8IWU6_IDR_561_610",0.267261497735572
"Q8IWU6_IDR_666_738",0.207620393200554
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.294775040931811
"Q8IWV1_IDR_178_270",0.308132223929515
"Q8IWV1_IDR_295_398",0.397092735138674
"Q8IX03_IDR_790_917",0.227407436058218
"Q8IX03_IDR_945_991",0.269776947147181
"Q8IX07_IDR_1_83",0.109958051662388
"Q8IX07_IDR_194_247",0.168781906761748
"Q8IX07_IDR_266_972",0.721260041575863
"Q8IX12_IDR_212_357",0.126456620513871
"Q8IX12_IDR_599_722",0.162791458223653
"Q8IX12_IDR_793_917",0.148082242628062
"Q8IX12_IDR_9_144",0.342215832502848
"Q8IX12_IDR_981_1021",0.220453846131565
"Q8IX15_IDR_125_364",0.404800622090014
"Q8IX15_IDR_1_38",0.201491357022825
"Q8IX15_IDR_420_461",0.198044028678266
"Q8IX15_IDR_504_550",0.195663992208895
"Q8IX18_IDR_1_50",0.519755429686851
"Q8IX18_IDR_706_779",0.480244570313149
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.529272190406949
"Q8IX29_IDR_239_292",0.470727809593051
"Q8IXP5_IDR_108_216",0.569699654292762
"Q8IXP5_IDR_1_106",0.430300345707238
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.436395029527015
"Q8IXQ8_IDR_211_264",0.563604970472985
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.335760009075727
"Q8IXT5_IDR_485_921",0.327189117985977
"Q8IXT5_IDR_89_151",0.337050872938296
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.347070359253681
"Q8IXW0_IDR_176_344",0.357751936074038
"Q8IXW0_IDR_466_587",0.295177704672281
"Q8IXW5_IDR_1_41",0.469631963818942
"Q8IXW5_IDR_171_324",0.530368036181058
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.619835961164103
"Q8IY63_IDR_493_952",0.380164038835897
"Q8IY67_IDR_1_35",0.386510254061053
"Q8IY67_IDR_349_606",0.613489745938947
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.536562910337357
"Q8IY84_IDR_7_44",0.463437089662643
"Q8IY85_IDR_375_441",0.463202412549771
"Q8IY85_IDR_77_146",0.536797587450229
"Q8IY92_IDR_1_50",0.188863470800125
"Q8IY92_IDR_377_470",0.136131479007575
"Q8IY92_IDR_558_613",0.179862969762257
"Q8IY92_IDR_630_669",0.169844407754325
"Q8IY92_IDR_64_289",0.134469229674605
"Q8IY92_IDR_824_1750",0.190828443001113
"Q8IYE1_IDR_684_715",0.664249059117288
"Q8IYF1_IDR_647_753",0.446493902986994
"Q8IYF1_IDR_79_458",0.553506097013006
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.33462647629224
"Q8IYH5_IDR_573_649",0.312622783897501
"Q8IYH5_IDR_714_786",0.352750739810259
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.514504146752606
"Q8IYI6_IDR_287_328",0.485495853247394
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245746804299898
"Q8IYJ0_IDR_112_175",0.260994080683716
"Q8IYJ0_IDR_204_238",0.237974580846067
"Q8IYJ0_IDR_240_282",0.255284534170319
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.463878471479425
"Q8IYK4_IDR_584_626",0.536121528520575
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.191790273385063
"Q8IYW2_IDR_1347_1410",0.135908416273595
"Q8IYW2_IDR_1985_2022",0.163363149668075
"Q8IYW2_IDR_2287_2320",0.163568226308235
"Q8IYW2_IDR_2540_2579",0.162646939792239
"Q8IYW2_IDR_2630_2661",0.182722994572793
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.568462717091069
"Q8IZ41_IDR_77_124",0.431537282908931
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.347529945492903
"Q8IZ63_IDR_360_422",0.258412395150332
"Q8IZ63_IDR_87_332",0.394057659356765
"Q8IZ69_IDR_1_56",0.465123076242078
"Q8IZ69_IDR_591_625",0.534876923757922
"Q8IZ73_IDR_31_122",0.413922728999804
"Q8IZ73_IDR_421_495",0.586077271000196
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.349324919138868
"Q8IZA0_IDR_201_244",0.355068403421348
"Q8IZA0_IDR_957_1015",0.295606677439784
"Q8IZA3_IDR_114_346",0.418555494078319
"Q8IZA3_IDR_1_50",0.581444505921681
"Q8IZC4_IDR_185_221",0.315393973958423
"Q8IZC4_IDR_409_445",0.359402967409111
"Q8IZC4_IDR_476_603",0.325203058632466
"Q8IZC6_IDR_1_36",0.575298295807933
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.467342517231746
"Q8IZJ3_IDR_1758_1835",0.532657482768253
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.498577412892518
"Q8IZL8_IDR_637_1130",0.501422587107482
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.261757933997438
"Q8IZN3_IDR_323_488",0.738242066002562
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.447219105059188
"Q8IZP6_IDR_97_147",0.552780894940812
"Q8IZP7_IDR_1_118",0.578204431284238
"Q8IZP7_IDR_426_459",0.421795568715762
"Q8IZP9_IDR_249_371",0.27454303868186
"Q8IZP9_IDR_39_74",0.276607991307959
"Q8IZU9_IDR_701_778",0.369827215323856
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.143306394824218
"Q8IZX4_IDR_1220_1400",0.156989851467837
"Q8IZX4_IDR_1644_1826",0.159252269197748
"Q8IZX4_IDR_268_354",0.151120449894166
"Q8IZX4_IDR_536_578",0.255544436220706
"Q8IZX4_IDR_82_235",0.133786598395323
"Q8IZY2_IDR_1152_1210",0.495982135600253
"Q8IZY2_IDR_2105_2146",0.504017864399747
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.4611422526486
"Q8N0S2_IDR_260_351",0.5388577473514
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.225024950792807
"Q8N0U7_IDR_267_299",0.222724070098484
"Q8N0U7_IDR_37_122",0.304841194989216
"Q8N0U7_IDR_391_467",0.247409784119493
"Q8N103_IDR_1_81",0.468681906211763
"Q8N103_IDR_283_731",0.531318093788237
"Q8N108_IDR_1_176",0.36016613244515
"Q8N108_IDR_344_512",0.63983386755485
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.520842420893351
"Q8N114_IDR_203_240",0.479157579106649
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.421063509157067
"Q8N122_IDR_820_949",0.578936490842933
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.294682133184433
"Q8N128_IDR_68_213",0.705317866815567
"Q8N129_IDR_1_32",0.521762014557098
"Q8N129_IDR_202_248",0.478237985442902
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.305543107389321
