"","GO1990904_ribonucleoprotein_complex"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.316652812870807
"Q5VUJ6_IDR_1_54",0.483917441834804
"Q5VUJ6_IDR_308_649",0.516082558165196
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.566480604720783
"Q5VV16_IDR_235_409",0.433519395279217
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.559553856065757
"Q5VV42_IDR_499_545",0.440446143934243
"Q5VWN6_IDR_1918_1981",0.177337497963546
"Q5VWN6_IDR_1993_2150",0.157730373302498
"Q5VWN6_IDR_803_1879",0.145346035141497
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.287472373219363
"Q5VWQ0_IDR_63_351",0.465921846458633
"Q5VWQ0_IDR_708_802",0.246605780322004
"Q5VWQ8_IDR_1141_1189",0.344055948127291
"Q5VWQ8_IDR_1_142",0.320345020129928
"Q5VWQ8_IDR_654_1098",0.335599031742781
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.201292596579548
"Q5VZL5_IDR_1_334",0.199688601995646
"Q5VZL5_IDR_640_677",0.190849032270476
"Q5VZL5_IDR_851_997",0.185808853177821
"Q5VZL5_IDR_999_1200",0.222360915976509
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.129956151955509
"Q5VZP5_IDR_45_103",0.1392127818581
"Q5XX13_IDR_168_231",0.516497708423122
"Q5XX13_IDR_693_978",0.483502291576878
"Q5XXA6_IDR_1_48",0.312759112423171
"Q5XXA6_IDR_74_121",0.347874176433217
"Q5XXA6_IDR_945_986",0.339366711143612
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.500202691097995
"Q63HK3_IDR_383_743",0.499797308902005
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.329120935518796
"Q66K14_IDR_944_993",0.37558895991854
"Q66K41_IDR_1_291",0.463231891448975
"Q66K41_IDR_304_345",0.536768108551025
"Q66K64_IDR_1_37",0.515521043025783
"Q66K64_IDR_275_383",0.484478956974217
"Q66K66_IDR_241_349",0.591306726005167
"Q66K66_IDR_32_81",0.408693273994833
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.238123395412099
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.455452411513978
"Q8IU57_IDR_479_520",0.544547588486022
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.472829195410035
"Q8IU81_IDR_56_237",0.527170804589965
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.463844653986815
"Q8IUC6_IDR_634_673",0.536155346013185
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.266435659472888
"Q8IUD2_IDR_621_730",0.249416972216329
"Q8IUD2_IDR_764_839",0.254908344215571
"Q8IUD2_IDR_926_1072",0.229239024095212
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.486564842552621
"Q8IUE0_IDR_1_55",0.513435157447379
"Q8IUE1_IDR_116_241",0.469741538951074
"Q8IUE1_IDR_1_55",0.530258461048926
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.227897219583647
"Q8IUG5_IDR_1_504",0.525397702531141
"Q8IUW5_IDR_126_223",0.238456231356775
"Q8IUW5_IDR_1_54",0.236216607857727
"Q8IUW5_IDR_234_271",0.246584643665792
"Q8IUW5_IDR_91_123",0.278742517119705
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.230319419338311
"Q8IUX7_IDR_1099_1138",0.250308727740406
"Q8IUX7_IDR_44_388",0.519371852921283
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.522855732304109
"Q8IUY3_IDR_182_321",0.477144267695891
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.447482504911855
"Q8IV04_IDR_352_446",0.552517495088145
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.494920759810268
"Q8IV31_IDR_62_184",0.505079240189732
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.226185616349569
"Q8IVE3_IDR_1453_1493",0.234167079480035
"Q8IVE3_IDR_36_69",0.258856363761601
"Q8IVE3_IDR_71_132",0.280790940408795
"Q8IVF1_IDR_14_81",0.199950905779024
"Q8IVF1_IDR_232_366",0.19801400957137
"Q8IVF1_IDR_407_522",0.222653935599881
"Q8IVF1_IDR_525_878",0.19682684814028
"Q8IVF1_IDR_83_205",0.182554300909445
"Q8IVF2_IDR_1_114",0.326677224330991
"Q8IVF2_IDR_1794_5795",0.32195107598819
"Q8IVF2_IDR_195_1792",0.351371699680819
"Q8IVF4_IDR_156_187",0.489846457297666
"Q8IVF4_IDR_1_66",0.510153542702334
"Q8IVF5_IDR_1017_1093",0.254263162466483
"Q8IVF5_IDR_1461_1667",0.239269422152581
"Q8IVF5_IDR_1_498",0.240152947455192
"Q8IVF5_IDR_749_804",0.266314467925744
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.395813710447836
"Q8IVW6_IDR_319_491",0.300679940101501
"Q8IVW6_IDR_516_561",0.303506349450663
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.299215292194773
"Q8IW35_IDR_575_628",0.384772449569591
"Q8IW35_IDR_633_854",0.316012258235636
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.451757016464959
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.347146251729738
"Q8IWE2_IDR_404_437",0.652853748270262
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.549810749252678
"Q8IWF9_IDR_234_348",0.450189250747322
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.147991110863019
"Q8IWI9_IDR_1340_1371",0.112568617420783
"Q8IWI9_IDR_1398_1903",0.0886052571791071
"Q8IWI9_IDR_1905_2856",0.12160054408678
"Q8IWI9_IDR_261_649",0.105031308022358
"Q8IWI9_IDR_2974_3016",0.113521334491438
"Q8IWI9_IDR_3020_3065",0.104709912847492
"Q8IWI9_IDR_681_751",0.101902710992152
"Q8IWI9_IDR_753_1079",0.10406920409687
"Q8IWJ2_IDR_1_69",0.377511812904552
"Q8IWT3_IDR_1658_1690",0.246030372908278
"Q8IWT3_IDR_2437_2517",0.303132472815664
"Q8IWT6_IDR_180_231",0.512515555464269
"Q8IWT6_IDR_62_95",0.487484444535731
"Q8IWU2_IDR_1_101",0.240775355509575
"Q8IWU2_IDR_1377_1415",0.270116188323833
"Q8IWU2_IDR_1426_1459",0.258515319623099
"Q8IWU2_IDR_557_1314",0.230593136543492
"Q8IWU5_IDR_1_40",0.210087793650028
"Q8IWU5_IDR_557_594",0.232591053758712
"Q8IWU5_IDR_648_718",0.316898236050505
"Q8IWU5_IDR_824_860",0.240422916540755
"Q8IWU6_IDR_1_37",0.179518516989524
"Q8IWU6_IDR_510_543",0.241294356298752
"Q8IWU6_IDR_561_610",0.214632483607608
"Q8IWU6_IDR_666_738",0.364554643104116
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.311563114163337
"Q8IWV1_IDR_178_270",0.33485500008812
"Q8IWV1_IDR_295_398",0.353581885748543
"Q8IX03_IDR_790_917",0.293139617146928
"Q8IX03_IDR_945_991",0.251898858565708
"Q8IX07_IDR_1_83",0.408430069369189
"Q8IX07_IDR_194_247",0.310785933617402
"Q8IX07_IDR_266_972",0.280783997013409
"Q8IX12_IDR_212_357",0.17125047964064
"Q8IX12_IDR_599_722",0.169638396220326
"Q8IX12_IDR_793_917",0.398555620054278
"Q8IX12_IDR_9_144",0.121363272343874
"Q8IX12_IDR_981_1021",0.139192231740882
"Q8IX15_IDR_125_364",0.225324898205123
"Q8IX15_IDR_1_38",0.250928181527816
"Q8IX15_IDR_420_461",0.252696945005672
"Q8IX15_IDR_504_550",0.271049975261389
"Q8IX18_IDR_1_50",0.441376962582192
"Q8IX18_IDR_706_779",0.558623037417808
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.503503645760588
"Q8IX29_IDR_239_292",0.496496354239412
"Q8IXP5_IDR_108_216",0.493448877427531
"Q8IXP5_IDR_1_106",0.506551122572469
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.533139265088799
"Q8IXQ8_IDR_211_264",0.466860734911201
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.305439501367143
"Q8IXT5_IDR_485_921",0.411004155302744
"Q8IXT5_IDR_89_151",0.283556343330113
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.335185930206185
"Q8IXW0_IDR_176_344",0.30711148572349
"Q8IXW0_IDR_466_587",0.357702584070326
"Q8IXW5_IDR_1_41",0.588758402465367
"Q8IXW5_IDR_171_324",0.411241597534633
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.464723406310505
"Q8IY63_IDR_493_952",0.535276593689495
"Q8IY67_IDR_1_35",0.554132368193313
"Q8IY67_IDR_349_606",0.445867631806687
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.455380063301791
"Q8IY84_IDR_7_44",0.544619936698209
"Q8IY85_IDR_375_441",0.494444882572437
"Q8IY85_IDR_77_146",0.505555117427563
"Q8IY92_IDR_1_50",0.163028021856135
"Q8IY92_IDR_377_470",0.224039932009936
"Q8IY92_IDR_558_613",0.147021766500049
"Q8IY92_IDR_630_669",0.160174706726896
"Q8IY92_IDR_64_289",0.159253052435258
"Q8IY92_IDR_824_1750",0.146482520471727
"Q8IYE1_IDR_684_715",0.459633570835487
"Q8IYF1_IDR_647_753",0.432592456656625
"Q8IYF1_IDR_79_458",0.567407543343375
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.322380903596153
"Q8IYH5_IDR_573_649",0.345222406200439
"Q8IYH5_IDR_714_786",0.332396690203408
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.464343884770842
"Q8IYI6_IDR_287_328",0.535656115229158
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.240605288050215
"Q8IYJ0_IDR_112_175",0.245659637744056
"Q8IYJ0_IDR_204_238",0.264633938084729
"Q8IYJ0_IDR_240_282",0.249101136121
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.452051292334507
"Q8IYK4_IDR_584_626",0.547948707665493
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.146296100267919
"Q8IYW2_IDR_1347_1410",0.251919099362719
"Q8IYW2_IDR_1985_2022",0.152026975381494
"Q8IYW2_IDR_2287_2320",0.154685501314313
"Q8IYW2_IDR_2540_2579",0.151364651864172
"Q8IYW2_IDR_2630_2661",0.143707671809383
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.45289411165691
"Q8IZ41_IDR_77_124",0.54710588834309
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.307748387908625
"Q8IZ63_IDR_360_422",0.356023888556245
"Q8IZ63_IDR_87_332",0.33622772353513
"Q8IZ69_IDR_1_56",0.528852322648961
"Q8IZ69_IDR_591_625",0.471147677351039
"Q8IZ73_IDR_31_122",0.607217410238162
"Q8IZ73_IDR_421_495",0.392782589761838
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.323147255817104
"Q8IZA0_IDR_201_244",0.284612967564903
"Q8IZA0_IDR_957_1015",0.392239776617993
"Q8IZA3_IDR_114_346",0.647023909957669
"Q8IZA3_IDR_1_50",0.352976090042331
"Q8IZC4_IDR_185_221",0.342104757760812
"Q8IZC4_IDR_409_445",0.306423456426003
"Q8IZC4_IDR_476_603",0.351471785813186
"Q8IZC6_IDR_1_36",0.491206910976837
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.5454491673047
"Q8IZJ3_IDR_1758_1835",0.4545508326953
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.471421152408041
"Q8IZL8_IDR_637_1130",0.528578847591959
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.548759143261784
"Q8IZN3_IDR_323_488",0.451240856738216
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.564808991501145
"Q8IZP6_IDR_97_147",0.435191008498855
"Q8IZP7_IDR_1_118",0.347956024903729
"Q8IZP7_IDR_426_459",0.652043975096271
"Q8IZP9_IDR_249_371",0.214908703663387
"Q8IZP9_IDR_39_74",0.24677474474607
"Q8IZU9_IDR_701_778",0.484265548604675
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.167694700710879
"Q8IZX4_IDR_1220_1400",0.160790778973189
"Q8IZX4_IDR_1644_1826",0.169167732414129
"Q8IZX4_IDR_268_354",0.184451219556939
"Q8IZX4_IDR_536_578",0.155147214937185
"Q8IZX4_IDR_82_235",0.162748353407679
"Q8IZY2_IDR_1152_1210",0.499139053307165
"Q8IZY2_IDR_2105_2146",0.500860946692835
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.48412334620102
"Q8N0S2_IDR_260_351",0.51587665379898
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.252315015003166
"Q8N0U7_IDR_267_299",0.248242283602767
"Q8N0U7_IDR_37_122",0.255923457585368
"Q8N0U7_IDR_391_467",0.243519243808699
"Q8N103_IDR_1_81",0.51906847882669
"Q8N103_IDR_283_731",0.48093152117331
"Q8N108_IDR_1_176",0.568972977964607
"Q8N108_IDR_344_512",0.431027022035393
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.496644835152483
"Q8N114_IDR_203_240",0.503355164847517
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.50964818556175
"Q8N122_IDR_820_949",0.49035181443825
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.489104301389785
"Q8N128_IDR_68_213",0.510895698610215
"Q8N129_IDR_1_32",0.41209285258029
"Q8N129_IDR_202_248",0.58790714741971
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.287890684304172
