"","GO0000981_DNA_binding_transcription_factor_activity._RNA_polymerase_II_specific"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.255139406662286
"Q5VUJ6_IDR_1_54",0.4844090854547
"Q5VUJ6_IDR_308_649",0.5155909145453
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.435596776978736
"Q5VV16_IDR_235_409",0.564403223021264
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.370056084098385
"Q5VV42_IDR_499_545",0.629943915901615
"Q5VWN6_IDR_1918_1981",0.169047291708162
"Q5VWN6_IDR_1993_2150",0.186381042611398
"Q5VWN6_IDR_803_1879",0.16066371529401
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.159841723765183
"Q5VWQ0_IDR_63_351",0.488396730518042
"Q5VWQ0_IDR_708_802",0.351761545716775
"Q5VWQ8_IDR_1141_1189",0.339122402096611
"Q5VWQ8_IDR_1_142",0.307315400178294
"Q5VWQ8_IDR_654_1098",0.353562197725095
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.220697263858218
"Q5VZL5_IDR_1_334",0.334335052240923
"Q5VZL5_IDR_640_677",0.147847948761803
"Q5VZL5_IDR_851_997",0.151639163127508
"Q5VZL5_IDR_999_1200",0.145480572011547
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.160635389895252
"Q5VZP5_IDR_45_103",0.209504236081752
"Q5XX13_IDR_168_231",0.465578485376081
"Q5XX13_IDR_693_978",0.534421514623919
"Q5XXA6_IDR_1_48",0.260059445913339
"Q5XXA6_IDR_74_121",0.454314752921829
"Q5XXA6_IDR_945_986",0.285625801164832
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.510162251614281
"Q63HK3_IDR_383_743",0.48983774838572
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.338685136690251
"Q66K14_IDR_944_993",0.32156610182505
"Q66K41_IDR_1_291",0.476008629200727
"Q66K41_IDR_304_345",0.523991370799273
"Q66K64_IDR_1_37",0.528546368225156
"Q66K64_IDR_275_383",0.471453631774845
"Q66K66_IDR_241_349",0.723903173630336
"Q66K66_IDR_32_81",0.276096826369664
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.241804378875004
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.534950209160494
"Q8IU57_IDR_479_520",0.465049790839506
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.494131965043671
"Q8IU81_IDR_56_237",0.505868034956329
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.508958640653156
"Q8IUC6_IDR_634_673",0.491041359346844
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.243552893568099
"Q8IUD2_IDR_621_730",0.192310585841131
"Q8IUD2_IDR_764_839",0.205424417596186
"Q8IUD2_IDR_926_1072",0.358712102994583
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.528409695143026
"Q8IUE0_IDR_1_55",0.471590304856974
"Q8IUE1_IDR_116_241",0.56779572438947
"Q8IUE1_IDR_1_55",0.43220427561053
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.420697355651804
"Q8IUG5_IDR_1_504",0.294139600543291
"Q8IUW5_IDR_126_223",0.258824535014814
"Q8IUW5_IDR_1_54",0.27657518357809
"Q8IUW5_IDR_234_271",0.227193657771825
"Q8IUW5_IDR_91_123",0.237406623635271
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.326869835935408
"Q8IUX7_IDR_1099_1138",0.384729018182951
"Q8IUX7_IDR_44_388",0.288401145881641
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.613189136829852
"Q8IUY3_IDR_182_321",0.386810863170148
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.536956727240641
"Q8IV04_IDR_352_446",0.463043272759359
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.516278060977615
"Q8IV31_IDR_62_184",0.483721939022385
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.272762981051787
"Q8IVE3_IDR_1453_1493",0.273538643827084
"Q8IVE3_IDR_36_69",0.241546455663787
"Q8IVE3_IDR_71_132",0.212151919457342
"Q8IVF1_IDR_14_81",0.196104753943811
"Q8IVF1_IDR_232_366",0.204032468673858
"Q8IVF1_IDR_407_522",0.187334087750215
"Q8IVF1_IDR_525_878",0.211547060436886
"Q8IVF1_IDR_83_205",0.200981629195229
"Q8IVF2_IDR_1_114",0.374956444516868
"Q8IVF2_IDR_1794_5795",0.331925138020297
"Q8IVF2_IDR_195_1792",0.293118417462835
"Q8IVF4_IDR_156_187",0.560095321168454
"Q8IVF4_IDR_1_66",0.439904678831546
"Q8IVF5_IDR_1017_1093",0.207654906858129
"Q8IVF5_IDR_1461_1667",0.233160294519273
"Q8IVF5_IDR_1_498",0.384951477270657
"Q8IVF5_IDR_749_804",0.174233321351941
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.333929568775117
"Q8IVW6_IDR_319_491",0.327972448099656
"Q8IVW6_IDR_516_561",0.338097983125227
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.449005967745951
"Q8IW35_IDR_575_628",0.254401421907981
"Q8IW35_IDR_633_854",0.296592610346069
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.550356522437061
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.552104121629995
"Q8IWE2_IDR_404_437",0.447895878370005
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.45235157369933
"Q8IWF9_IDR_234_348",0.54764842630067
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.109299495958267
"Q8IWI9_IDR_1340_1371",0.103910589654611
"Q8IWI9_IDR_1398_1903",0.095213947145671
"Q8IWI9_IDR_1905_2856",0.0825951863171047
"Q8IWI9_IDR_261_649",0.240254237295394
"Q8IWI9_IDR_2974_3016",0.0985332930425799
"Q8IWI9_IDR_3020_3065",0.0930809702680391
"Q8IWI9_IDR_681_751",0.0988569115361945
"Q8IWI9_IDR_753_1079",0.0782553687821388
"Q8IWJ2_IDR_1_69",0.25777442148135
"Q8IWT3_IDR_1658_1690",0.212671192131458
"Q8IWT3_IDR_2437_2517",0.229957786254423
"Q8IWT6_IDR_180_231",0.452531927248609
"Q8IWT6_IDR_62_95",0.547468072751391
"Q8IWU2_IDR_1_101",0.293795238811217
"Q8IWU2_IDR_1377_1415",0.258221900905468
"Q8IWU2_IDR_1426_1459",0.218224792045883
"Q8IWU2_IDR_557_1314",0.229758068237432
"Q8IWU5_IDR_1_40",0.217720212148937
"Q8IWU5_IDR_557_594",0.260488395038115
"Q8IWU5_IDR_648_718",0.217810150068058
"Q8IWU5_IDR_824_860",0.30398124274489
"Q8IWU6_IDR_1_37",0.257219052758063
"Q8IWU6_IDR_510_543",0.274220423633273
"Q8IWU6_IDR_561_610",0.266733454488133
"Q8IWU6_IDR_666_738",0.201827069120531
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.300923954896597
"Q8IWV1_IDR_178_270",0.316241823654242
"Q8IWV1_IDR_295_398",0.382834221449161
"Q8IX03_IDR_790_917",0.223150079061537
"Q8IX03_IDR_945_991",0.266692045164274
"Q8IX07_IDR_1_83",0.109291553696008
"Q8IX07_IDR_194_247",0.168276831699801
"Q8IX07_IDR_266_972",0.722431614604191
"Q8IX12_IDR_212_357",0.129773586383833
"Q8IX12_IDR_599_722",0.156862855927377
"Q8IX12_IDR_793_917",0.141733951993362
"Q8IX12_IDR_9_144",0.348212909936299
"Q8IX12_IDR_981_1021",0.223416695759129
"Q8IX15_IDR_125_364",0.396943358637294
"Q8IX15_IDR_1_38",0.203763156776206
"Q8IX15_IDR_420_461",0.204647434911206
"Q8IX15_IDR_504_550",0.194646049675294
"Q8IX18_IDR_1_50",0.526041786767853
"Q8IX18_IDR_706_779",0.473958213232147
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.526993933530109
"Q8IX29_IDR_239_292",0.473006066469891
"Q8IXP5_IDR_108_216",0.568783124520635
"Q8IXP5_IDR_1_106",0.431216875479365
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.431302609777862
"Q8IXQ8_IDR_211_264",0.568697390222138
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.337648038710889
"Q8IXT5_IDR_485_921",0.321799355038942
"Q8IXT5_IDR_89_151",0.340552606250169
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.347327846258217
"Q8IXW0_IDR_176_344",0.368792651291382
"Q8IXW0_IDR_466_587",0.283879502450401
"Q8IXW5_IDR_1_41",0.464486210210076
"Q8IXW5_IDR_171_324",0.535513789789924
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.628429321130852
"Q8IY63_IDR_493_952",0.371570678869148
"Q8IY67_IDR_1_35",0.344710485948362
"Q8IY67_IDR_349_606",0.655289514051638
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.530392671469421
"Q8IY84_IDR_7_44",0.469607328530579
"Q8IY85_IDR_375_441",0.468095060988793
"Q8IY85_IDR_77_146",0.531904939011207
"Q8IY92_IDR_1_50",0.185328159290626
"Q8IY92_IDR_377_470",0.132085247834394
"Q8IY92_IDR_558_613",0.181740884215971
"Q8IY92_IDR_630_669",0.16930921656146
"Q8IY92_IDR_64_289",0.135163601365408
"Q8IY92_IDR_824_1750",0.196372890732141
"Q8IYE1_IDR_684_715",0.662965264269032
"Q8IYF1_IDR_647_753",0.460877872115974
"Q8IYF1_IDR_79_458",0.539122127884026
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.326836001477827
"Q8IYH5_IDR_573_649",0.315473261950573
"Q8IYH5_IDR_714_786",0.3576907365716
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.514232189775549
"Q8IYI6_IDR_287_328",0.485767810224451
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242250414747983
"Q8IYJ0_IDR_112_175",0.266127741300472
"Q8IYJ0_IDR_204_238",0.23759727182045
"Q8IYJ0_IDR_240_282",0.254024572131095
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.46410740217404
"Q8IYK4_IDR_584_626",0.53589259782596
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.19556978449282
"Q8IYW2_IDR_1347_1410",0.131656178616899
"Q8IYW2_IDR_1985_2022",0.164174885954997
"Q8IYW2_IDR_2287_2320",0.162252836139746
"Q8IYW2_IDR_2540_2579",0.164759270041313
"Q8IYW2_IDR_2630_2661",0.181587044754225
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.567463532759212
"Q8IZ41_IDR_77_124",0.432536467240788
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.357708526751489
"Q8IZ63_IDR_360_422",0.252139719341673
"Q8IZ63_IDR_87_332",0.390151753906838
"Q8IZ69_IDR_1_56",0.463689843513356
"Q8IZ69_IDR_591_625",0.536310156486644
"Q8IZ73_IDR_31_122",0.421764934376734
"Q8IZ73_IDR_421_495",0.578235065623266
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.342442033493824
"Q8IZA0_IDR_201_244",0.365000517228214
"Q8IZA0_IDR_957_1015",0.292557449277962
"Q8IZA3_IDR_114_346",0.409642018242378
"Q8IZA3_IDR_1_50",0.590357981757622
"Q8IZC4_IDR_185_221",0.318651482910946
"Q8IZC4_IDR_409_445",0.368709836135795
"Q8IZC4_IDR_476_603",0.312638680953259
"Q8IZC6_IDR_1_36",0.569270380452269
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.45763360901382
"Q8IZJ3_IDR_1758_1835",0.54236639098618
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.497746799441546
"Q8IZL8_IDR_637_1130",0.502253200558454
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.267275431907689
"Q8IZN3_IDR_323_488",0.732724568092311
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.443063967970706
"Q8IZP6_IDR_97_147",0.556936032029294
"Q8IZP7_IDR_1_118",0.589829008611802
"Q8IZP7_IDR_426_459",0.410170991388198
"Q8IZP9_IDR_249_371",0.288042959522806
"Q8IZP9_IDR_39_74",0.272642876727891
"Q8IZU9_IDR_701_778",0.400114663760457
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.147709519804212
"Q8IZX4_IDR_1220_1400",0.157939431440579
"Q8IZX4_IDR_1644_1826",0.161811407540558
"Q8IZX4_IDR_268_354",0.153280807596826
"Q8IZX4_IDR_536_578",0.241946789687336
"Q8IZX4_IDR_82_235",0.13731204393049
"Q8IZY2_IDR_1152_1210",0.496282143404142
"Q8IZY2_IDR_2105_2146",0.503717856595858
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.475851291541973
"Q8N0S2_IDR_260_351",0.524148708458027
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.224175532081094
"Q8N0U7_IDR_267_299",0.230137055604918
"Q8N0U7_IDR_37_122",0.29728355472351
"Q8N0U7_IDR_391_467",0.248403857590478
"Q8N103_IDR_1_81",0.453131195434917
"Q8N103_IDR_283_731",0.546868804565083
"Q8N108_IDR_1_176",0.373270622802435
"Q8N108_IDR_344_512",0.626729377197565
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.516137633453694
"Q8N114_IDR_203_240",0.483862366546306
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.434370097391274
"Q8N122_IDR_820_949",0.565629902608726
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.299196424156318
"Q8N128_IDR_68_213",0.700803575843682
"Q8N129_IDR_1_32",0.535342154032678
"Q8N129_IDR_202_248",0.464657845967322
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
