"","GO0090304_nucleic_acid_metabolic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.311392890457436
"Q5VUJ6_IDR_1_54",0.494393892356819
"Q5VUJ6_IDR_308_649",0.505606107643181
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.502394059476703
"Q5VV16_IDR_235_409",0.497605940523297
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.498916765316045
"Q5VV42_IDR_499_545",0.501083234683955
"Q5VWN6_IDR_1918_1981",0.154194267950032
"Q5VWN6_IDR_1993_2150",0.156710923012357
"Q5VWN6_IDR_803_1879",0.162093797673815
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.211149442796531
"Q5VWQ0_IDR_63_351",0.53552410306987
"Q5VWQ0_IDR_708_802",0.253326454133599
"Q5VWQ8_IDR_1141_1189",0.357190097102916
"Q5VWQ8_IDR_1_142",0.296447050492617
"Q5VWQ8_IDR_654_1098",0.346362852404467
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.207992154108813
"Q5VZL5_IDR_1_334",0.21152811780194
"Q5VZL5_IDR_640_677",0.181294789329842
"Q5VZL5_IDR_851_997",0.187433304557634
"Q5VZL5_IDR_999_1200",0.211751634201771
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.159971313053276
"Q5VZP5_IDR_45_103",0.165800474304854
"Q5XX13_IDR_168_231",0.488582814969258
"Q5XX13_IDR_693_978",0.511417185030742
"Q5XXA6_IDR_1_48",0.281085669272543
"Q5XXA6_IDR_74_121",0.437815242726502
"Q5XXA6_IDR_945_986",0.281099088000955
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.451426568286067
"Q63HK3_IDR_383_743",0.548573431713933
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.340103368848504
"Q66K14_IDR_944_993",0.335637857312695
"Q66K41_IDR_1_291",0.597929978137628
"Q66K41_IDR_304_345",0.402070021862372
"Q66K64_IDR_1_37",0.528644436504039
"Q66K64_IDR_275_383",0.471355563495961
"Q66K66_IDR_241_349",0.683215658505283
"Q66K66_IDR_32_81",0.316784341494717
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.237712185961854
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.495884999296861
"Q8IU57_IDR_479_520",0.504115000703139
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.468854649030975
"Q8IU81_IDR_56_237",0.531145350969025
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.492741744540853
"Q8IUC6_IDR_634_673",0.507258255459147
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.237644786639224
"Q8IUD2_IDR_621_730",0.216677093635862
"Q8IUD2_IDR_764_839",0.212562196296312
"Q8IUD2_IDR_926_1072",0.333115923428602
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.468376366874775
"Q8IUE0_IDR_1_55",0.531623633125225
"Q8IUE1_IDR_116_241",0.475029117863578
"Q8IUE1_IDR_1_55",0.524970882136422
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.309944141092967
"Q8IUG5_IDR_1_504",0.36416219146105
"Q8IUW5_IDR_126_223",0.258182684182751
"Q8IUW5_IDR_1_54",0.265284733921119
"Q8IUW5_IDR_234_271",0.22899267823286
"Q8IUW5_IDR_91_123",0.247539903663271
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.277300394464612
"Q8IUX7_IDR_1099_1138",0.305598317451012
"Q8IUX7_IDR_44_388",0.417101288084376
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.534815036423041
"Q8IUY3_IDR_182_321",0.465184963576959
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.508371091573904
"Q8IV04_IDR_352_446",0.491628908426096
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.518798462808217
"Q8IV31_IDR_62_184",0.481201537191783
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.224860318455151
"Q8IVE3_IDR_1453_1493",0.277239498036676
"Q8IVE3_IDR_36_69",0.247158901268992
"Q8IVE3_IDR_71_132",0.250741282239181
"Q8IVF1_IDR_14_81",0.18411811905926
"Q8IVF1_IDR_232_366",0.180542801869062
"Q8IVF1_IDR_407_522",0.201173363121776
"Q8IVF1_IDR_525_878",0.23569595276182
"Q8IVF1_IDR_83_205",0.198469763188083
"Q8IVF2_IDR_1_114",0.253086687088184
"Q8IVF2_IDR_1794_5795",0.397625587629024
"Q8IVF2_IDR_195_1792",0.349287725282792
"Q8IVF4_IDR_156_187",0.513466628463749
"Q8IVF4_IDR_1_66",0.486533371536251
"Q8IVF5_IDR_1017_1093",0.210918288238125
"Q8IVF5_IDR_1461_1667",0.264481793934525
"Q8IVF5_IDR_1_498",0.336135386213637
"Q8IVF5_IDR_749_804",0.188464531613713
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.343495557949526
"Q8IVW6_IDR_319_491",0.320882487099616
"Q8IVW6_IDR_516_561",0.335621954950858
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.368797958029369
"Q8IW35_IDR_575_628",0.314191861096418
"Q8IW35_IDR_633_854",0.317010180874213
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.524306817969812
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.495740909187951
"Q8IWE2_IDR_404_437",0.504259090812049
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.510191713794863
"Q8IWF9_IDR_234_348",0.489808286205138
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.13113893197592
"Q8IWI9_IDR_1340_1371",0.0977080299164222
"Q8IWI9_IDR_1398_1903",0.105031818196135
"Q8IWI9_IDR_1905_2856",0.134524044713477
"Q8IWI9_IDR_261_649",0.136626392952634
"Q8IWI9_IDR_2974_3016",0.0989741689772286
"Q8IWI9_IDR_3020_3065",0.101470254686875
"Q8IWI9_IDR_681_751",0.101617047982835
"Q8IWI9_IDR_753_1079",0.0929093105984738
"Q8IWJ2_IDR_1_69",0.308706077209903
"Q8IWT3_IDR_1658_1690",0.238824664206959
"Q8IWT3_IDR_2437_2517",0.243144842576382
"Q8IWT6_IDR_180_231",0.499272232009889
"Q8IWT6_IDR_62_95",0.500727767990111
"Q8IWU2_IDR_1_101",0.259588156727001
"Q8IWU2_IDR_1377_1415",0.248013135249288
"Q8IWU2_IDR_1426_1459",0.232352184004006
"Q8IWU2_IDR_557_1314",0.260046524019705
"Q8IWU5_IDR_1_40",0.23644807330801
"Q8IWU5_IDR_557_594",0.232172104664916
"Q8IWU5_IDR_648_718",0.289900861722004
"Q8IWU5_IDR_824_860",0.241478960305069
"Q8IWU6_IDR_1_37",0.224717532279913
"Q8IWU6_IDR_510_543",0.240855900772809
"Q8IWU6_IDR_561_610",0.245284371699598
"Q8IWU6_IDR_666_738",0.289142195247681
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.320779075262112
"Q8IWV1_IDR_178_270",0.323944084868491
"Q8IWV1_IDR_295_398",0.355276839869397
"Q8IX03_IDR_790_917",0.262814575765337
"Q8IX03_IDR_945_991",0.251095289932957
"Q8IX07_IDR_1_83",0.281648509035143
"Q8IX07_IDR_194_247",0.286827555575075
"Q8IX07_IDR_266_972",0.431523935389782
"Q8IX12_IDR_212_357",0.183171690426727
"Q8IX12_IDR_599_722",0.167070780452806
"Q8IX12_IDR_793_917",0.208892346823873
"Q8IX12_IDR_9_144",0.264120724364174
"Q8IX12_IDR_981_1021",0.17674445793242
"Q8IX15_IDR_125_364",0.344666327505267
"Q8IX15_IDR_1_38",0.211111067706289
"Q8IX15_IDR_420_461",0.233790336550551
"Q8IX15_IDR_504_550",0.210432268237893
"Q8IX18_IDR_1_50",0.500978895353783
"Q8IX18_IDR_706_779",0.499021104646217
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.503986838287143
"Q8IX29_IDR_239_292",0.496013161712857
"Q8IXP5_IDR_108_216",0.518582705686673
"Q8IXP5_IDR_1_106",0.481417294313327
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.483013020893295
"Q8IXQ8_IDR_211_264",0.516986979106705
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.308910995324328
"Q8IXT5_IDR_485_921",0.357438339894382
"Q8IXT5_IDR_89_151",0.33365066478129
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.325352670187861
"Q8IXW0_IDR_176_344",0.310021239916208
"Q8IXW0_IDR_466_587",0.364626089895931
"Q8IXW5_IDR_1_41",0.512003446031449
"Q8IXW5_IDR_171_324",0.487996553968551
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.521591915768385
"Q8IY63_IDR_493_952",0.478408084231615
"Q8IY67_IDR_1_35",0.498119268034218
"Q8IY67_IDR_349_606",0.501880731965782
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.49216961613243
"Q8IY84_IDR_7_44",0.50783038386757
"Q8IY85_IDR_375_441",0.454763109969848
"Q8IY85_IDR_77_146",0.545236890030152
"Q8IY92_IDR_1_50",0.153347653447082
"Q8IY92_IDR_377_470",0.204591711492503
"Q8IY92_IDR_558_613",0.153682845057499
"Q8IY92_IDR_630_669",0.156663634258818
"Q8IY92_IDR_64_289",0.167175906611373
"Q8IY92_IDR_824_1750",0.164538249132725
"Q8IYE1_IDR_684_715",0.495586305009791
"Q8IYF1_IDR_647_753",0.426910084387535
"Q8IYF1_IDR_79_458",0.573089915612465
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.379520460967036
"Q8IYH5_IDR_573_649",0.344959047872172
"Q8IYH5_IDR_714_786",0.275520491160792
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.502295156460765
"Q8IYI6_IDR_287_328",0.497704843539235
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242461231059598
"Q8IYJ0_IDR_112_175",0.246314343245891
"Q8IYJ0_IDR_204_238",0.261173825406716
"Q8IYJ0_IDR_240_282",0.250050600287795
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.49539944986953
"Q8IYK4_IDR_584_626",0.50460055013047
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.168728357604486
"Q8IYW2_IDR_1347_1410",0.174294110844261
"Q8IYW2_IDR_1985_2022",0.163916520616121
"Q8IYW2_IDR_2287_2320",0.162573478836062
"Q8IYW2_IDR_2540_2579",0.161635043725573
"Q8IYW2_IDR_2630_2661",0.168852488373496
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.473796723664431
"Q8IZ41_IDR_77_124",0.526203276335569
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.312146309335122
"Q8IZ63_IDR_360_422",0.361161739124961
"Q8IZ63_IDR_87_332",0.326691951539918
"Q8IZ69_IDR_1_56",0.49814683705533
"Q8IZ69_IDR_591_625",0.50185316294467
"Q8IZ73_IDR_31_122",0.565950536045901
"Q8IZ73_IDR_421_495",0.434049463954099
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.303969365917955
"Q8IZA0_IDR_201_244",0.313740714656408
"Q8IZA0_IDR_957_1015",0.382289919425636
"Q8IZA3_IDR_114_346",0.576034938741157
"Q8IZA3_IDR_1_50",0.423965061258843
"Q8IZC4_IDR_185_221",0.32240385274501
"Q8IZC4_IDR_409_445",0.283471053128016
"Q8IZC4_IDR_476_603",0.394125094126974
"Q8IZC6_IDR_1_36",0.481653297320415
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.501079336097018
"Q8IZJ3_IDR_1758_1835",0.498920663902982
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.449768130732
"Q8IZL8_IDR_637_1130",0.550231869268
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.446631395578678
"Q8IZN3_IDR_323_488",0.553368604421322
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.546884668028231
"Q8IZP6_IDR_97_147",0.453115331971769
"Q8IZP7_IDR_1_118",0.515798817554532
"Q8IZP7_IDR_426_459",0.484201182445468
"Q8IZP9_IDR_249_371",0.257571094537946
"Q8IZP9_IDR_39_74",0.252482278563923
"Q8IZU9_IDR_701_778",0.386599899431584
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.15526367274455
"Q8IZX4_IDR_1220_1400",0.155829275753918
"Q8IZX4_IDR_1644_1826",0.166520628353841
"Q8IZX4_IDR_268_354",0.182355427703728
"Q8IZX4_IDR_536_578",0.182754130631587
"Q8IZX4_IDR_82_235",0.157276864812375
"Q8IZY2_IDR_1152_1210",0.502167793669163
"Q8IZY2_IDR_2105_2146",0.497832206330837
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.498785210891218
"Q8N0S2_IDR_260_351",0.501214789108782
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.243768453877256
"Q8N0U7_IDR_267_299",0.241287788238811
"Q8N0U7_IDR_37_122",0.275363653289139
"Q8N0U7_IDR_391_467",0.239580104594794
"Q8N103_IDR_1_81",0.587819321907216
"Q8N103_IDR_283_731",0.412180678092784
"Q8N108_IDR_1_176",0.386403944467547
"Q8N108_IDR_344_512",0.613596055532453
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.504225848421815
"Q8N114_IDR_203_240",0.495774151578185
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.473427531064458
"Q8N122_IDR_820_949",0.526572468935542
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.493766426959016
"Q8N128_IDR_68_213",0.506233573040984
"Q8N129_IDR_1_32",0.481768923426256
"Q8N129_IDR_202_248",0.518231076573744
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.300467944382222
