"","GO0009986_cell_surface"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.351549214056946
"Q5VUJ6_IDR_1_54",0.507102794355873
"Q5VUJ6_IDR_308_649",0.492897205644127
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.453618146846517
"Q5VV16_IDR_235_409",0.546381853153483
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.451805234696148
"Q5VV42_IDR_499_545",0.548194765303852
"Q5VWN6_IDR_1918_1981",0.155325394220199
"Q5VWN6_IDR_1993_2150",0.192852512632202
"Q5VWN6_IDR_803_1879",0.199475774243704
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.348909904868386
"Q5VWQ0_IDR_63_351",0.313395732345847
"Q5VWQ0_IDR_708_802",0.337694362785768
"Q5VWQ8_IDR_1141_1189",0.310468282047819
"Q5VWQ8_IDR_1_142",0.403125770808358
"Q5VWQ8_IDR_654_1098",0.286405947143823
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195533059912444
"Q5VZL5_IDR_1_334",0.191988010730245
"Q5VZL5_IDR_640_677",0.195180521200601
"Q5VZL5_IDR_851_997",0.224446325538346
"Q5VZL5_IDR_999_1200",0.192852082618364
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.17449020198862
"Q5VZP5_IDR_45_103",0.182224671857152
"Q5XX13_IDR_168_231",0.49304340233802
"Q5XX13_IDR_693_978",0.50695659766198
"Q5XXA6_IDR_1_48",0.349267266638268
"Q5XXA6_IDR_74_121",0.326210757378329
"Q5XXA6_IDR_945_986",0.324521975983403
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.508376604292103
"Q63HK3_IDR_383_743",0.491623395707897
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.309470736058677
"Q66K14_IDR_944_993",0.343626153490155
"Q66K41_IDR_1_291",0.501955465642297
"Q66K41_IDR_304_345",0.498044534357703
"Q66K64_IDR_1_37",0.511720750011573
"Q66K64_IDR_275_383",0.488279249988426
"Q66K66_IDR_241_349",0.464602566974554
"Q66K66_IDR_32_81",0.535397433025446
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.251132756718779
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.499573149236598
"Q8IU57_IDR_479_520",0.500426850763402
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.504771519505887
"Q8IU81_IDR_56_237",0.495228480494113
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.507889390054534
"Q8IUC6_IDR_634_673",0.492110609945466
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.255329551403212
"Q8IUD2_IDR_621_730",0.247417064402389
"Q8IUD2_IDR_764_839",0.239020979246851
"Q8IUD2_IDR_926_1072",0.258232404947548
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.500851639866652
"Q8IUE0_IDR_1_55",0.499148360133348
"Q8IUE1_IDR_116_241",0.507488440800125
"Q8IUE1_IDR_1_55",0.492511559199875
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.352238488321556
"Q8IUG5_IDR_1_504",0.311888439437827
"Q8IUW5_IDR_126_223",0.264347256224273
"Q8IUW5_IDR_1_54",0.263930079491729
"Q8IUW5_IDR_234_271",0.236731981163261
"Q8IUW5_IDR_91_123",0.234990683120737
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.34917336443345
"Q8IUX7_IDR_1099_1138",0.326231160712859
"Q8IUX7_IDR_44_388",0.324595474853691
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.433806750598444
"Q8IUY3_IDR_182_321",0.566193249401556
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.513693113380716
"Q8IV04_IDR_352_446",0.486306886619284
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.533433351609955
"Q8IV31_IDR_62_184",0.466566648390045
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.232093344100251
"Q8IVE3_IDR_1453_1493",0.260326265836771
"Q8IVE3_IDR_36_69",0.254418282642671
"Q8IVE3_IDR_71_132",0.253162107420307
"Q8IVF1_IDR_14_81",0.197189107050544
"Q8IVF1_IDR_232_366",0.208796622320957
"Q8IVF1_IDR_407_522",0.174066499030687
"Q8IVF1_IDR_525_878",0.190254541869436
"Q8IVF1_IDR_83_205",0.229693229728377
"Q8IVF2_IDR_1_114",0.25749426868082
"Q8IVF2_IDR_1794_5795",0.388282923576552
"Q8IVF2_IDR_195_1792",0.354222807742628
"Q8IVF4_IDR_156_187",0.491124849809089
"Q8IVF4_IDR_1_66",0.508875150190911
"Q8IVF5_IDR_1017_1093",0.278132708149528
"Q8IVF5_IDR_1461_1667",0.240221832385565
"Q8IVF5_IDR_1_498",0.240747039151323
"Q8IVF5_IDR_749_804",0.240898420313585
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.308952519529883
"Q8IVW6_IDR_319_491",0.356499511161963
"Q8IVW6_IDR_516_561",0.334547969308154
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.367063923146241
"Q8IW35_IDR_575_628",0.320879265933856
"Q8IW35_IDR_633_854",0.312056810919903
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.572482067101429
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.566738962618567
"Q8IWE2_IDR_404_437",0.433261037381433
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.433993475810697
"Q8IWF9_IDR_234_348",0.566006524189303
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.097918983370114
"Q8IWI9_IDR_1340_1371",0.104069652503824
"Q8IWI9_IDR_1398_1903",0.152965434249985
"Q8IWI9_IDR_1905_2856",0.106341837353897
"Q8IWI9_IDR_261_649",0.0977119437477768
"Q8IWI9_IDR_2974_3016",0.107592285487888
"Q8IWI9_IDR_3020_3065",0.103590523122328
"Q8IWI9_IDR_681_751",0.111620710079015
"Q8IWI9_IDR_753_1079",0.118188630085172
"Q8IWJ2_IDR_1_69",0.324652595267386
"Q8IWT3_IDR_1658_1690",0.259323562874962
"Q8IWT3_IDR_2437_2517",0.238918317339629
"Q8IWT6_IDR_180_231",0.497869345454805
"Q8IWT6_IDR_62_95",0.502130654545195
"Q8IWU2_IDR_1_101",0.322018377693214
"Q8IWU2_IDR_1377_1415",0.216298924080029
"Q8IWU2_IDR_1426_1459",0.225183058416746
"Q8IWU2_IDR_557_1314",0.236499639810012
"Q8IWU5_IDR_1_40",0.325632386555566
"Q8IWU5_IDR_557_594",0.228150918302765
"Q8IWU5_IDR_648_718",0.213809021305372
"Q8IWU5_IDR_824_860",0.232407673836298
"Q8IWU6_IDR_1_37",0.318047687524737
"Q8IWU6_IDR_510_543",0.227328357454589
"Q8IWU6_IDR_561_610",0.234910500951866
"Q8IWU6_IDR_666_738",0.219713454068808
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.409692799765482
"Q8IWV1_IDR_178_270",0.292082196162028
"Q8IWV1_IDR_295_398",0.29822500407249
"Q8IX03_IDR_790_917",0.239475140302111
"Q8IX03_IDR_945_991",0.251324692536663
"Q8IX07_IDR_1_83",0.300706798616218
"Q8IX07_IDR_194_247",0.358796433378267
"Q8IX07_IDR_266_972",0.340496768005515
"Q8IX12_IDR_212_357",0.19602420216538
"Q8IX12_IDR_599_722",0.198841569304101
"Q8IX12_IDR_793_917",0.186345378187307
"Q8IX12_IDR_9_144",0.208816505292531
"Q8IX12_IDR_981_1021",0.209972345050681
"Q8IX15_IDR_125_364",0.24964352703281
"Q8IX15_IDR_1_38",0.242395654902338
"Q8IX15_IDR_420_461",0.255445205185165
"Q8IX15_IDR_504_550",0.252515612879687
"Q8IX18_IDR_1_50",0.528027360257146
"Q8IX18_IDR_706_779",0.471972639742854
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.481556902577066
"Q8IX29_IDR_239_292",0.518443097422934
"Q8IXP5_IDR_108_216",0.487023137828595
"Q8IXP5_IDR_1_106",0.512976862171405
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.49863087781436
"Q8IXQ8_IDR_211_264",0.501369122185639
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.336524251349902
"Q8IXT5_IDR_485_921",0.326132086145669
"Q8IXT5_IDR_89_151",0.337343662504429
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.310548120741046
"Q8IXW0_IDR_176_344",0.367192901171012
"Q8IXW0_IDR_466_587",0.322258978087942
"Q8IXW5_IDR_1_41",0.502246633285719
"Q8IXW5_IDR_171_324",0.497753366714281
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.503745169101502
"Q8IY63_IDR_493_952",0.496254830898498
"Q8IY67_IDR_1_35",0.509565659449992
"Q8IY67_IDR_349_606",0.490434340550008
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.51924802927858
"Q8IY84_IDR_7_44",0.48075197072142
"Q8IY85_IDR_375_441",0.498421046473121
"Q8IY85_IDR_77_146",0.501578953526879
"Q8IY92_IDR_1_50",0.165159013461218
"Q8IY92_IDR_377_470",0.159148664969359
"Q8IY92_IDR_558_613",0.166644432512033
"Q8IY92_IDR_630_669",0.172283080765658
"Q8IY92_IDR_64_289",0.168160923381445
"Q8IY92_IDR_824_1750",0.168603884910287
"Q8IYE1_IDR_684_715",0.497306974874981
"Q8IYF1_IDR_647_753",0.517500216549649
"Q8IYF1_IDR_79_458",0.482499783450351
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.326740274864465
"Q8IYH5_IDR_573_649",0.336453325172407
"Q8IYH5_IDR_714_786",0.336806399963129
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.518148954826101
"Q8IYI6_IDR_287_328",0.481851045173899
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.25965809432051
"Q8IYJ0_IDR_112_175",0.249766224361544
"Q8IYJ0_IDR_204_238",0.234940286655286
"Q8IYJ0_IDR_240_282",0.25563539466266
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.631911486642597
"Q8IYK4_IDR_584_626",0.368088513357403
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.168269944406454
"Q8IYW2_IDR_1347_1410",0.151629997587228
"Q8IYW2_IDR_1985_2022",0.164229040099097
"Q8IYW2_IDR_2287_2320",0.167963872429724
"Q8IYW2_IDR_2540_2579",0.173903074725897
"Q8IYW2_IDR_2630_2661",0.1740040707516
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.48265912626027
"Q8IZ41_IDR_77_124",0.51734087373973
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.358070085156939
"Q8IZ63_IDR_360_422",0.315961114870466
"Q8IZ63_IDR_87_332",0.325968799972596
"Q8IZ69_IDR_1_56",0.498818673463403
"Q8IZ69_IDR_591_625",0.501181326536597
"Q8IZ73_IDR_31_122",0.460002949061695
"Q8IZ73_IDR_421_495",0.539997050938305
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.327611284853086
"Q8IZA0_IDR_201_244",0.357688273680882
"Q8IZA0_IDR_957_1015",0.314700441466032
"Q8IZA3_IDR_114_346",0.481675392523782
"Q8IZA3_IDR_1_50",0.518324607476218
"Q8IZC4_IDR_185_221",0.339455505339724
"Q8IZC4_IDR_409_445",0.340759310259088
"Q8IZC4_IDR_476_603",0.319785184401189
"Q8IZC6_IDR_1_36",0.54422604661804
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.458340674210722
"Q8IZJ3_IDR_1758_1835",0.541659325789278
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.502007944919498
"Q8IZL8_IDR_637_1130",0.497992055080502
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.446796327488114
"Q8IZN3_IDR_323_488",0.553203672511886
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.478417108488112
"Q8IZP6_IDR_97_147",0.521582891511888
"Q8IZP7_IDR_1_118",0.567340630633702
"Q8IZP7_IDR_426_459",0.432659369366298
"Q8IZP9_IDR_249_371",0.273389018234103
"Q8IZP9_IDR_39_74",0.260362219482383
"Q8IZU9_IDR_701_778",0.503855829824959
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.159615026503825
"Q8IZX4_IDR_1220_1400",0.173401389815093
"Q8IZX4_IDR_1644_1826",0.166642733394533
"Q8IZX4_IDR_268_354",0.16608824394956
"Q8IZX4_IDR_536_578",0.174335791353497
"Q8IZX4_IDR_82_235",0.159916814983493
"Q8IZY2_IDR_1152_1210",0.502425922968265
"Q8IZY2_IDR_2105_2146",0.497574077031735
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.511340577195089
"Q8N0S2_IDR_260_351",0.488659422804911
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.252614685456342
"Q8N0U7_IDR_267_299",0.245347588000913
"Q8N0U7_IDR_37_122",0.242105995091949
"Q8N0U7_IDR_391_467",0.259931731450796
"Q8N103_IDR_1_81",0.520831645138328
"Q8N103_IDR_283_731",0.479168354861672
"Q8N108_IDR_1_176",0.503315355459035
"Q8N108_IDR_344_512",0.496684644540965
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.519919312478785
"Q8N114_IDR_203_240",0.480080687521215
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504568546174509
"Q8N122_IDR_820_949",0.495431453825491
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.476585089985611
"Q8N128_IDR_68_213",0.523414910014389
"Q8N129_IDR_1_32",0.563587259090544
"Q8N129_IDR_202_248",0.436412740909456
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.336621531315314
"Q8N137_IDR_442_797",0.341014993456692
