"","GO0030546_signaling_receptor_activator_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.343485508894598
"Q5VUJ6_IDR_1_54",0.50106888977615
"Q5VUJ6_IDR_308_649",0.49893111022385
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.439961612133871
"Q5VV16_IDR_235_409",0.560038387866129
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.494559103114781
"Q5VV42_IDR_499_545",0.505440896885219
"Q5VWN6_IDR_1918_1981",0.173632980422843
"Q5VWN6_IDR_1993_2150",0.202290315535372
"Q5VWN6_IDR_803_1879",0.140445673324783
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.348287365543843
"Q5VWQ0_IDR_63_351",0.345524737237236
"Q5VWQ0_IDR_708_802",0.306187897218921
"Q5VWQ8_IDR_1141_1189",0.326615044620796
"Q5VWQ8_IDR_1_142",0.389454226380161
"Q5VWQ8_IDR_654_1098",0.283930728999043
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.196434804194079
"Q5VZL5_IDR_1_334",0.188848968493406
"Q5VZL5_IDR_640_677",0.19959566134922
"Q5VZL5_IDR_851_997",0.20773389031161
"Q5VZL5_IDR_999_1200",0.207386675651685
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.156908164751013
"Q5VZP5_IDR_45_103",0.189598095224343
"Q5XX13_IDR_168_231",0.483073225933907
"Q5XX13_IDR_693_978",0.516926774066093
"Q5XXA6_IDR_1_48",0.33571903273343
"Q5XXA6_IDR_74_121",0.344229535500012
"Q5XXA6_IDR_945_986",0.320051431766558
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.497360684750934
"Q63HK3_IDR_383_743",0.502639315249067
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.308609098710127
"Q66K14_IDR_944_993",0.329581898243942
"Q66K41_IDR_1_291",0.550418423923976
"Q66K41_IDR_304_345",0.449581576076024
"Q66K64_IDR_1_37",0.522769302736204
"Q66K64_IDR_275_383",0.477230697263796
"Q66K66_IDR_241_349",0.473072227907788
"Q66K66_IDR_32_81",0.526927772092212
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.25042118948859
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.514337537512864
"Q8IU57_IDR_479_520",0.485662462487135
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.487786838567734
"Q8IU81_IDR_56_237",0.512213161432266
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.49524390896188
"Q8IUC6_IDR_634_673",0.50475609103812
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.255645002779852
"Q8IUD2_IDR_621_730",0.255769734731085
"Q8IUD2_IDR_764_839",0.244950514732516
"Q8IUD2_IDR_926_1072",0.243634747756547
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.502836268877647
"Q8IUE0_IDR_1_55",0.497163731122353
"Q8IUE1_IDR_116_241",0.494323035055942
"Q8IUE1_IDR_1_55",0.505676964944058
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.342644865629138
"Q8IUG5_IDR_1_504",0.312726739750066
"Q8IUW5_IDR_126_223",0.261742725981156
"Q8IUW5_IDR_1_54",0.258812992825237
"Q8IUW5_IDR_234_271",0.250617808516224
"Q8IUW5_IDR_91_123",0.228826472677383
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.382423629718717
"Q8IUX7_IDR_1099_1138",0.314252826517103
"Q8IUX7_IDR_44_388",0.303323543764179
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.535334585193085
"Q8IUY3_IDR_182_321",0.464665414806916
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.486611305495104
"Q8IV04_IDR_352_446",0.513388694504896
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.544926239143689
"Q8IV31_IDR_62_184",0.455073760856311
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.223796466679641
"Q8IVE3_IDR_1453_1493",0.276300937407659
"Q8IVE3_IDR_36_69",0.245544388713948
"Q8IVE3_IDR_71_132",0.254358207198752
"Q8IVF1_IDR_14_81",0.20378137981176
"Q8IVF1_IDR_232_366",0.200163260510418
"Q8IVF1_IDR_407_522",0.183130850443942
"Q8IVF1_IDR_525_878",0.208634243533661
"Q8IVF1_IDR_83_205",0.204290265700219
"Q8IVF2_IDR_1_114",0.32845466657434
"Q8IVF2_IDR_1794_5795",0.310927068455035
"Q8IVF2_IDR_195_1792",0.360618264970626
"Q8IVF4_IDR_156_187",0.530502014715835
"Q8IVF4_IDR_1_66",0.469497985284165
"Q8IVF5_IDR_1017_1093",0.249148544518661
"Q8IVF5_IDR_1461_1667",0.244391443375002
"Q8IVF5_IDR_1_498",0.233223710703999
"Q8IVF5_IDR_749_804",0.273236301402338
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.280634180890992
"Q8IVW6_IDR_319_491",0.418516162644526
"Q8IVW6_IDR_516_561",0.300849656464482
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.331816644746888
"Q8IW35_IDR_575_628",0.355538018563631
"Q8IW35_IDR_633_854",0.31264533668948
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.514806986433531
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.507338211961004
"Q8IWE2_IDR_404_437",0.492661788038996
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.44144285741247
"Q8IWF9_IDR_234_348",0.55855714258753
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.0973770507402362
"Q8IWI9_IDR_1340_1371",0.111958694449153
"Q8IWI9_IDR_1398_1903",0.108791573476305
"Q8IWI9_IDR_1905_2856",0.10074867470537
"Q8IWI9_IDR_261_649",0.104925990771805
"Q8IWI9_IDR_2974_3016",0.116230124138497
"Q8IWI9_IDR_3020_3065",0.11179834340745
"Q8IWI9_IDR_681_751",0.131683024509575
"Q8IWI9_IDR_753_1079",0.116486523801608
"Q8IWJ2_IDR_1_69",0.331852539522306
"Q8IWT3_IDR_1658_1690",0.257562958944983
"Q8IWT3_IDR_2437_2517",0.234414596577882
"Q8IWT6_IDR_180_231",0.505983925906172
"Q8IWT6_IDR_62_95",0.494016074093828
"Q8IWU2_IDR_1_101",0.259311680366522
"Q8IWU2_IDR_1377_1415",0.237669574492837
"Q8IWU2_IDR_1426_1459",0.250730309862808
"Q8IWU2_IDR_557_1314",0.252288435277833
"Q8IWU5_IDR_1_40",0.389258024785118
"Q8IWU5_IDR_557_594",0.190045689990969
"Q8IWU5_IDR_648_718",0.210406972765705
"Q8IWU5_IDR_824_860",0.210289312458207
"Q8IWU6_IDR_1_37",0.305356421937722
"Q8IWU6_IDR_510_543",0.239678841500938
"Q8IWU6_IDR_561_610",0.210186219650069
"Q8IWU6_IDR_666_738",0.24477851691127
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.388988510586965
"Q8IWV1_IDR_178_270",0.306387005515663
"Q8IWV1_IDR_295_398",0.304624483897372
"Q8IX03_IDR_790_917",0.213095091176148
"Q8IX03_IDR_945_991",0.253674022683439
"Q8IX07_IDR_1_83",0.309365055265234
"Q8IX07_IDR_194_247",0.355540602880852
"Q8IX07_IDR_266_972",0.335094341853914
"Q8IX12_IDR_212_357",0.222699775260115
"Q8IX12_IDR_599_722",0.190612480229098
"Q8IX12_IDR_793_917",0.181103617394432
"Q8IX12_IDR_9_144",0.20047815453745
"Q8IX12_IDR_981_1021",0.205105972578906
"Q8IX15_IDR_125_364",0.269503839016822
"Q8IX15_IDR_1_38",0.248674256740859
"Q8IX15_IDR_420_461",0.251906128843444
"Q8IX15_IDR_504_550",0.229915775398875
"Q8IX18_IDR_1_50",0.515666742254123
"Q8IX18_IDR_706_779",0.484333257745877
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.43837472321911
"Q8IX29_IDR_239_292",0.56162527678089
"Q8IXP5_IDR_108_216",0.472964595937802
"Q8IXP5_IDR_1_106",0.527035404062198
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.493718428930266
"Q8IXQ8_IDR_211_264",0.506281571069734
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.350568369955434
"Q8IXT5_IDR_485_921",0.314069219253808
"Q8IXT5_IDR_89_151",0.335362410790758
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.308887679574145
"Q8IXW0_IDR_176_344",0.327659637059147
"Q8IXW0_IDR_466_587",0.363452683366709
"Q8IXW5_IDR_1_41",0.516292073946819
"Q8IXW5_IDR_171_324",0.483707926053181
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.471748670067703
"Q8IY63_IDR_493_952",0.528251329932297
"Q8IY67_IDR_1_35",0.322328636580213
"Q8IY67_IDR_349_606",0.677671363419787
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.529712748326142
"Q8IY84_IDR_7_44",0.470287251673858
"Q8IY85_IDR_375_441",0.495560897452594
"Q8IY85_IDR_77_146",0.504439102547406
"Q8IY92_IDR_1_50",0.163936036319068
"Q8IY92_IDR_377_470",0.171863212030113
"Q8IY92_IDR_558_613",0.170560436812643
"Q8IY92_IDR_630_669",0.174414674938072
"Q8IY92_IDR_64_289",0.159907109290992
"Q8IY92_IDR_824_1750",0.159318530609112
"Q8IYE1_IDR_684_715",0.442545897140254
"Q8IYF1_IDR_647_753",0.509258163974736
"Q8IYF1_IDR_79_458",0.490741836025264
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.308489672258752
"Q8IYH5_IDR_573_649",0.363272365288186
"Q8IYH5_IDR_714_786",0.328237962453062
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.518340638029732
"Q8IYI6_IDR_287_328",0.481659361970268
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.264130268773801
"Q8IYJ0_IDR_112_175",0.247689013938746
"Q8IYJ0_IDR_204_238",0.237648035886524
"Q8IYJ0_IDR_240_282",0.250532681400929
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.64346776751726
"Q8IYK4_IDR_584_626",0.35653223248274
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162831664483627
"Q8IYW2_IDR_1347_1410",0.158215141191277
"Q8IYW2_IDR_1985_2022",0.16563307743314
"Q8IYW2_IDR_2287_2320",0.167494759653164
"Q8IYW2_IDR_2540_2579",0.177118309233312
"Q8IYW2_IDR_2630_2661",0.16870704800548
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.490400613629287
"Q8IZ41_IDR_77_124",0.509599386370713
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.306256860483852
"Q8IZ63_IDR_360_422",0.303628286644313
"Q8IZ63_IDR_87_332",0.390114852871835
"Q8IZ69_IDR_1_56",0.483293353926211
"Q8IZ69_IDR_591_625",0.516706646073789
"Q8IZ73_IDR_31_122",0.484334469662785
"Q8IZ73_IDR_421_495",0.515665530337215
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.357225938956099
"Q8IZA0_IDR_201_244",0.315903924158782
"Q8IZA0_IDR_957_1015",0.326870136885119
"Q8IZA3_IDR_114_346",0.488167249099227
"Q8IZA3_IDR_1_50",0.511832750900773
"Q8IZC4_IDR_185_221",0.367958998035437
"Q8IZC4_IDR_409_445",0.321837953901769
"Q8IZC4_IDR_476_603",0.310203048062794
"Q8IZC6_IDR_1_36",0.501743777516292
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.507157832789408
"Q8IZJ3_IDR_1758_1835",0.492842167210592
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.547158376434815
"Q8IZL8_IDR_637_1130",0.452841623565185
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.441283961880515
"Q8IZN3_IDR_323_488",0.558716038119485
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.487482227023324
"Q8IZP6_IDR_97_147",0.512517772976676
"Q8IZP7_IDR_1_118",0.501289153562828
"Q8IZP7_IDR_426_459",0.498710846437172
"Q8IZP9_IDR_249_371",0.248622487676725
"Q8IZP9_IDR_39_74",0.253134445012914
"Q8IZU9_IDR_701_778",0.498777256747632
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164045027213084
"Q8IZX4_IDR_1220_1400",0.177496283417266
"Q8IZX4_IDR_1644_1826",0.157271508054773
"Q8IZX4_IDR_268_354",0.164349084256512
"Q8IZX4_IDR_536_578",0.181863819429783
"Q8IZX4_IDR_82_235",0.154974277628582
"Q8IZY2_IDR_1152_1210",0.512649252508596
"Q8IZY2_IDR_2105_2146",0.487350747491404
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.505603919104444
"Q8N0S2_IDR_260_351",0.494396080895556
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.264287937192445
"Q8N0U7_IDR_267_299",0.244944116269865
"Q8N0U7_IDR_37_122",0.240343631025503
"Q8N0U7_IDR_391_467",0.250424315512187
"Q8N103_IDR_1_81",0.52249302895197
"Q8N103_IDR_283_731",0.47750697104803
"Q8N108_IDR_1_176",0.48745937192295
"Q8N108_IDR_344_512",0.51254062807705
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.505405843702622
"Q8N114_IDR_203_240",0.494594156297378
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.511323020315354
"Q8N122_IDR_820_949",0.488676979684646
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.533319079613878
"Q8N128_IDR_68_213",0.466680920386122
"Q8N129_IDR_1_32",0.546964593000771
"Q8N129_IDR_202_248",0.453035406999229
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.336379313295136
