"","GO0006281_DNA_repair"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.322703790636338
"Q5VUJ6_IDR_1_54",0.495205554625549
"Q5VUJ6_IDR_308_649",0.504794445374451
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.543184332725754
"Q5VV16_IDR_235_409",0.456815667274246
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.597394980928206
"Q5VV42_IDR_499_545",0.402605019071794
"Q5VWN6_IDR_1918_1981",0.147818376277092
"Q5VWN6_IDR_1993_2150",0.141740574449066
"Q5VWN6_IDR_803_1879",0.163662304519205
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.274954914016427
"Q5VWQ0_IDR_63_351",0.442154454943619
"Q5VWQ0_IDR_708_802",0.282890631039953
"Q5VWQ8_IDR_1141_1189",0.341422922758935
"Q5VWQ8_IDR_1_142",0.325547368539416
"Q5VWQ8_IDR_654_1098",0.333029708701648
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.201750405474528
"Q5VZL5_IDR_1_334",0.199462096505224
"Q5VZL5_IDR_640_677",0.192657231804884
"Q5VZL5_IDR_851_997",0.187617233578269
"Q5VZL5_IDR_999_1200",0.218513032637095
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.152874974280518
"Q5VZP5_IDR_45_103",0.156444309794854
"Q5XX13_IDR_168_231",0.510887647220331
"Q5XX13_IDR_693_978",0.489112352779669
"Q5XXA6_IDR_1_48",0.336549565263553
"Q5XXA6_IDR_74_121",0.328169411245215
"Q5XXA6_IDR_945_986",0.335281023491232
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.447745410991208
"Q63HK3_IDR_383_743",0.552254589008791
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.339671766123167
"Q66K14_IDR_944_993",0.337991064478156
"Q66K41_IDR_1_291",0.636350708871391
"Q66K41_IDR_304_345",0.363649291128609
"Q66K64_IDR_1_37",0.510837151648798
"Q66K64_IDR_275_383",0.489162848351202
"Q66K66_IDR_241_349",0.533369292570765
"Q66K66_IDR_32_81",0.466630707429235
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.253445868189621
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.483935533938493
"Q8IU57_IDR_479_520",0.516064466061507
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.497122766575254
"Q8IU81_IDR_56_237",0.502877233424746
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.50637404469857
"Q8IUC6_IDR_634_673",0.49362595530143
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.234889999992979
"Q8IUD2_IDR_621_730",0.230750533220131
"Q8IUD2_IDR_764_839",0.225146054939423
"Q8IUD2_IDR_926_1072",0.309213411847466
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.44973510329578
"Q8IUE0_IDR_1_55",0.550264896704219
"Q8IUE1_IDR_116_241",0.43313613976261
"Q8IUE1_IDR_1_55",0.56686386023739
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.319797343455802
"Q8IUG5_IDR_1_504",0.338241884690131
"Q8IUW5_IDR_126_223",0.239791830880302
"Q8IUW5_IDR_1_54",0.240114792244004
"Q8IUW5_IDR_234_271",0.256554828225406
"Q8IUW5_IDR_91_123",0.263538548650289
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.251063314948254
"Q8IUX7_IDR_1099_1138",0.266039238278329
"Q8IUX7_IDR_44_388",0.482897446773418
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.487987025390915
"Q8IUY3_IDR_182_321",0.512012974609085
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.496597393034013
"Q8IV04_IDR_352_446",0.503402606965987
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.483571556032822
"Q8IV31_IDR_62_184",0.516428443967178
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.255381425337335
"Q8IVE3_IDR_1453_1493",0.2461500178471
"Q8IVE3_IDR_36_69",0.248240498786216
"Q8IVE3_IDR_71_132",0.25022805802935
"Q8IVF1_IDR_14_81",0.19493999464184
"Q8IVF1_IDR_232_366",0.188698324896832
"Q8IVF1_IDR_407_522",0.191516127979962
"Q8IVF1_IDR_525_878",0.239978201328781
"Q8IVF1_IDR_83_205",0.184867351152586
"Q8IVF2_IDR_1_114",0.335154410620716
"Q8IVF2_IDR_1794_5795",0.341806077814386
"Q8IVF2_IDR_195_1792",0.323039511564898
"Q8IVF4_IDR_156_187",0.495725588644579
"Q8IVF4_IDR_1_66",0.504274411355421
"Q8IVF5_IDR_1017_1093",0.217299589567913
"Q8IVF5_IDR_1461_1667",0.264410612085244
"Q8IVF5_IDR_1_498",0.29038406291345
"Q8IVF5_IDR_749_804",0.227905735433393
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.347946152618809
"Q8IVW6_IDR_319_491",0.319262293134717
"Q8IVW6_IDR_516_561",0.332791554246474
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.2941566961212
"Q8IW35_IDR_575_628",0.29216480527317
"Q8IW35_IDR_633_854",0.41367849860563
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.487395195890253
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.470320733177627
"Q8IWE2_IDR_404_437",0.529679266822373
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.516499501524763
"Q8IWF9_IDR_234_348",0.483500498475237
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.152020563376911
"Q8IWI9_IDR_1340_1371",0.10155782762418
"Q8IWI9_IDR_1398_1903",0.0956981420985745
"Q8IWI9_IDR_1905_2856",0.12170618203054
"Q8IWI9_IDR_261_649",0.124727786499178
"Q8IWI9_IDR_2974_3016",0.0993831536824982
"Q8IWI9_IDR_3020_3065",0.101707741076687
"Q8IWI9_IDR_681_751",0.0999993092308154
"Q8IWI9_IDR_753_1079",0.103199294380617
"Q8IWJ2_IDR_1_69",0.325343775004681
"Q8IWT3_IDR_1658_1690",0.243262717182698
"Q8IWT3_IDR_2437_2517",0.274606564416347
"Q8IWT6_IDR_180_231",0.486297843608829
"Q8IWT6_IDR_62_95",0.513702156391171
"Q8IWU2_IDR_1_101",0.256190306209024
"Q8IWU2_IDR_1377_1415",0.247723449058745
"Q8IWU2_IDR_1426_1459",0.235666530408998
"Q8IWU2_IDR_557_1314",0.260419714323234
"Q8IWU5_IDR_1_40",0.23190356173989
"Q8IWU5_IDR_557_594",0.243515703384907
"Q8IWU5_IDR_648_718",0.290237806402086
"Q8IWU5_IDR_824_860",0.234342928473118
"Q8IWU6_IDR_1_37",0.210757009036867
"Q8IWU6_IDR_510_543",0.219369395204637
"Q8IWU6_IDR_561_610",0.227931589670655
"Q8IWU6_IDR_666_738",0.341942006087841
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.310423383732284
"Q8IWV1_IDR_178_270",0.345347967841144
"Q8IWV1_IDR_295_398",0.344228648426572
"Q8IX03_IDR_790_917",0.267609867473213
"Q8IX03_IDR_945_991",0.246769194453484
"Q8IX07_IDR_1_83",0.357906550572132
"Q8IX07_IDR_194_247",0.324618510314165
"Q8IX07_IDR_266_972",0.317474939113703
"Q8IX12_IDR_212_357",0.208373001600872
"Q8IX12_IDR_599_722",0.186959774614532
"Q8IX12_IDR_793_917",0.235054513820052
"Q8IX12_IDR_9_144",0.177339961054707
"Q8IX12_IDR_981_1021",0.192272748909837
"Q8IX15_IDR_125_364",0.275880456111404
"Q8IX15_IDR_1_38",0.23392425748306
"Q8IX15_IDR_420_461",0.25383246951526
"Q8IX15_IDR_504_550",0.236362816890276
"Q8IX18_IDR_1_50",0.494974310214765
"Q8IX18_IDR_706_779",0.505025689785235
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.510360203451964
"Q8IX29_IDR_239_292",0.489639796548036
"Q8IXP5_IDR_108_216",0.508234177821157
"Q8IXP5_IDR_1_106",0.491765822178843
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.511684501065322
"Q8IXQ8_IDR_211_264",0.488315498934678
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.346809979022863
"Q8IXT5_IDR_485_921",0.320233661217263
"Q8IXT5_IDR_89_151",0.332956359759874
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.327874170588816
"Q8IXW0_IDR_176_344",0.31936840253684
"Q8IXW0_IDR_466_587",0.352757426874344
"Q8IXW5_IDR_1_41",0.490827724490459
"Q8IXW5_IDR_171_324",0.509172275509541
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.498690359216291
"Q8IY63_IDR_493_952",0.501309640783709
"Q8IY67_IDR_1_35",0.508967541908824
"Q8IY67_IDR_349_606",0.491032458091176
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.496195700580463
"Q8IY84_IDR_7_44",0.503804299419537
"Q8IY85_IDR_375_441",0.467747955569423
"Q8IY85_IDR_77_146",0.532252044430577
"Q8IY92_IDR_1_50",0.142195098839539
"Q8IY92_IDR_377_470",0.224386511774002
"Q8IY92_IDR_558_613",0.147630687229975
"Q8IY92_IDR_630_669",0.14651756733464
"Q8IY92_IDR_64_289",0.172971998845014
"Q8IY92_IDR_824_1750",0.166298135976829
"Q8IYE1_IDR_684_715",0.502385937355269
"Q8IYF1_IDR_647_753",0.408890490578057
"Q8IYF1_IDR_79_458",0.591109509421943
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.471655511639356
"Q8IYH5_IDR_573_649",0.28035665480425
"Q8IYH5_IDR_714_786",0.247987833556394
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.48014556072085
"Q8IYI6_IDR_287_328",0.51985443927915
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.236529537453425
"Q8IYJ0_IDR_112_175",0.24759739816666
"Q8IYJ0_IDR_204_238",0.269654787943843
"Q8IYJ0_IDR_240_282",0.246218276436072
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.488155026064791
"Q8IYK4_IDR_584_626",0.511844973935209
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.166312495627897
"Q8IYW2_IDR_1347_1410",0.172379618475244
"Q8IYW2_IDR_1985_2022",0.16907070415998
"Q8IYW2_IDR_2287_2320",0.163249507089193
"Q8IYW2_IDR_2540_2579",0.164987963643366
"Q8IYW2_IDR_2630_2661",0.16399971100432
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.513811346824247
"Q8IZ41_IDR_77_124",0.486188653175753
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.321409960723348
"Q8IZ63_IDR_360_422",0.369488606692312
"Q8IZ63_IDR_87_332",0.30910143258434
"Q8IZ69_IDR_1_56",0.505879955811736
"Q8IZ69_IDR_591_625",0.494120044188264
"Q8IZ73_IDR_31_122",0.623620317858924
"Q8IZ73_IDR_421_495",0.376379682141076
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.293600563131774
"Q8IZA0_IDR_201_244",0.293765175902214
"Q8IZA0_IDR_957_1015",0.412634260966012
"Q8IZA3_IDR_114_346",0.587342044177195
"Q8IZA3_IDR_1_50",0.412657955822805
"Q8IZC4_IDR_185_221",0.326541045087523
"Q8IZC4_IDR_409_445",0.262038847292415
"Q8IZC4_IDR_476_603",0.411420107620062
"Q8IZC6_IDR_1_36",0.504327975875975
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.518326511634185
"Q8IZJ3_IDR_1758_1835",0.481673488365815
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.535142736135061
"Q8IZL8_IDR_637_1130",0.464857263864939
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.521882702222808
"Q8IZN3_IDR_323_488",0.478117297777192
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.562478546047966
"Q8IZP6_IDR_97_147",0.437521453952035
"Q8IZP7_IDR_1_118",0.502149972837977
"Q8IZP7_IDR_426_459",0.497850027162023
"Q8IZP9_IDR_249_371",0.240692097585238
"Q8IZP9_IDR_39_74",0.250737962419657
"Q8IZU9_IDR_701_778",0.499790356212747
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.165156080058032
"Q8IZX4_IDR_1220_1400",0.160002247848844
"Q8IZX4_IDR_1644_1826",0.163128470865301
"Q8IZX4_IDR_268_354",0.189698833766099
"Q8IZX4_IDR_536_578",0.158989625611851
"Q8IZX4_IDR_82_235",0.163024741849874
"Q8IZY2_IDR_1152_1210",0.500628142607373
"Q8IZY2_IDR_2105_2146",0.499371857392627
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.514565970669063
"Q8N0S2_IDR_260_351",0.485434029330937
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.239052515318583
"Q8N0U7_IDR_267_299",0.254687118115545
"Q8N0U7_IDR_37_122",0.253706064239077
"Q8N0U7_IDR_391_467",0.252554302326795
"Q8N103_IDR_1_81",0.543832519173985
"Q8N103_IDR_283_731",0.456167480826015
"Q8N108_IDR_1_176",0.32896321318686
"Q8N108_IDR_344_512",0.67103678681314
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.49610930992252
"Q8N114_IDR_203_240",0.50389069007748
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.509754484826593
"Q8N122_IDR_820_949",0.490245515173407
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.467047679213831
"Q8N128_IDR_68_213",0.532952320786169
"Q8N129_IDR_1_32",0.485419363601414
"Q8N129_IDR_202_248",0.514580636398586
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.3377760601618
"Q8N137_IDR_442_797",0.331778782792627
