"","GO0034660_ncRNA_metabolic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.308008798063233
"Q5VUJ6_IDR_1_54",0.448466084631648
"Q5VUJ6_IDR_308_649",0.551533915368352
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.548122311279318
"Q5VV16_IDR_235_409",0.451877688720682
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.547040626112128
"Q5VV42_IDR_499_545",0.452959373887872
"Q5VWN6_IDR_1918_1981",0.171666104958294
"Q5VWN6_IDR_1993_2150",0.155324627251903
"Q5VWN6_IDR_803_1879",0.153358835590802
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.256520582649512
"Q5VWQ0_IDR_63_351",0.507781009480211
"Q5VWQ0_IDR_708_802",0.235698407870276
"Q5VWQ8_IDR_1141_1189",0.342707912023161
"Q5VWQ8_IDR_1_142",0.341591545503905
"Q5VWQ8_IDR_654_1098",0.315700542472934
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.200096128013555
"Q5VZL5_IDR_1_334",0.206915588874623
"Q5VZL5_IDR_640_677",0.187868436033812
"Q5VZL5_IDR_851_997",0.187835557772364
"Q5VZL5_IDR_999_1200",0.217284289305646
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.149414938997413
"Q5VZP5_IDR_45_103",0.148202872980031
"Q5XX13_IDR_168_231",0.503097622424745
"Q5XX13_IDR_693_978",0.496902377575255
"Q5XXA6_IDR_1_48",0.329496358414157
"Q5XXA6_IDR_74_121",0.337273542487558
"Q5XXA6_IDR_945_986",0.333230099098285
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.474981449076712
"Q63HK3_IDR_383_743",0.525018550923288
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.31891950588483
"Q66K14_IDR_944_993",0.381569413264531
"Q66K41_IDR_1_291",0.49985600631571
"Q66K41_IDR_304_345",0.50014399368429
"Q66K64_IDR_1_37",0.535693182004774
"Q66K64_IDR_275_383",0.464306817995226
"Q66K66_IDR_241_349",0.527613820315951
"Q66K66_IDR_32_81",0.472386179684049
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.235690322789901
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.470734729498668
"Q8IU57_IDR_479_520",0.529265270501332
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.473560732095701
"Q8IU81_IDR_56_237",0.5264392679043
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.493429995543167
"Q8IUC6_IDR_634_673",0.506570004456833
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.249967988048685
"Q8IUD2_IDR_621_730",0.257092006138409
"Q8IUD2_IDR_764_839",0.247708510032021
"Q8IUD2_IDR_926_1072",0.245231495780886
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.468046014978159
"Q8IUE0_IDR_1_55",0.531953985021841
"Q8IUE1_IDR_116_241",0.458205525059893
"Q8IUE1_IDR_1_55",0.541794474940106
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.236584637578265
"Q8IUG5_IDR_1_504",0.498060954405234
"Q8IUW5_IDR_126_223",0.238469152264287
"Q8IUW5_IDR_1_54",0.228920085030906
"Q8IUW5_IDR_234_271",0.250850941708886
"Q8IUW5_IDR_91_123",0.281759820995921
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.22505284758451
"Q8IUX7_IDR_1099_1138",0.302703545481372
"Q8IUX7_IDR_44_388",0.472243606934118
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.511101972561584
"Q8IUY3_IDR_182_321",0.488898027438416
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.473153887392437
"Q8IV04_IDR_352_446",0.526846112607563
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.495622235263393
"Q8IV31_IDR_62_184",0.504377764736606
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.223460049315754
"Q8IVE3_IDR_1453_1493",0.237427831420984
"Q8IVE3_IDR_36_69",0.253728919153297
"Q8IVE3_IDR_71_132",0.285383200109965
"Q8IVF1_IDR_14_81",0.194834161878459
"Q8IVF1_IDR_232_366",0.186100489633889
"Q8IVF1_IDR_407_522",0.209720966857747
"Q8IVF1_IDR_525_878",0.225519534437161
"Q8IVF1_IDR_83_205",0.183824847192744
"Q8IVF2_IDR_1_114",0.232768771981468
"Q8IVF2_IDR_1794_5795",0.370392631122361
"Q8IVF2_IDR_195_1792",0.39683859689617
"Q8IVF4_IDR_156_187",0.475465807593293
"Q8IVF4_IDR_1_66",0.524534192406707
"Q8IVF5_IDR_1017_1093",0.257547015870346
"Q8IVF5_IDR_1461_1667",0.251610443690976
"Q8IVF5_IDR_1_498",0.236162907180636
"Q8IVF5_IDR_749_804",0.254679633258042
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.375626558381464
"Q8IVW6_IDR_319_491",0.32446589267305
"Q8IVW6_IDR_516_561",0.299907548945485
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.316345517987499
"Q8IW35_IDR_575_628",0.365804763649481
"Q8IW35_IDR_633_854",0.317849718363019
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.457751121774491
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.38782972852783
"Q8IWE2_IDR_404_437",0.61217027147217
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.532715718258538
"Q8IWF9_IDR_234_348",0.467284281741462
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.146544992045263
"Q8IWI9_IDR_1340_1371",0.107006753534009
"Q8IWI9_IDR_1398_1903",0.0910668313213932
"Q8IWI9_IDR_1905_2856",0.133548534050089
"Q8IWI9_IDR_261_649",0.107150773792622
"Q8IWI9_IDR_2974_3016",0.103815764422878
"Q8IWI9_IDR_3020_3065",0.100843100185967
"Q8IWI9_IDR_681_751",0.107449236679261
"Q8IWI9_IDR_753_1079",0.102574013968517
"Q8IWJ2_IDR_1_69",0.368827948031467
"Q8IWT3_IDR_1658_1690",0.267074826686611
"Q8IWT3_IDR_2437_2517",0.277610316925125
"Q8IWT6_IDR_180_231",0.536118239412296
"Q8IWT6_IDR_62_95",0.463881760587704
"Q8IWU2_IDR_1_101",0.256797474261101
"Q8IWU2_IDR_1377_1415",0.245844894641777
"Q8IWU2_IDR_1426_1459",0.243506077040698
"Q8IWU2_IDR_557_1314",0.253851554056424
"Q8IWU5_IDR_1_40",0.227675122101865
"Q8IWU5_IDR_557_594",0.236011958740391
"Q8IWU5_IDR_648_718",0.302156919832434
"Q8IWU5_IDR_824_860",0.23415599932531
"Q8IWU6_IDR_1_37",0.190389687006718
"Q8IWU6_IDR_510_543",0.209810473680085
"Q8IWU6_IDR_561_610",0.224285498785404
"Q8IWU6_IDR_666_738",0.375514340527793
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.319498263203273
"Q8IWV1_IDR_178_270",0.329314366973072
"Q8IWV1_IDR_295_398",0.351187369823655
"Q8IX03_IDR_790_917",0.302410671550066
"Q8IX03_IDR_945_991",0.241405213150931
"Q8IX07_IDR_1_83",0.386317078115649
"Q8IX07_IDR_194_247",0.319713724159396
"Q8IX07_IDR_266_972",0.293969197724954
"Q8IX12_IDR_212_357",0.173010325799159
"Q8IX12_IDR_599_722",0.198584002714771
"Q8IX12_IDR_793_917",0.303515238457918
"Q8IX12_IDR_9_144",0.149134744733418
"Q8IX12_IDR_981_1021",0.175755688294734
"Q8IX15_IDR_125_364",0.235175950985002
"Q8IX15_IDR_1_38",0.239772103874965
"Q8IX15_IDR_420_461",0.245190574936595
"Q8IX15_IDR_504_550",0.279861370203438
"Q8IX18_IDR_1_50",0.428568816494764
"Q8IX18_IDR_706_779",0.571431183505236
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.510896608265286
"Q8IX29_IDR_239_292",0.489103391734714
"Q8IXP5_IDR_108_216",0.494947098234938
"Q8IXP5_IDR_1_106",0.505052901765061
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.534107350744001
"Q8IXQ8_IDR_211_264",0.465892649255999
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.31398688037892
"Q8IXT5_IDR_485_921",0.362424877012988
"Q8IXT5_IDR_89_151",0.323588242608093
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.327668857007051
"Q8IXW0_IDR_176_344",0.31216841036801
"Q8IXW0_IDR_466_587",0.360162732624939
"Q8IXW5_IDR_1_41",0.536045900027146
"Q8IXW5_IDR_171_324",0.463954099972853
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.444770511695716
"Q8IY63_IDR_493_952",0.555229488304284
"Q8IY67_IDR_1_35",0.536857800678437
"Q8IY67_IDR_349_606",0.463142199321562
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.467217603380828
"Q8IY84_IDR_7_44",0.532782396619172
"Q8IY85_IDR_375_441",0.489736890014236
"Q8IY85_IDR_77_146",0.510263109985764
"Q8IY92_IDR_1_50",0.156311263271486
"Q8IY92_IDR_377_470",0.235393962049598
"Q8IY92_IDR_558_613",0.140867870661375
"Q8IY92_IDR_630_669",0.152595642594336
"Q8IY92_IDR_64_289",0.168932710286804
"Q8IY92_IDR_824_1750",0.145898551136401
"Q8IYE1_IDR_684_715",0.383299673269455
"Q8IYF1_IDR_647_753",0.396441733707074
"Q8IYF1_IDR_79_458",0.603558266292926
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.359358383779862
"Q8IYH5_IDR_573_649",0.332607450400023
"Q8IYH5_IDR_714_786",0.308034165820115
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.46445204027505
"Q8IYI6_IDR_287_328",0.53554795972495
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239327613144749
"Q8IYJ0_IDR_112_175",0.248466656346573
"Q8IYJ0_IDR_204_238",0.259334855040457
"Q8IYJ0_IDR_240_282",0.25287087546822
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.471687381364285
"Q8IYK4_IDR_584_626",0.528312618635715
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.149614991385225
"Q8IYW2_IDR_1347_1410",0.237020452770888
"Q8IYW2_IDR_1985_2022",0.156628798759253
"Q8IYW2_IDR_2287_2320",0.158791317336581
"Q8IYW2_IDR_2540_2579",0.149983289362382
"Q8IYW2_IDR_2630_2661",0.147961150385672
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.465557693160653
"Q8IZ41_IDR_77_124",0.534442306839347
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.304443237737841
"Q8IZ63_IDR_360_422",0.386686574745272
"Q8IZ63_IDR_87_332",0.308870187516886
"Q8IZ69_IDR_1_56",0.534770954139516
"Q8IZ69_IDR_591_625",0.465229045860484
"Q8IZ73_IDR_31_122",0.578273133610823
"Q8IZ73_IDR_421_495",0.421726866389177
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.334775974580603
"Q8IZA0_IDR_201_244",0.299883519937374
"Q8IZA0_IDR_957_1015",0.365340505482023
"Q8IZA3_IDR_114_346",0.684296204776211
"Q8IZA3_IDR_1_50",0.315703795223789
"Q8IZC4_IDR_185_221",0.345065258770094
"Q8IZC4_IDR_409_445",0.30233540766784
"Q8IZC4_IDR_476_603",0.352599333562066
"Q8IZC6_IDR_1_36",0.494499328018393
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.522966620919766
"Q8IZJ3_IDR_1758_1835",0.477033379080234
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.49934453119787
"Q8IZL8_IDR_637_1130",0.50065546880213
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.522544336758751
"Q8IZN3_IDR_323_488",0.477455663241249
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.545900834915857
"Q8IZP6_IDR_97_147",0.454099165084143
"Q8IZP7_IDR_1_118",0.425974995162226
"Q8IZP7_IDR_426_459",0.574025004837774
"Q8IZP9_IDR_249_371",0.231583399717565
"Q8IZP9_IDR_39_74",0.248155373910681
"Q8IZU9_IDR_701_778",0.482609049350818
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162420367214272
"Q8IZX4_IDR_1220_1400",0.160992495621875
"Q8IZX4_IDR_1644_1826",0.173768581248291
"Q8IZX4_IDR_268_354",0.174065072180248
"Q8IZX4_IDR_536_578",0.152188812394087
"Q8IZX4_IDR_82_235",0.176564671341227
"Q8IZY2_IDR_1152_1210",0.493849354626675
"Q8IZY2_IDR_2105_2146",0.506150645373325
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.472855316885591
"Q8N0S2_IDR_260_351",0.527144683114409
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.248955224205598
"Q8N0U7_IDR_267_299",0.241724993326895
"Q8N0U7_IDR_37_122",0.257407591418113
"Q8N0U7_IDR_391_467",0.251912191049394
"Q8N103_IDR_1_81",0.540786342859871
"Q8N103_IDR_283_731",0.459213657140129
"Q8N108_IDR_1_176",0.558840446085098
"Q8N108_IDR_344_512",0.441159553914902
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.504940769835862
"Q8N114_IDR_203_240",0.495059230164138
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.507095612281648
"Q8N122_IDR_820_949",0.492904387718352
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.484279280138127
"Q8N128_IDR_68_213",0.515720719861873
"Q8N129_IDR_1_32",0.410806466161122
"Q8N129_IDR_202_248",0.589193533838878
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.306694724636829
