"","GO0060089_molecular_transducer_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.343427440114815
"Q5VUJ6_IDR_1_54",0.557057461077692
"Q5VUJ6_IDR_308_649",0.442942538922308
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.422651257440337
"Q5VV16_IDR_235_409",0.577348742559663
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.451742125306542
"Q5VV42_IDR_499_545",0.548257874693458
"Q5VWN6_IDR_1918_1981",0.169404936094004
"Q5VWN6_IDR_1993_2150",0.204022324533311
"Q5VWN6_IDR_803_1879",0.176576320044795
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.366091415896956
"Q5VWQ0_IDR_63_351",0.296445632202419
"Q5VWQ0_IDR_708_802",0.337462951900625
"Q5VWQ8_IDR_1141_1189",0.31017265026497
"Q5VWQ8_IDR_1_142",0.356302646736316
"Q5VWQ8_IDR_654_1098",0.333524702998714
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.20094042150768
"Q5VZL5_IDR_1_334",0.194904967902273
"Q5VZL5_IDR_640_677",0.226912864498523
"Q5VZL5_IDR_851_997",0.186219039950954
"Q5VZL5_IDR_999_1200",0.191022706140569
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.168318363497316
"Q5VZP5_IDR_45_103",0.196696745150911
"Q5XX13_IDR_168_231",0.484741210814127
"Q5XX13_IDR_693_978",0.515258789185873
"Q5XXA6_IDR_1_48",0.331654440743256
"Q5XXA6_IDR_74_121",0.307936904618733
"Q5XXA6_IDR_945_986",0.360408654638011
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.490467835119996
"Q63HK3_IDR_383_743",0.509532164880004
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.320006227826512
"Q66K14_IDR_944_993",0.319581194481256
"Q66K41_IDR_1_291",0.587657528529255
"Q66K41_IDR_304_345",0.412342471470745
"Q66K64_IDR_1_37",0.517889629761543
"Q66K64_IDR_275_383",0.482110370238457
"Q66K66_IDR_241_349",0.451951416440197
"Q66K66_IDR_32_81",0.548048583559803
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.242590622318247
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.520276219438244
"Q8IU57_IDR_479_520",0.479723780561756
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.509119558769703
"Q8IU81_IDR_56_237",0.490880441230297
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.499498320535931
"Q8IUC6_IDR_634_673",0.500501679464069
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.274659476624006
"Q8IUD2_IDR_621_730",0.241594142008389
"Q8IUD2_IDR_764_839",0.248498279051579
"Q8IUD2_IDR_926_1072",0.235248102316026
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.512951771266202
"Q8IUE0_IDR_1_55",0.487048228733798
"Q8IUE1_IDR_116_241",0.530719280271197
"Q8IUE1_IDR_1_55",0.469280719728803
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.389709021363058
"Q8IUG5_IDR_1_504",0.281922842626564
"Q8IUW5_IDR_126_223",0.242291696114102
"Q8IUW5_IDR_1_54",0.259476676608504
"Q8IUW5_IDR_234_271",0.251362702932839
"Q8IUW5_IDR_91_123",0.246868924344554
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.423887199815
"Q8IUX7_IDR_1099_1138",0.30776681677634
"Q8IUX7_IDR_44_388",0.268345983408661
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.500927490090157
"Q8IUY3_IDR_182_321",0.499072509909843
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.512431298778652
"Q8IV04_IDR_352_446",0.487568701221348
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.555719313158217
"Q8IV31_IDR_62_184",0.444280686841783
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.243423807455416
"Q8IVE3_IDR_1453_1493",0.271671708276514
"Q8IVE3_IDR_36_69",0.249127575035094
"Q8IVE3_IDR_71_132",0.235776909232976
"Q8IVF1_IDR_14_81",0.207705292318374
"Q8IVF1_IDR_232_366",0.213719887283283
"Q8IVF1_IDR_407_522",0.176307115315567
"Q8IVF1_IDR_525_878",0.184154920053296
"Q8IVF1_IDR_83_205",0.218112785029481
"Q8IVF2_IDR_1_114",0.378160561501238
"Q8IVF2_IDR_1794_5795",0.305057725935597
"Q8IVF2_IDR_195_1792",0.316781712563165
"Q8IVF4_IDR_156_187",0.530312895303921
"Q8IVF4_IDR_1_66",0.469687104696079
"Q8IVF5_IDR_1017_1093",0.238575334790777
"Q8IVF5_IDR_1461_1667",0.241675573328399
"Q8IVF5_IDR_1_498",0.252003020961855
"Q8IVF5_IDR_749_804",0.26774607091897
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.26044745809162
"Q8IVW6_IDR_319_491",0.395653492291378
"Q8IVW6_IDR_516_561",0.343899049617001
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.400122030102314
"Q8IW35_IDR_575_628",0.303238519146061
"Q8IW35_IDR_633_854",0.296639450751625
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.521658907793882
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.557025002636751
"Q8IWE2_IDR_404_437",0.442974997363249
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.470932706654663
"Q8IWF9_IDR_234_348",0.529067293345337
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.101021766903705
"Q8IWI9_IDR_1340_1371",0.11217049277316
"Q8IWI9_IDR_1398_1903",0.117744726290705
"Q8IWI9_IDR_1905_2856",0.094963457435043
"Q8IWI9_IDR_261_649",0.109100671693524
"Q8IWI9_IDR_2974_3016",0.111453879947586
"Q8IWI9_IDR_3020_3065",0.114145323977804
"Q8IWI9_IDR_681_751",0.11509211617256
"Q8IWI9_IDR_753_1079",0.124307564805913
"Q8IWJ2_IDR_1_69",0.324257642685666
"Q8IWT3_IDR_1658_1690",0.238432751899159
"Q8IWT3_IDR_2437_2517",0.227976493722816
"Q8IWT6_IDR_180_231",0.459193757916125
"Q8IWT6_IDR_62_95",0.540806242083875
"Q8IWU2_IDR_1_101",0.248532911116698
"Q8IWU2_IDR_1377_1415",0.257124818551981
"Q8IWU2_IDR_1426_1459",0.26218815183946
"Q8IWU2_IDR_557_1314",0.232154118491861
"Q8IWU5_IDR_1_40",0.302928844201513
"Q8IWU5_IDR_557_594",0.258610356161866
"Q8IWU5_IDR_648_718",0.211652050616786
"Q8IWU5_IDR_824_860",0.226808749019835
"Q8IWU6_IDR_1_37",0.311908347995808
"Q8IWU6_IDR_510_543",0.234604794058896
"Q8IWU6_IDR_561_610",0.240964704435873
"Q8IWU6_IDR_666_738",0.212522153509422
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.384182731499811
"Q8IWV1_IDR_178_270",0.319861267721449
"Q8IWV1_IDR_295_398",0.29595600077874
"Q8IX03_IDR_790_917",0.199441461437201
"Q8IX03_IDR_945_991",0.265134597764939
"Q8IX07_IDR_1_83",0.246787993814781
"Q8IX07_IDR_194_247",0.379116775364426
"Q8IX07_IDR_266_972",0.374095230820792
"Q8IX12_IDR_212_357",0.197747192948109
"Q8IX12_IDR_599_722",0.18062232987908
"Q8IX12_IDR_793_917",0.163375717534873
"Q8IX12_IDR_9_144",0.233670659539061
"Q8IX12_IDR_981_1021",0.224584100098877
"Q8IX15_IDR_125_364",0.278880545644423
"Q8IX15_IDR_1_38",0.243532705340418
"Q8IX15_IDR_420_461",0.258921721634973
"Q8IX15_IDR_504_550",0.218665027380186
"Q8IX18_IDR_1_50",0.534560680139183
"Q8IX18_IDR_706_779",0.465439319860817
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.464297223522
"Q8IX29_IDR_239_292",0.535702776478
"Q8IXP5_IDR_108_216",0.496973289482599
"Q8IXP5_IDR_1_106",0.503026710517401
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.475979863943365
"Q8IXQ8_IDR_211_264",0.524020136056635
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.318531271244459
"Q8IXT5_IDR_485_921",0.274373036181448
"Q8IXT5_IDR_89_151",0.407095692574093
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.339987216402214
"Q8IXW0_IDR_176_344",0.339711991167679
"Q8IXW0_IDR_466_587",0.320300792430108
"Q8IXW5_IDR_1_41",0.465112551277108
"Q8IXW5_IDR_171_324",0.534887448722892
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.517112097505228
"Q8IY63_IDR_493_952",0.482887902494772
"Q8IY67_IDR_1_35",0.455142933284596
"Q8IY67_IDR_349_606",0.544857066715404
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.547044162056197
"Q8IY84_IDR_7_44",0.452955837943803
"Q8IY85_IDR_375_441",0.498876642260213
"Q8IY85_IDR_77_146",0.501123357739787
"Q8IY92_IDR_1_50",0.168324004172829
"Q8IY92_IDR_377_470",0.154344495593785
"Q8IY92_IDR_558_613",0.178956163406308
"Q8IY92_IDR_630_669",0.185330715926017
"Q8IY92_IDR_64_289",0.168192671138702
"Q8IY92_IDR_824_1750",0.14485194976236
"Q8IYE1_IDR_684_715",0.560293412587898
"Q8IYF1_IDR_647_753",0.574823053950445
"Q8IYF1_IDR_79_458",0.425176946049555
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.309052603997333
"Q8IYH5_IDR_573_649",0.351719492730666
"Q8IYH5_IDR_714_786",0.339227903272001
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.53621827999497
"Q8IYI6_IDR_287_328",0.46378172000503
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244653881524984
"Q8IYJ0_IDR_112_175",0.257450812843063
"Q8IYJ0_IDR_204_238",0.240368433423741
"Q8IYJ0_IDR_240_282",0.257526872208212
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.596368501362658
"Q8IYK4_IDR_584_626",0.403631498637342
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.171548011367278
"Q8IYW2_IDR_1347_1410",0.137020165859574
"Q8IYW2_IDR_1985_2022",0.169819053112507
"Q8IYW2_IDR_2287_2320",0.167481369046318
"Q8IYW2_IDR_2540_2579",0.176347064924705
"Q8IYW2_IDR_2630_2661",0.177784335689617
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.51391368004374
"Q8IZ41_IDR_77_124",0.48608631995626
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.352492591857653
"Q8IZ63_IDR_360_422",0.305935559059448
"Q8IZ63_IDR_87_332",0.341571849082899
"Q8IZ69_IDR_1_56",0.436018607312487
"Q8IZ69_IDR_591_625",0.563981392687513
"Q8IZ73_IDR_31_122",0.457920884222601
"Q8IZ73_IDR_421_495",0.542079115777399
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.315903336970569
"Q8IZA0_IDR_201_244",0.405542633776692
"Q8IZA0_IDR_957_1015",0.278554029252739
"Q8IZA3_IDR_114_346",0.42792720310274
"Q8IZA3_IDR_1_50",0.57207279689726
"Q8IZC4_IDR_185_221",0.333922914353954
"Q8IZC4_IDR_409_445",0.346297807702311
"Q8IZC4_IDR_476_603",0.319779277943735
"Q8IZC6_IDR_1_36",0.550847426393394
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.483379717789908
"Q8IZJ3_IDR_1758_1835",0.516620282210092
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.558291210761319
"Q8IZL8_IDR_637_1130",0.441708789238681
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.446832390977615
"Q8IZN3_IDR_323_488",0.553167609022385
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.48087391002626
"Q8IZP6_IDR_97_147",0.519126089973739
"Q8IZP7_IDR_1_118",0.554435925000195
"Q8IZP7_IDR_426_459",0.445564074999805
"Q8IZP9_IDR_249_371",0.26963181971935
"Q8IZP9_IDR_39_74",0.277043273180611
"Q8IZU9_IDR_701_778",0.506110382309654
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.173931955553059
"Q8IZX4_IDR_1220_1400",0.183275123373969
"Q8IZX4_IDR_1644_1826",0.14256949689383
"Q8IZX4_IDR_268_354",0.163782459344611
"Q8IZX4_IDR_536_578",0.186618672589763
"Q8IZX4_IDR_82_235",0.149822292244768
"Q8IZY2_IDR_1152_1210",0.501331944451973
"Q8IZY2_IDR_2105_2146",0.498668055548027
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.538981263753815
"Q8N0S2_IDR_260_351",0.461018736246185
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.25340673227444
"Q8N0U7_IDR_267_299",0.272212941502058
"Q8N0U7_IDR_37_122",0.230477247569547
"Q8N0U7_IDR_391_467",0.243903078653954
"Q8N103_IDR_1_81",0.489758663285576
"Q8N103_IDR_283_731",0.510241336714424
"Q8N108_IDR_1_176",0.451093596580795
"Q8N108_IDR_344_512",0.548906403419205
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.515708995188637
"Q8N114_IDR_203_240",0.484291004811363
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.498127653734192
"Q8N122_IDR_820_949",0.501872346265808
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.524872418089013
"Q8N128_IDR_68_213",0.475127581910987
"Q8N129_IDR_1_32",0.585202625405881
"Q8N129_IDR_202_248",0.414797374594119
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.342248644575037
"Q8N137_IDR_442_797",0.344164348395025
