"","GO0030545_signaling_receptor_regulator_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.340665670725398
"Q5VUJ6_IDR_1_54",0.499317975895897
"Q5VUJ6_IDR_308_649",0.500682024104103
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.431837807775278
"Q5VV16_IDR_235_409",0.568162192224722
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.492398854986434
"Q5VV42_IDR_499_545",0.507601145013566
"Q5VWN6_IDR_1918_1981",0.176403633741979
"Q5VWN6_IDR_1993_2150",0.188932443483699
"Q5VWN6_IDR_803_1879",0.143655660773786
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.348978593405971
"Q5VWQ0_IDR_63_351",0.34542220912564
"Q5VWQ0_IDR_708_802",0.305599197468388
"Q5VWQ8_IDR_1141_1189",0.323881713167226
"Q5VWQ8_IDR_1_142",0.394642970219396
"Q5VWQ8_IDR_654_1098",0.281475316613378
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.19895101138698
"Q5VZL5_IDR_1_334",0.191952631019275
"Q5VZL5_IDR_640_677",0.19983015684855
"Q5VZL5_IDR_851_997",0.200368099357389
"Q5VZL5_IDR_999_1200",0.208898101387805
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.155945473065241
"Q5VZP5_IDR_45_103",0.191899808923793
"Q5XX13_IDR_168_231",0.483722812725883
"Q5XX13_IDR_693_978",0.516277187274117
"Q5XXA6_IDR_1_48",0.337585946992962
"Q5XXA6_IDR_74_121",0.345279002282207
"Q5XXA6_IDR_945_986",0.317135050724831
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.494894140860253
"Q63HK3_IDR_383_743",0.505105859139747
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.306736097355446
"Q66K14_IDR_944_993",0.330616983680341
"Q66K41_IDR_1_291",0.54351407395333
"Q66K41_IDR_304_345",0.45648592604667
"Q66K64_IDR_1_37",0.523119337171276
"Q66K64_IDR_275_383",0.476880662828724
"Q66K66_IDR_241_349",0.468439388321471
"Q66K66_IDR_32_81",0.531560611678529
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.250651295391846
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.512057983420628
"Q8IU57_IDR_479_520",0.487942016579372
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.488570071523911
"Q8IU81_IDR_56_237",0.511429928476089
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.497263431666439
"Q8IUC6_IDR_634_673",0.502736568333561
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.265426805493864
"Q8IUD2_IDR_621_730",0.253714407702804
"Q8IUD2_IDR_764_839",0.242701849268982
"Q8IUD2_IDR_926_1072",0.238156937534349
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.501957230424288
"Q8IUE0_IDR_1_55",0.498042769575712
"Q8IUE1_IDR_116_241",0.496324832149267
"Q8IUE1_IDR_1_55",0.503675167850733
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.345526039057744
"Q8IUG5_IDR_1_504",0.307282533982824
"Q8IUW5_IDR_126_223",0.262307623199885
"Q8IUW5_IDR_1_54",0.26051566897843
"Q8IUW5_IDR_234_271",0.247818641453258
"Q8IUW5_IDR_91_123",0.229358066368428
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.380993576987073
"Q8IUX7_IDR_1099_1138",0.315563724659684
"Q8IUX7_IDR_44_388",0.303442698353243
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.530335792710286
"Q8IUY3_IDR_182_321",0.469664207289714
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.488353650164889
"Q8IV04_IDR_352_446",0.511646349835111
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.546606420019176
"Q8IV31_IDR_62_184",0.453393579980824
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.222132506605076
"Q8IVE3_IDR_1453_1493",0.274737403287161
"Q8IVE3_IDR_36_69",0.2475840071516
"Q8IVE3_IDR_71_132",0.255546082956164
"Q8IVF1_IDR_14_81",0.201674702735104
"Q8IVF1_IDR_232_366",0.197586415473594
"Q8IVF1_IDR_407_522",0.181454592983138
"Q8IVF1_IDR_525_878",0.215680213499271
"Q8IVF1_IDR_83_205",0.203604075308893
"Q8IVF2_IDR_1_114",0.330474423646027
"Q8IVF2_IDR_1794_5795",0.311255093171467
"Q8IVF2_IDR_195_1792",0.358270483182506
"Q8IVF4_IDR_156_187",0.530627740813442
"Q8IVF4_IDR_1_66",0.469372259186558
"Q8IVF5_IDR_1017_1093",0.252107037038828
"Q8IVF5_IDR_1461_1667",0.249925357718822
"Q8IVF5_IDR_1_498",0.226597476632399
"Q8IVF5_IDR_749_804",0.271370128609951
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.283609322059712
"Q8IVW6_IDR_319_491",0.412986841753082
"Q8IVW6_IDR_516_561",0.303403836187206
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.330384808710023
"Q8IW35_IDR_575_628",0.360553402381828
"Q8IW35_IDR_633_854",0.309061788908149
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.514260208561747
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.505783954319334
"Q8IWE2_IDR_404_437",0.494216045680666
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.430484833472931
"Q8IWF9_IDR_234_348",0.569515166527069
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.0967215144641075
"Q8IWI9_IDR_1340_1371",0.112181854879058
"Q8IWI9_IDR_1398_1903",0.10536541068945
"Q8IWI9_IDR_1905_2856",0.100365071388147
"Q8IWI9_IDR_261_649",0.105160507685348
"Q8IWI9_IDR_2974_3016",0.117191116116574
"Q8IWI9_IDR_3020_3065",0.11160071754477
"Q8IWI9_IDR_681_751",0.135743516948269
"Q8IWI9_IDR_753_1079",0.115670290284278
"Q8IWJ2_IDR_1_69",0.330299528453944
"Q8IWT3_IDR_1658_1690",0.261063865043518
"Q8IWT3_IDR_2437_2517",0.232808309917437
"Q8IWT6_IDR_180_231",0.50665425198571
"Q8IWT6_IDR_62_95",0.49334574801429
"Q8IWU2_IDR_1_101",0.261347255963349
"Q8IWU2_IDR_1377_1415",0.237759438488606
"Q8IWU2_IDR_1426_1459",0.248110687181999
"Q8IWU2_IDR_557_1314",0.252782618366046
"Q8IWU5_IDR_1_40",0.38475312573171
"Q8IWU5_IDR_557_594",0.190595038062272
"Q8IWU5_IDR_648_718",0.21353463447573
"Q8IWU5_IDR_824_860",0.211117201730288
"Q8IWU6_IDR_1_37",0.307840586385768
"Q8IWU6_IDR_510_543",0.238031986864892
"Q8IWU6_IDR_561_610",0.214383692674539
"Q8IWU6_IDR_666_738",0.239743734074801
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.392580714388829
"Q8IWV1_IDR_178_270",0.303712287894686
"Q8IWV1_IDR_295_398",0.303706997716484
"Q8IX03_IDR_790_917",0.211671533052229
"Q8IX03_IDR_945_991",0.252949222192233
"Q8IX07_IDR_1_83",0.308160121202145
"Q8IX07_IDR_194_247",0.360982782211199
"Q8IX07_IDR_266_972",0.330857096586656
"Q8IX12_IDR_212_357",0.218640473658733
"Q8IX12_IDR_599_722",0.190054887720517
"Q8IX12_IDR_793_917",0.18140857266762
"Q8IX12_IDR_9_144",0.200336441773193
"Q8IX12_IDR_981_1021",0.209559624179937
"Q8IX15_IDR_125_364",0.274005270476165
"Q8IX15_IDR_1_38",0.24572803166939
"Q8IX15_IDR_420_461",0.251418635728482
"Q8IX15_IDR_504_550",0.228848062125963
"Q8IX18_IDR_1_50",0.512311126892055
"Q8IX18_IDR_706_779",0.487688873107945
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.444518240202704
"Q8IX29_IDR_239_292",0.555481759797296
"Q8IXP5_IDR_108_216",0.470972908765241
"Q8IXP5_IDR_1_106",0.529027091234759
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.493602147296794
"Q8IXQ8_IDR_211_264",0.506397852703206
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.350739676924459
"Q8IXT5_IDR_485_921",0.314933419848028
"Q8IXT5_IDR_89_151",0.334326903227513
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.310189464927796
"Q8IXW0_IDR_176_344",0.327394952851546
"Q8IXW0_IDR_466_587",0.362415582220658
"Q8IXW5_IDR_1_41",0.515997941321611
"Q8IXW5_IDR_171_324",0.484002058678389
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.471453770393845
"Q8IY63_IDR_493_952",0.528546229606155
"Q8IY67_IDR_1_35",0.324967897716173
"Q8IY67_IDR_349_606",0.675032102283827
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.527494344930592
"Q8IY84_IDR_7_44",0.472505655069408
"Q8IY85_IDR_375_441",0.500365855199353
"Q8IY85_IDR_77_146",0.499634144800647
"Q8IY92_IDR_1_50",0.16481605281157
"Q8IY92_IDR_377_470",0.170004117795658
"Q8IY92_IDR_558_613",0.169977382402323
"Q8IY92_IDR_630_669",0.176515027330298
"Q8IY92_IDR_64_289",0.162646900985281
"Q8IY92_IDR_824_1750",0.15604051867487
"Q8IYE1_IDR_684_715",0.428822487784873
"Q8IYF1_IDR_647_753",0.510516798558765
"Q8IYF1_IDR_79_458",0.489483201441235
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.307455638824902
"Q8IYH5_IDR_573_649",0.358197647146558
"Q8IYH5_IDR_714_786",0.33434671402854
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.520091362353094
"Q8IYI6_IDR_287_328",0.479908637646906
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.265698013240051
"Q8IYJ0_IDR_112_175",0.249057962058125
"Q8IYJ0_IDR_204_238",0.235057898169929
"Q8IYJ0_IDR_240_282",0.250186126531895
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.645624443729088
"Q8IYK4_IDR_584_626",0.354375556270912
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162693111039346
"Q8IYW2_IDR_1347_1410",0.156922739977347
"Q8IYW2_IDR_1985_2022",0.166993937168639
"Q8IYW2_IDR_2287_2320",0.167461080696993
"Q8IYW2_IDR_2540_2579",0.177091452701255
"Q8IYW2_IDR_2630_2661",0.16883767841642
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.48357163674488
"Q8IZ41_IDR_77_124",0.51642836325512
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.306851677838872
"Q8IZ63_IDR_360_422",0.306564405438145
"Q8IZ63_IDR_87_332",0.386583916722983
"Q8IZ69_IDR_1_56",0.480392978498001
"Q8IZ69_IDR_591_625",0.519607021501999
"Q8IZ73_IDR_31_122",0.480455071464136
"Q8IZ73_IDR_421_495",0.519544928535864
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.358917553761196
"Q8IZA0_IDR_201_244",0.314924009171221
"Q8IZA0_IDR_957_1015",0.326158437067583
"Q8IZA3_IDR_114_346",0.486040129492848
"Q8IZA3_IDR_1_50",0.513959870507152
"Q8IZC4_IDR_185_221",0.370670037274343
"Q8IZC4_IDR_409_445",0.322487135541294
"Q8IZC4_IDR_476_603",0.306842827184364
"Q8IZC6_IDR_1_36",0.50419361058212
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.504333283854088
"Q8IZJ3_IDR_1758_1835",0.495666716145912
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.547092355256872
"Q8IZL8_IDR_637_1130",0.452907644743128
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.4304340718872
"Q8IZN3_IDR_323_488",0.5695659281128
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.48573297556585
"Q8IZP6_IDR_97_147",0.51426702443415
"Q8IZP7_IDR_1_118",0.493718250958593
"Q8IZP7_IDR_426_459",0.506281749041407
"Q8IZP9_IDR_249_371",0.247545698712205
"Q8IZP9_IDR_39_74",0.253675027636404
"Q8IZU9_IDR_701_778",0.500358704283838
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.165277542777959
"Q8IZX4_IDR_1220_1400",0.179124202374025
"Q8IZX4_IDR_1644_1826",0.157202390127206
"Q8IZX4_IDR_268_354",0.163037723750864
"Q8IZX4_IDR_536_578",0.181412999194521
"Q8IZX4_IDR_82_235",0.153945141775425
"Q8IZY2_IDR_1152_1210",0.516566901098846
"Q8IZY2_IDR_2105_2146",0.483433098901154
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.501400776586847
"Q8N0S2_IDR_260_351",0.498599223413153
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.264984790678165
"Q8N0U7_IDR_267_299",0.242776410843429
"Q8N0U7_IDR_37_122",0.240611968181164
"Q8N0U7_IDR_391_467",0.251626830297241
"Q8N103_IDR_1_81",0.523322310804573
"Q8N103_IDR_283_731",0.476677689195427
"Q8N108_IDR_1_176",0.488890285396442
"Q8N108_IDR_344_512",0.511109714603558
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.505886276211346
"Q8N114_IDR_203_240",0.494113723788654
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.512937916768988
"Q8N122_IDR_820_949",0.487062083231011
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.53482341580449
"Q8N128_IDR_68_213",0.46517658419551
"Q8N129_IDR_1_32",0.542104170552214
"Q8N129_IDR_202_248",0.457895829447785
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.342384277180698
