"","GO0051648_vesicle_localization"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.277864605801919
"Q5VUJ6_IDR_1_54",0.425142267658137
"Q5VUJ6_IDR_308_649",0.574857732341863
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.523310571395715
"Q5VV16_IDR_235_409",0.476689428604285
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.502644628841769
"Q5VV42_IDR_499_545",0.497355371158231
"Q5VWN6_IDR_1918_1981",0.173201249303974
"Q5VWN6_IDR_1993_2150",0.16530117529718
"Q5VWN6_IDR_803_1879",0.165891740927468
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.31389904913716
"Q5VWQ0_IDR_63_351",0.367566262917539
"Q5VWQ0_IDR_708_802",0.318534687945302
"Q5VWQ8_IDR_1141_1189",0.338201324317225
"Q5VWQ8_IDR_1_142",0.328893029807464
"Q5VWQ8_IDR_654_1098",0.33290564587531
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.188491278303841
"Q5VZL5_IDR_1_334",0.217393252416958
"Q5VZL5_IDR_640_677",0.1870578459312
"Q5VZL5_IDR_851_997",0.189814332691104
"Q5VZL5_IDR_999_1200",0.217243290656897
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163494367098934
"Q5VZP5_IDR_45_103",0.15118710956941
"Q5XX13_IDR_168_231",0.48473982492628
"Q5XX13_IDR_693_978",0.51526017507372
"Q5XXA6_IDR_1_48",0.343436970967766
"Q5XXA6_IDR_74_121",0.336723978941006
"Q5XXA6_IDR_945_986",0.319839050091228
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.494884919617504
"Q63HK3_IDR_383_743",0.505115080382496
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.32142778944713
"Q66K14_IDR_944_993",0.356828298656721
"Q66K41_IDR_1_291",0.484734330090092
"Q66K41_IDR_304_345",0.515265669909908
"Q66K64_IDR_1_37",0.516819426182699
"Q66K64_IDR_275_383",0.483180573817301
"Q66K66_IDR_241_349",0.503199523487366
"Q66K66_IDR_32_81",0.496800476512634
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.234351586509831
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.490938109284758
"Q8IU57_IDR_479_520",0.509061890715242
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.489106547609085
"Q8IU81_IDR_56_237",0.510893452390915
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.495313487542656
"Q8IUC6_IDR_634_673",0.504686512457344
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.268037606812244
"Q8IUD2_IDR_621_730",0.254441049648692
"Q8IUD2_IDR_764_839",0.237082682685169
"Q8IUD2_IDR_926_1072",0.240438660853895
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.488687732483171
"Q8IUE0_IDR_1_55",0.51131226751683
"Q8IUE1_IDR_116_241",0.48993098516061
"Q8IUE1_IDR_1_55",0.51006901483939
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.301822091079326
"Q8IUG5_IDR_1_504",0.312869725796038
"Q8IUW5_IDR_126_223",0.228883405284561
"Q8IUW5_IDR_1_54",0.239760021226252
"Q8IUW5_IDR_234_271",0.269503883157657
"Q8IUW5_IDR_91_123",0.26185269033153
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.303785630650208
"Q8IUX7_IDR_1099_1138",0.339488400225188
"Q8IUX7_IDR_44_388",0.356725969124604
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.487269904229244
"Q8IUY3_IDR_182_321",0.512730095770756
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.503543409589565
"Q8IV04_IDR_352_446",0.496456590410435
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.48965798900177
"Q8IV31_IDR_62_184",0.51034201099823
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.226869665261869
"Q8IVE3_IDR_1453_1493",0.250767399811868
"Q8IVE3_IDR_36_69",0.256656093856069
"Q8IVE3_IDR_71_132",0.265706841070194
"Q8IVF1_IDR_14_81",0.195509503008418
"Q8IVF1_IDR_232_366",0.186034846842659
"Q8IVF1_IDR_407_522",0.205422066565289
"Q8IVF1_IDR_525_878",0.216644600502975
"Q8IVF1_IDR_83_205",0.196388983080659
"Q8IVF2_IDR_1_114",0.211453264087044
"Q8IVF2_IDR_1794_5795",0.411721755425885
"Q8IVF2_IDR_195_1792",0.376824980487071
"Q8IVF4_IDR_156_187",0.489905672033308
"Q8IVF4_IDR_1_66",0.510094327966692
"Q8IVF5_IDR_1017_1093",0.252586247434266
"Q8IVF5_IDR_1461_1667",0.249364967242944
"Q8IVF5_IDR_1_498",0.245895392926756
"Q8IVF5_IDR_749_804",0.252153392396034
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.356210022459593
"Q8IVW6_IDR_319_491",0.353040830871255
"Q8IVW6_IDR_516_561",0.290749146669152
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.338756502177291
"Q8IW35_IDR_575_628",0.349512634533258
"Q8IW35_IDR_633_854",0.311730863289451
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.487376303289646
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.475070591159582
"Q8IWE2_IDR_404_437",0.524929408840417
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.502062758392108
"Q8IWF9_IDR_234_348",0.497937241607893
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.101497631305964
"Q8IWI9_IDR_1340_1371",0.0996154015748448
"Q8IWI9_IDR_1398_1903",0.099347404650262
"Q8IWI9_IDR_1905_2856",0.175835114950252
"Q8IWI9_IDR_261_649",0.111589574005083
"Q8IWI9_IDR_2974_3016",0.102363276143198
"Q8IWI9_IDR_3020_3065",0.103097710699464
"Q8IWI9_IDR_681_751",0.112328122873853
"Q8IWI9_IDR_753_1079",0.094325763797079
"Q8IWJ2_IDR_1_69",0.301556560453365
"Q8IWT3_IDR_1658_1690",0.256416726415861
"Q8IWT3_IDR_2437_2517",0.284072191259924
"Q8IWT6_IDR_180_231",0.521976373082612
"Q8IWT6_IDR_62_95",0.478023626917388
"Q8IWU2_IDR_1_101",0.226125464115044
"Q8IWU2_IDR_1377_1415",0.236059885843432
"Q8IWU2_IDR_1426_1459",0.228409026810867
"Q8IWU2_IDR_557_1314",0.309405623230658
"Q8IWU5_IDR_1_40",0.260418337635601
"Q8IWU5_IDR_557_594",0.254532524047806
"Q8IWU5_IDR_648_718",0.243462991535692
"Q8IWU5_IDR_824_860",0.241586146780902
"Q8IWU6_IDR_1_37",0.241028375780241
"Q8IWU6_IDR_510_543",0.246252741627417
"Q8IWU6_IDR_561_610",0.267277964974569
"Q8IWU6_IDR_666_738",0.245440917617774
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.324937340371458
"Q8IWV1_IDR_178_270",0.331991453097872
"Q8IWV1_IDR_295_398",0.34307120653067
"Q8IX03_IDR_790_917",0.25262475100405
"Q8IX03_IDR_945_991",0.242958744690038
"Q8IX07_IDR_1_83",0.364382934718126
"Q8IX07_IDR_194_247",0.335364943938581
"Q8IX07_IDR_266_972",0.300252121343293
"Q8IX12_IDR_212_357",0.18989030413436
"Q8IX12_IDR_599_722",0.213182630098919
"Q8IX12_IDR_793_917",0.223231915477146
"Q8IX12_IDR_9_144",0.178182631782249
"Q8IX12_IDR_981_1021",0.195512518507327
"Q8IX15_IDR_125_364",0.252313223024117
"Q8IX15_IDR_1_38",0.249737065867206
"Q8IX15_IDR_420_461",0.24197737932225
"Q8IX15_IDR_504_550",0.255972331786427
"Q8IX18_IDR_1_50",0.432710062495398
"Q8IX18_IDR_706_779",0.567289937504602
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.476727317663827
"Q8IX29_IDR_239_292",0.523272682336173
"Q8IXP5_IDR_108_216",0.494672006410189
"Q8IXP5_IDR_1_106",0.505327993589811
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.51304880044581
"Q8IXQ8_IDR_211_264",0.48695119955419
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.336867328743717
"Q8IXT5_IDR_485_921",0.3295611641125
"Q8IXT5_IDR_89_151",0.333571507143783
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.327814895085779
"Q8IXW0_IDR_176_344",0.351296716551353
"Q8IXW0_IDR_466_587",0.320888388362868
"Q8IXW5_IDR_1_41",0.524430535579036
"Q8IXW5_IDR_171_324",0.475569464420964
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.453053115674611
"Q8IY63_IDR_493_952",0.546946884325389
"Q8IY67_IDR_1_35",0.477736610595532
"Q8IY67_IDR_349_606",0.522263389404468
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.494611718764994
"Q8IY84_IDR_7_44",0.505388281235006
"Q8IY85_IDR_375_441",0.512369119359947
"Q8IY85_IDR_77_146",0.487630880640053
"Q8IY92_IDR_1_50",0.164974372465785
"Q8IY92_IDR_377_470",0.172055374975425
"Q8IY92_IDR_558_613",0.164269131860185
"Q8IY92_IDR_630_669",0.162049603628351
"Q8IY92_IDR_64_289",0.173927189811739
"Q8IY92_IDR_824_1750",0.162724327258516
"Q8IYE1_IDR_684_715",0.320718937839813
"Q8IYF1_IDR_647_753",0.442158263533097
"Q8IYF1_IDR_79_458",0.557841736466903
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.319822381880712
"Q8IYH5_IDR_573_649",0.330159178803447
"Q8IYH5_IDR_714_786",0.350018439315841
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.462468226866294
"Q8IYI6_IDR_287_328",0.537531773133706
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.239542231705674
"Q8IYJ0_IDR_112_175",0.25789988898847
"Q8IYJ0_IDR_204_238",0.251067354792011
"Q8IYJ0_IDR_240_282",0.251490524513845
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.483917515382373
"Q8IYK4_IDR_584_626",0.516082484617627
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.160401211050737
"Q8IYW2_IDR_1347_1410",0.181639060511976
"Q8IYW2_IDR_1985_2022",0.17047469302962
"Q8IYW2_IDR_2287_2320",0.164020371578834
"Q8IYW2_IDR_2540_2579",0.161441140514333
"Q8IYW2_IDR_2630_2661",0.1620235233145
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.480017672319866
"Q8IZ41_IDR_77_124",0.519982327680134
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.322938103574886
"Q8IZ63_IDR_360_422",0.343847240343794
"Q8IZ63_IDR_87_332",0.33321465608132
"Q8IZ69_IDR_1_56",0.500569113577574
"Q8IZ69_IDR_591_625",0.499430886422426
"Q8IZ73_IDR_31_122",0.488725030880494
"Q8IZ73_IDR_421_495",0.511274969119506
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.325885475804701
"Q8IZA0_IDR_201_244",0.338138576138156
"Q8IZA0_IDR_957_1015",0.335975948057143
"Q8IZA3_IDR_114_346",0.517807477980051
"Q8IZA3_IDR_1_50",0.482192522019949
"Q8IZC4_IDR_185_221",0.346390853987925
"Q8IZC4_IDR_409_445",0.327490115189183
"Q8IZC4_IDR_476_603",0.326119030822891
"Q8IZC6_IDR_1_36",0.505034303863088
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.510998148341806
"Q8IZJ3_IDR_1758_1835",0.489001851658194
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.485269636514204
"Q8IZL8_IDR_637_1130",0.514730363485796
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.510718259815685
"Q8IZN3_IDR_323_488",0.489281740184315
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.484526552867944
"Q8IZP6_IDR_97_147",0.515473447132056
"Q8IZP7_IDR_1_118",0.478064722990144
"Q8IZP7_IDR_426_459",0.521935277009856
"Q8IZP9_IDR_249_371",0.249943033919908
"Q8IZP9_IDR_39_74",0.248129731864039
"Q8IZU9_IDR_701_778",0.481601552502827
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.170073143447911
"Q8IZX4_IDR_1220_1400",0.150262581778212
"Q8IZX4_IDR_1644_1826",0.212435037215997
"Q8IZX4_IDR_268_354",0.14872589117871
"Q8IZX4_IDR_536_578",0.15192477992835
"Q8IZX4_IDR_82_235",0.166578566450819
"Q8IZY2_IDR_1152_1210",0.509241261398918
"Q8IZY2_IDR_2105_2146",0.490758738601082
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.489807415653427
"Q8N0S2_IDR_260_351",0.510192584346573
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.248590660895334
"Q8N0U7_IDR_267_299",0.240692380718314
"Q8N0U7_IDR_37_122",0.253081301881316
"Q8N0U7_IDR_391_467",0.257635656505037
"Q8N103_IDR_1_81",0.503280464227318
"Q8N103_IDR_283_731",0.496719535772682
"Q8N108_IDR_1_176",0.56328967744998
"Q8N108_IDR_344_512",0.436710322550019
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.489477878997342
"Q8N114_IDR_203_240",0.510522121002658
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504940664643201
"Q8N122_IDR_820_949",0.495059335356799
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.482976195258176
"Q8N128_IDR_68_213",0.517023804741824
"Q8N129_IDR_1_32",0.450759394872098
"Q8N129_IDR_202_248",0.549240605127902
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.328054538549395
"Q8N137_IDR_442_797",0.380169727653849
