"","GO0043565_sequence_specific_DNA_binding"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.256601120883527
"Q5VUJ6_IDR_1_54",0.458031486796518
"Q5VUJ6_IDR_308_649",0.541968513203482
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.445224855891093
"Q5VV16_IDR_235_409",0.554775144108907
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.3790680727651
"Q5VV42_IDR_499_545",0.6209319272349
"Q5VWN6_IDR_1918_1981",0.169883029576846
"Q5VWN6_IDR_1993_2150",0.185393352123551
"Q5VWN6_IDR_803_1879",0.147959775971093
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.142079734120465
"Q5VWQ0_IDR_63_351",0.573672677989615
"Q5VWQ0_IDR_708_802",0.28424758788992
"Q5VWQ8_IDR_1141_1189",0.360214743135185
"Q5VWQ8_IDR_1_142",0.32139466735285
"Q5VWQ8_IDR_654_1098",0.318390589511965
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.223470166725524
"Q5VZL5_IDR_1_334",0.310946841772661
"Q5VZL5_IDR_640_677",0.147031844995512
"Q5VZL5_IDR_851_997",0.161355261054386
"Q5VZL5_IDR_999_1200",0.157195885451917
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.159993215224472
"Q5VZP5_IDR_45_103",0.208436491371252
"Q5XX13_IDR_168_231",0.435834894142688
"Q5XX13_IDR_693_978",0.564165105857312
"Q5XXA6_IDR_1_48",0.246910571279501
"Q5XXA6_IDR_74_121",0.480579424222466
"Q5XXA6_IDR_945_986",0.272510004498033
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.499175483697877
"Q63HK3_IDR_383_743",0.500824516302123
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.328237886926261
"Q66K14_IDR_944_993",0.328765289844021
"Q66K41_IDR_1_291",0.467298934852616
"Q66K41_IDR_304_345",0.532701065147384
"Q66K64_IDR_1_37",0.545684754079546
"Q66K64_IDR_275_383",0.454315245920454
"Q66K66_IDR_241_349",0.772236083699051
"Q66K66_IDR_32_81",0.227763916300949
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.237370534344476
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.540416986138682
"Q8IU57_IDR_479_520",0.459583013861318
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.466378841456883
"Q8IU81_IDR_56_237",0.533621158543117
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.506156739660488
"Q8IUC6_IDR_634_673",0.493843260339512
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.239598246183154
"Q8IUD2_IDR_621_730",0.193852253969336
"Q8IUD2_IDR_764_839",0.205684620912347
"Q8IUD2_IDR_926_1072",0.360864878935164
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.52482951521438
"Q8IUE0_IDR_1_55",0.47517048478562
"Q8IUE1_IDR_116_241",0.549298871816195
"Q8IUE1_IDR_1_55",0.450701128183805
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.416102789673581
"Q8IUG5_IDR_1_504",0.299606680737587
"Q8IUW5_IDR_126_223",0.271282688184262
"Q8IUW5_IDR_1_54",0.262353260674494
"Q8IUW5_IDR_234_271",0.230471431811732
"Q8IUW5_IDR_91_123",0.235892619329513
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.322352706307332
"Q8IUX7_IDR_1099_1138",0.38022261283801
"Q8IUX7_IDR_44_388",0.297424680854658
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.61047496460888
"Q8IUY3_IDR_182_321",0.38952503539112
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.524763140937495
"Q8IV04_IDR_352_446",0.475236859062505
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.499247204363566
"Q8IV31_IDR_62_184",0.500752795636434
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.248787412041103
"Q8IVE3_IDR_1453_1493",0.284227388339725
"Q8IVE3_IDR_36_69",0.244347368257821
"Q8IVE3_IDR_71_132",0.222637831361351
"Q8IVF1_IDR_14_81",0.196731329782247
"Q8IVF1_IDR_232_366",0.196836869102312
"Q8IVF1_IDR_407_522",0.196966544714825
"Q8IVF1_IDR_525_878",0.215543018203618
"Q8IVF1_IDR_83_205",0.193922238196998
"Q8IVF2_IDR_1_114",0.351862264154577
"Q8IVF2_IDR_1794_5795",0.339041420425457
"Q8IVF2_IDR_195_1792",0.309096315419966
"Q8IVF4_IDR_156_187",0.552468514845787
"Q8IVF4_IDR_1_66",0.447531485154213
"Q8IVF5_IDR_1017_1093",0.21501835370845
"Q8IVF5_IDR_1461_1667",0.247840081358086
"Q8IVF5_IDR_1_498",0.362847557140828
"Q8IVF5_IDR_749_804",0.174294007792636
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.336498202878619
"Q8IVW6_IDR_319_491",0.345221870387096
"Q8IVW6_IDR_516_561",0.318279926734285
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.444030518832984
"Q8IW35_IDR_575_628",0.278828901043611
"Q8IW35_IDR_633_854",0.277140580123405
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.541207592653822
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.533622986603702
"Q8IWE2_IDR_404_437",0.466377013396298
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.453358714343392
"Q8IWF9_IDR_234_348",0.546641285656608
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.121237203496192
"Q8IWI9_IDR_1340_1371",0.107700644918118
"Q8IWI9_IDR_1398_1903",0.0869370492984651
"Q8IWI9_IDR_1905_2856",0.090274507901093
"Q8IWI9_IDR_261_649",0.209865125621449
"Q8IWI9_IDR_2974_3016",0.0992836549611183
"Q8IWI9_IDR_3020_3065",0.095651578395136
"Q8IWI9_IDR_681_751",0.10622834610063
"Q8IWI9_IDR_753_1079",0.0828218893077988
"Q8IWJ2_IDR_1_69",0.268427730201904
"Q8IWT3_IDR_1658_1690",0.21513886100207
"Q8IWT3_IDR_2437_2517",0.218530500754781
"Q8IWT6_IDR_180_231",0.46251631362009
"Q8IWT6_IDR_62_95",0.53748368637991
"Q8IWU2_IDR_1_101",0.290737397399752
"Q8IWU2_IDR_1377_1415",0.258322401255117
"Q8IWU2_IDR_1426_1459",0.227392371630756
"Q8IWU2_IDR_557_1314",0.223547829714375
"Q8IWU5_IDR_1_40",0.21999107124322
"Q8IWU5_IDR_557_594",0.244702558236459
"Q8IWU5_IDR_648_718",0.231507315801592
"Q8IWU5_IDR_824_860",0.303799054718729
"Q8IWU6_IDR_1_37",0.248158401196564
"Q8IWU6_IDR_510_543",0.276120884097867
"Q8IWU6_IDR_561_610",0.25962581084902
"Q8IWU6_IDR_666_738",0.21609490385655
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.301763152724841
"Q8IWV1_IDR_178_270",0.310092771830635
"Q8IWV1_IDR_295_398",0.388144075444524
"Q8IX03_IDR_790_917",0.230502029057324
"Q8IX03_IDR_945_991",0.271124893095311
"Q8IX07_IDR_1_83",0.123417157652125
"Q8IX07_IDR_194_247",0.181042262514588
"Q8IX07_IDR_266_972",0.695540579833286
"Q8IX12_IDR_212_357",0.131636903879262
"Q8IX12_IDR_599_722",0.166511594552236
"Q8IX12_IDR_793_917",0.157794552259546
"Q8IX12_IDR_9_144",0.326718428930629
"Q8IX12_IDR_981_1021",0.217338520378326
"Q8IX15_IDR_125_364",0.392211629914193
"Q8IX15_IDR_1_38",0.207706714615244
"Q8IX15_IDR_420_461",0.203172008192067
"Q8IX15_IDR_504_550",0.196909647278496
"Q8IX18_IDR_1_50",0.512272325068767
"Q8IX18_IDR_706_779",0.487727674931233
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.529188814764244
"Q8IX29_IDR_239_292",0.470811185235756
"Q8IXP5_IDR_108_216",0.565004770641006
"Q8IXP5_IDR_1_106",0.434995229358994
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.437762813582873
"Q8IXQ8_IDR_211_264",0.562237186417127
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.338004142286639
"Q8IXT5_IDR_485_921",0.330540954835861
"Q8IXT5_IDR_89_151",0.331454902877501
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.343933990912365
"Q8IXW0_IDR_176_344",0.351433530050032
"Q8IXW0_IDR_466_587",0.304632479037603
"Q8IXW5_IDR_1_41",0.48007815484093
"Q8IXW5_IDR_171_324",0.51992184515907
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.604267152714205
"Q8IY63_IDR_493_952",0.395732847285795
"Q8IY67_IDR_1_35",0.401031327924221
"Q8IY67_IDR_349_606",0.598968672075779
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.533424891157379
"Q8IY84_IDR_7_44",0.466575108842621
"Q8IY85_IDR_375_441",0.465085257916194
"Q8IY85_IDR_77_146",0.534914742083806
"Q8IY92_IDR_1_50",0.187955493185396
"Q8IY92_IDR_377_470",0.143243746072524
"Q8IY92_IDR_558_613",0.178439067899858
"Q8IY92_IDR_630_669",0.168101444862727
"Q8IY92_IDR_64_289",0.138588516072625
"Q8IY92_IDR_824_1750",0.183671731906871
"Q8IYE1_IDR_684_715",0.64697042453346
"Q8IYF1_IDR_647_753",0.444191562495278
"Q8IYF1_IDR_79_458",0.555808437504722
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.329514787512609
"Q8IYH5_IDR_573_649",0.322870310296797
"Q8IYH5_IDR_714_786",0.347614902190594
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.511754724439902
"Q8IYI6_IDR_287_328",0.488245275560098
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.245448457882269
"Q8IYJ0_IDR_112_175",0.257242484523737
"Q8IYJ0_IDR_204_238",0.239997506427654
"Q8IYJ0_IDR_240_282",0.25731155116634
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.461335384620667
"Q8IYK4_IDR_584_626",0.538664615379333
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.186764057021874
"Q8IYW2_IDR_1347_1410",0.143016121263371
"Q8IYW2_IDR_1985_2022",0.163758527084328
"Q8IYW2_IDR_2287_2320",0.164607841812258
"Q8IYW2_IDR_2540_2579",0.161249673145125
"Q8IYW2_IDR_2630_2661",0.180603779673045
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.558575750659109
"Q8IZ41_IDR_77_124",0.441424249340891
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.343143979013548
"Q8IZ63_IDR_360_422",0.267130451142628
"Q8IZ63_IDR_87_332",0.389725569843824
"Q8IZ69_IDR_1_56",0.467246487069493
"Q8IZ69_IDR_591_625",0.532753512930507
"Q8IZ73_IDR_31_122",0.422305337905833
"Q8IZ73_IDR_421_495",0.577694662094167
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.351009558321929
"Q8IZA0_IDR_201_244",0.350284715409694
"Q8IZA0_IDR_957_1015",0.298705726268377
"Q8IZA3_IDR_114_346",0.428666369266658
"Q8IZA3_IDR_1_50",0.571333630733342
"Q8IZC4_IDR_185_221",0.314660406008671
"Q8IZC4_IDR_409_445",0.347198120529577
"Q8IZC4_IDR_476_603",0.338141473461752
"Q8IZC6_IDR_1_36",0.567430817927343
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.477202340453474
"Q8IZJ3_IDR_1758_1835",0.522797659546526
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.504363471880916
"Q8IZL8_IDR_637_1130",0.495636528119084
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.277695624456314
"Q8IZN3_IDR_323_488",0.722304375543686
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.455940661128971
"Q8IZP6_IDR_97_147",0.544059338871029
"Q8IZP7_IDR_1_118",0.560753251610789
"Q8IZP7_IDR_426_459",0.439246748389211
"Q8IZP9_IDR_249_371",0.263557471815837
"Q8IZP9_IDR_39_74",0.280757152584158
"Q8IZU9_IDR_701_778",0.367526309200416
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.143368257585108
"Q8IZX4_IDR_1220_1400",0.156470156122098
"Q8IZX4_IDR_1644_1826",0.157201279261128
"Q8IZX4_IDR_268_354",0.15233583615943
"Q8IZX4_IDR_536_578",0.258815076930127
"Q8IZX4_IDR_82_235",0.131809393942109
"Q8IZY2_IDR_1152_1210",0.49650702086072
"Q8IZY2_IDR_2105_2146",0.50349297913928
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.461360206431441
"Q8N0S2_IDR_260_351",0.538639793568559
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.225419434279413
"Q8N0U7_IDR_267_299",0.223600693139237
"Q8N0U7_IDR_37_122",0.30175580678249
"Q8N0U7_IDR_391_467",0.24922406579886
"Q8N103_IDR_1_81",0.473909850859834
"Q8N103_IDR_283_731",0.526090149140165
"Q8N108_IDR_1_176",0.36237824198985
"Q8N108_IDR_344_512",0.63762175801015
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.52043569556789
"Q8N114_IDR_203_240",0.47956430443211
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.419931627206416
"Q8N122_IDR_820_949",0.580068372793584
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.308920653967819
"Q8N128_IDR_68_213",0.691079346032181
"Q8N129_IDR_1_32",0.51533656518973
"Q8N129_IDR_202_248",0.48466343481027
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.302608931857535
