"","GO0015630_microtubule_cytoskeleton"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.230580470753222
"Q5VUJ6_IDR_1_54",0.384799285259886
"Q5VUJ6_IDR_308_649",0.615200714740114
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.488918642973616
"Q5VV16_IDR_235_409",0.511081357026384
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.509130947664464
"Q5VV42_IDR_499_545",0.490869052335536
"Q5VWN6_IDR_1918_1981",0.160946773266218
"Q5VWN6_IDR_1993_2150",0.180261208128583
"Q5VWN6_IDR_803_1879",0.176486553080104
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.263306051013104
"Q5VWQ0_IDR_63_351",0.440034581216299
"Q5VWQ0_IDR_708_802",0.296659367770597
"Q5VWQ8_IDR_1141_1189",0.345696635551102
"Q5VWQ8_IDR_1_142",0.33998902283591
"Q5VWQ8_IDR_654_1098",0.314314341612987
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.181702004026428
"Q5VZL5_IDR_1_334",0.210903033611717
"Q5VZL5_IDR_640_677",0.181880439183223
"Q5VZL5_IDR_851_997",0.219645251179696
"Q5VZL5_IDR_999_1200",0.205869271998936
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.156724924053797
"Q5VZP5_IDR_45_103",0.16638878992388
"Q5XX13_IDR_168_231",0.40013052780463
"Q5XX13_IDR_693_978",0.599869472195369
"Q5XXA6_IDR_1_48",0.354203881508951
"Q5XXA6_IDR_74_121",0.326999533018486
"Q5XXA6_IDR_945_986",0.318796585472563
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.532336699884422
"Q63HK3_IDR_383_743",0.467663300115578
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.292898272376884
"Q66K14_IDR_944_993",0.362807344618827
"Q66K41_IDR_1_291",0.503747930323478
"Q66K41_IDR_304_345",0.496252069676523
"Q66K64_IDR_1_37",0.540957237874763
"Q66K64_IDR_275_383",0.459042762125236
"Q66K66_IDR_241_349",0.586989947550951
"Q66K66_IDR_32_81",0.413010052449049
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.224724820460987
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.497873948265954
"Q8IU57_IDR_479_520",0.502126051734045
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.490847712992706
"Q8IU81_IDR_56_237",0.509152287007294
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.528321861358529
"Q8IUC6_IDR_634_673",0.471678138641471
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.180147549005352
"Q8IUD2_IDR_621_730",0.295984630198736
"Q8IUD2_IDR_764_839",0.255122579195468
"Q8IUD2_IDR_926_1072",0.268745241600444
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.50821495364226
"Q8IUE0_IDR_1_55",0.49178504635774
"Q8IUE1_IDR_116_241",0.502955707377782
"Q8IUE1_IDR_1_55",0.497044292622218
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.328211501119141
"Q8IUG5_IDR_1_504",0.244906423696061
"Q8IUW5_IDR_126_223",0.253060506289005
"Q8IUW5_IDR_1_54",0.210299563544305
"Q8IUW5_IDR_234_271",0.309355792903064
"Q8IUW5_IDR_91_123",0.227284137263626
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.361735656473259
"Q8IUX7_IDR_1099_1138",0.262826881371058
"Q8IUX7_IDR_44_388",0.375437462155684
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.457591057771072
"Q8IUY3_IDR_182_321",0.542408942228928
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.433437830651513
"Q8IV04_IDR_352_446",0.566562169348487
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.463022429415116
"Q8IV31_IDR_62_184",0.536977570584884
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.249082629769038
"Q8IVE3_IDR_1453_1493",0.23420735129053
"Q8IVE3_IDR_36_69",0.254681541968729
"Q8IVE3_IDR_71_132",0.262028476971703
"Q8IVF1_IDR_14_81",0.202461127733699
"Q8IVF1_IDR_232_366",0.181160739159155
"Q8IVF1_IDR_407_522",0.227377207688631
"Q8IVF1_IDR_525_878",0.204526754973518
"Q8IVF1_IDR_83_205",0.184474170444996
"Q8IVF2_IDR_1_114",0.335840334031918
"Q8IVF2_IDR_1794_5795",0.31152205209916
"Q8IVF2_IDR_195_1792",0.352637613868922
"Q8IVF4_IDR_156_187",0.470811084153152
"Q8IVF4_IDR_1_66",0.529188915846848
"Q8IVF5_IDR_1017_1093",0.240170295421829
"Q8IVF5_IDR_1461_1667",0.293656149774434
"Q8IVF5_IDR_1_498",0.213399169718684
"Q8IVF5_IDR_749_804",0.252774385085054
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.317021714796778
"Q8IVW6_IDR_319_491",0.406382919081406
"Q8IVW6_IDR_516_561",0.276595366121816
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.358347807666309
"Q8IW35_IDR_575_628",0.369269576136863
"Q8IW35_IDR_633_854",0.272382616196827
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.483165895667281
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.475462167451177
"Q8IWE2_IDR_404_437",0.524537832548823
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.501555875865441
"Q8IWF9_IDR_234_348",0.498444124134559
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.11679440286922
"Q8IWI9_IDR_1340_1371",0.0989483048584368
"Q8IWI9_IDR_1398_1903",0.100750334521124
"Q8IWI9_IDR_1905_2856",0.178956962918553
"Q8IWI9_IDR_261_649",0.10228590927594
"Q8IWI9_IDR_2974_3016",0.0821114261704402
"Q8IWI9_IDR_3020_3065",0.0973878816427123
"Q8IWI9_IDR_681_751",0.109569967828072
"Q8IWI9_IDR_753_1079",0.113194809915501
"Q8IWJ2_IDR_1_69",0.2891163843239
"Q8IWT3_IDR_1658_1690",0.244275128564699
"Q8IWT3_IDR_2437_2517",0.232455172682601
"Q8IWT6_IDR_180_231",0.473521072796015
"Q8IWT6_IDR_62_95",0.526478927203985
"Q8IWU2_IDR_1_101",0.247993419891351
"Q8IWU2_IDR_1377_1415",0.217520421276977
"Q8IWU2_IDR_1426_1459",0.264928306038722
"Q8IWU2_IDR_557_1314",0.26955785279295
"Q8IWU5_IDR_1_40",0.265894673304783
"Q8IWU5_IDR_557_594",0.211677128701529
"Q8IWU5_IDR_648_718",0.267016231972942
"Q8IWU5_IDR_824_860",0.255411966020746
"Q8IWU6_IDR_1_37",0.258795855160704
"Q8IWU6_IDR_510_543",0.25790316574506
"Q8IWU6_IDR_561_610",0.206085099467699
"Q8IWU6_IDR_666_738",0.277215879626537
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.319397677359952
"Q8IWV1_IDR_178_270",0.34014266398583
"Q8IWV1_IDR_295_398",0.340459658654218
"Q8IX03_IDR_790_917",0.263565106111542
"Q8IX03_IDR_945_991",0.251781521172019
"Q8IX07_IDR_1_83",0.325606220663777
"Q8IX07_IDR_194_247",0.352313189622212
"Q8IX07_IDR_266_972",0.322080589714012
"Q8IX12_IDR_212_357",0.212441508724548
"Q8IX12_IDR_599_722",0.225173883405886
"Q8IX12_IDR_793_917",0.2503575922233
"Q8IX12_IDR_9_144",0.152434912514107
"Q8IX12_IDR_981_1021",0.159592103132159
"Q8IX15_IDR_125_364",0.292212118998819
"Q8IX15_IDR_1_38",0.256358979296994
"Q8IX15_IDR_420_461",0.213579621315275
"Q8IX15_IDR_504_550",0.237849280388912
"Q8IX18_IDR_1_50",0.400539448941372
"Q8IX18_IDR_706_779",0.599460551058628
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.437785877737217
"Q8IX29_IDR_239_292",0.562214122262783
"Q8IXP5_IDR_108_216",0.514685844074766
"Q8IXP5_IDR_1_106",0.485314155925234
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.532771317382814
"Q8IXQ8_IDR_211_264",0.467228682617185
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.410441241872721
"Q8IXT5_IDR_485_921",0.293859753105593
"Q8IXT5_IDR_89_151",0.295699005021686
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.305579770142101
"Q8IXW0_IDR_176_344",0.328266713264932
"Q8IXW0_IDR_466_587",0.366153516592967
"Q8IXW5_IDR_1_41",0.529706085962727
"Q8IXW5_IDR_171_324",0.470293914037273
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.374163683696312
"Q8IY63_IDR_493_952",0.625836316303688
"Q8IY67_IDR_1_35",0.568252847615362
"Q8IY67_IDR_349_606",0.431747152384638
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.539830528818872
"Q8IY84_IDR_7_44",0.460169471181128
"Q8IY85_IDR_375_441",0.491960935301136
"Q8IY85_IDR_77_146",0.508039064698864
"Q8IY92_IDR_1_50",0.157921013963991
"Q8IY92_IDR_377_470",0.177866737919231
"Q8IY92_IDR_558_613",0.171033713796306
"Q8IY92_IDR_630_669",0.132900513203424
"Q8IY92_IDR_64_289",0.17349681192188
"Q8IY92_IDR_824_1750",0.186781209195168
"Q8IYE1_IDR_684_715",0.259671966481927
"Q8IYF1_IDR_647_753",0.410199811959032
"Q8IYF1_IDR_79_458",0.589800188040968
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.341867751882139
"Q8IYH5_IDR_573_649",0.313077669934328
"Q8IYH5_IDR_714_786",0.345054578183533
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.439921800680781
"Q8IYI6_IDR_287_328",0.560078199319219
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.266490687666621
"Q8IYJ0_IDR_112_175",0.240479840728098
"Q8IYJ0_IDR_204_238",0.25664250982589
"Q8IYJ0_IDR_240_282",0.236386961779392
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.507237369532804
"Q8IYK4_IDR_584_626",0.492762630467196
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.147712241122449
"Q8IYW2_IDR_1347_1410",0.200683921235536
"Q8IYW2_IDR_1985_2022",0.172664180624648
"Q8IYW2_IDR_2287_2320",0.166978645751711
"Q8IYW2_IDR_2540_2579",0.153478200220371
"Q8IYW2_IDR_2630_2661",0.158482811045285
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.543836866391697
"Q8IZ41_IDR_77_124",0.456163133608303
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.335836381454042
"Q8IZ63_IDR_360_422",0.366832313949815
"Q8IZ63_IDR_87_332",0.297331304596142
"Q8IZ69_IDR_1_56",0.472381153011106
"Q8IZ69_IDR_591_625",0.527618846988894
"Q8IZ73_IDR_31_122",0.487838368433052
"Q8IZ73_IDR_421_495",0.512161631566948
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.319228282025317
"Q8IZA0_IDR_201_244",0.351409317579983
"Q8IZA0_IDR_957_1015",0.3293624003947
"Q8IZA3_IDR_114_346",0.532827030303193
"Q8IZA3_IDR_1_50",0.467172969696807
"Q8IZC4_IDR_185_221",0.3229433147797
"Q8IZC4_IDR_409_445",0.299278536640835
"Q8IZC4_IDR_476_603",0.377778148579465
"Q8IZC6_IDR_1_36",0.517545933653403
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.536922116703972
"Q8IZJ3_IDR_1758_1835",0.463077883296028
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.552269328065515
"Q8IZL8_IDR_637_1130",0.447730671934485
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.569843409530443
"Q8IZN3_IDR_323_488",0.430156590469557
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.506447340714021
"Q8IZP6_IDR_97_147",0.493552659285979
"Q8IZP7_IDR_1_118",0.472347333800225
"Q8IZP7_IDR_426_459",0.527652666199775
"Q8IZP9_IDR_249_371",0.268257688991598
"Q8IZP9_IDR_39_74",0.227956011307738
"Q8IZU9_IDR_701_778",0.471806188473621
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162251535672336
"Q8IZX4_IDR_1220_1400",0.182930491375909
"Q8IZX4_IDR_1644_1826",0.147971499441447
"Q8IZX4_IDR_268_354",0.169084559366654
"Q8IZX4_IDR_536_578",0.169720471705562
"Q8IZX4_IDR_82_235",0.168041442438092
"Q8IZY2_IDR_1152_1210",0.484864561845208
"Q8IZY2_IDR_2105_2146",0.515135438154792
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.439344417154798
"Q8N0S2_IDR_260_351",0.560655582845202
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.230995395050986
"Q8N0U7_IDR_267_299",0.236165133875151
"Q8N0U7_IDR_37_122",0.255498763926194
"Q8N0U7_IDR_391_467",0.277340707147669
"Q8N103_IDR_1_81",0.445736712567914
"Q8N103_IDR_283_731",0.554263287432086
"Q8N108_IDR_1_176",0.470985633170273
"Q8N108_IDR_344_512",0.529014366829727
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.484652373623086
"Q8N114_IDR_203_240",0.515347626376914
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.513278648084707
"Q8N122_IDR_820_949",0.486721351915293
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.45727428097508
"Q8N128_IDR_68_213",0.54272571902492
"Q8N129_IDR_1_32",0.48564654114743
"Q8N129_IDR_202_248",0.51435345885257
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.386955123509238
