"","GO0015291_secondary_active_transmembrane_transporter_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.328836352254848
"Q5VUJ6_IDR_1_54",0.473168957840955
"Q5VUJ6_IDR_308_649",0.526831042159045
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.530542081768866
"Q5VV16_IDR_235_409",0.469457918231134
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.492140814325422
"Q5VV42_IDR_499_545",0.507859185674578
"Q5VWN6_IDR_1918_1981",0.160367632724152
"Q5VWN6_IDR_1993_2150",0.15575588653516
"Q5VWN6_IDR_803_1879",0.204348985313498
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.311229993793503
"Q5VWQ0_IDR_63_351",0.301031116536936
"Q5VWQ0_IDR_708_802",0.387738889669561
"Q5VWQ8_IDR_1141_1189",0.322579201703736
"Q5VWQ8_IDR_1_142",0.314089293007791
"Q5VWQ8_IDR_654_1098",0.363331505288473
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.206219964091916
"Q5VZL5_IDR_1_334",0.214298345176686
"Q5VZL5_IDR_640_677",0.184724975947373
"Q5VZL5_IDR_851_997",0.18453946318022
"Q5VZL5_IDR_999_1200",0.210217251603805
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.178289562115851
"Q5VZP5_IDR_45_103",0.169410782235216
"Q5XX13_IDR_168_231",0.562231140221783
"Q5XX13_IDR_693_978",0.437768859778217
"Q5XXA6_IDR_1_48",0.353947854553132
"Q5XXA6_IDR_74_121",0.298042732945016
"Q5XXA6_IDR_945_986",0.348009412501852
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.467819122711515
"Q63HK3_IDR_383_743",0.532180877288485
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.345899342768385
"Q66K14_IDR_944_993",0.333348644691179
"Q66K41_IDR_1_291",0.492436397820423
"Q66K41_IDR_304_345",0.507563602179577
"Q66K64_IDR_1_37",0.497241234679295
"Q66K64_IDR_275_383",0.502758765320705
"Q66K66_IDR_241_349",0.486480737173551
"Q66K66_IDR_32_81",0.513519262826449
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.270324641487248
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.496190311018469
"Q8IU57_IDR_479_520",0.503809688981531
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.495082273309861
"Q8IU81_IDR_56_237",0.504917726690139
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.500699018863604
"Q8IUC6_IDR_634_673",0.499300981136396
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.267544381967993
"Q8IUD2_IDR_621_730",0.250662159589664
"Q8IUD2_IDR_764_839",0.245156648773108
"Q8IUD2_IDR_926_1072",0.236636809669235
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.51890009398872
"Q8IUE0_IDR_1_55",0.48109990601128
"Q8IUE1_IDR_116_241",0.534670167794998
"Q8IUE1_IDR_1_55",0.465329832205002
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.366636902853496
"Q8IUG5_IDR_1_504",0.31663605233521
"Q8IUW5_IDR_126_223",0.241657390484939
"Q8IUW5_IDR_1_54",0.222922588663683
"Q8IUW5_IDR_234_271",0.236593418314778
"Q8IUW5_IDR_91_123",0.2988266025366
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.33107161903559
"Q8IUX7_IDR_1099_1138",0.344312352736527
"Q8IUX7_IDR_44_388",0.324616028227883
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.495306170046268
"Q8IUY3_IDR_182_321",0.504693829953732
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.53780592235329
"Q8IV04_IDR_352_446",0.46219407764671
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.49366696801492
"Q8IV31_IDR_62_184",0.50633303198508
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.253991758993185
"Q8IVE3_IDR_1453_1493",0.25520458755408
"Q8IVE3_IDR_36_69",0.248077128051284
"Q8IVE3_IDR_71_132",0.242726525401452
"Q8IVF1_IDR_14_81",0.208468289975224
"Q8IVF1_IDR_232_366",0.196663306533703
"Q8IVF1_IDR_407_522",0.20181564572917
"Q8IVF1_IDR_525_878",0.197765335454173
"Q8IVF1_IDR_83_205",0.195287422307731
"Q8IVF2_IDR_1_114",0.363220854236839
"Q8IVF2_IDR_1794_5795",0.32220635990521
"Q8IVF2_IDR_195_1792",0.314572785857951
"Q8IVF4_IDR_156_187",0.520935287756277
"Q8IVF4_IDR_1_66",0.479064712243723
"Q8IVF5_IDR_1017_1093",0.27456767982879
"Q8IVF5_IDR_1461_1667",0.253152597908706
"Q8IVF5_IDR_1_498",0.228939555705722
"Q8IVF5_IDR_749_804",0.243340166556782
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.351547677625985
"Q8IVW6_IDR_319_491",0.324883009368242
"Q8IVW6_IDR_516_561",0.323569313005773
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.386925269202465
"Q8IW35_IDR_575_628",0.280814383015142
"Q8IW35_IDR_633_854",0.332260347782392
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.483697536959904
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.499250692144448
"Q8IWE2_IDR_404_437",0.500749307855552
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.428064962363385
"Q8IWF9_IDR_234_348",0.571935037636615
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104869491518979
"Q8IWI9_IDR_1340_1371",0.118351438337481
"Q8IWI9_IDR_1398_1903",0.0958615823919561
"Q8IWI9_IDR_1905_2856",0.119977301243275
"Q8IWI9_IDR_261_649",0.121626259945078
"Q8IWI9_IDR_2974_3016",0.104354952675824
"Q8IWI9_IDR_3020_3065",0.110426673675376
"Q8IWI9_IDR_681_751",0.121402889202406
"Q8IWI9_IDR_753_1079",0.103129411009625
"Q8IWJ2_IDR_1_69",0.310329098565337
"Q8IWT3_IDR_1658_1690",0.248755789717055
"Q8IWT3_IDR_2437_2517",0.26260718881104
"Q8IWT6_IDR_180_231",0.526688142149146
"Q8IWT6_IDR_62_95",0.473311857850854
"Q8IWU2_IDR_1_101",0.255747930980814
"Q8IWU2_IDR_1377_1415",0.251748135029425
"Q8IWU2_IDR_1426_1459",0.224505841047078
"Q8IWU2_IDR_557_1314",0.267998092942683
"Q8IWU5_IDR_1_40",0.230324204456818
"Q8IWU5_IDR_557_594",0.28799356806081
"Q8IWU5_IDR_648_718",0.241763937859385
"Q8IWU5_IDR_824_860",0.239918289622986
"Q8IWU6_IDR_1_37",0.230829130392184
"Q8IWU6_IDR_510_543",0.229790161005067
"Q8IWU6_IDR_561_610",0.303493201406269
"Q8IWU6_IDR_666_738",0.23588750719648
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.287750678719821
"Q8IWV1_IDR_178_270",0.341618192058043
"Q8IWV1_IDR_295_398",0.370631129222136
"Q8IX03_IDR_790_917",0.272622458776241
"Q8IX03_IDR_945_991",0.240427584862851
"Q8IX07_IDR_1_83",0.341031808664461
"Q8IX07_IDR_194_247",0.373868968880759
"Q8IX07_IDR_266_972",0.28509922245478
"Q8IX12_IDR_212_357",0.185548835045588
"Q8IX12_IDR_599_722",0.206124842331525
"Q8IX12_IDR_793_917",0.184893687146165
"Q8IX12_IDR_9_144",0.184522738104323
"Q8IX12_IDR_981_1021",0.238909897372399
"Q8IX15_IDR_125_364",0.244156026585284
"Q8IX15_IDR_1_38",0.256396495593211
"Q8IX15_IDR_420_461",0.248628252925115
"Q8IX15_IDR_504_550",0.250819224896391
"Q8IX18_IDR_1_50",0.49577992578085
"Q8IX18_IDR_706_779",0.50422007421915
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.481192786317755
"Q8IX29_IDR_239_292",0.518807213682245
"Q8IXP5_IDR_108_216",0.515614781944741
"Q8IXP5_IDR_1_106",0.484385218055259
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.492715692202999
"Q8IXQ8_IDR_211_264",0.507284307797001
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.328135661358844
"Q8IXT5_IDR_485_921",0.316385746104074
"Q8IXT5_IDR_89_151",0.355478592537081
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.355257526312719
"Q8IXW0_IDR_176_344",0.350975918505734
"Q8IXW0_IDR_466_587",0.293766555181546
"Q8IXW5_IDR_1_41",0.38416950849192
"Q8IXW5_IDR_171_324",0.61583049150808
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.48596590728364
"Q8IY63_IDR_493_952",0.51403409271636
"Q8IY67_IDR_1_35",0.555050026775233
"Q8IY67_IDR_349_606",0.444949973224767
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.508956345963013
"Q8IY84_IDR_7_44",0.491043654036987
"Q8IY85_IDR_375_441",0.506353971663437
"Q8IY85_IDR_77_146",0.493646028336563
"Q8IY92_IDR_1_50",0.177609853496206
"Q8IY92_IDR_377_470",0.159528520111178
"Q8IY92_IDR_558_613",0.1651920531871
"Q8IY92_IDR_630_669",0.183164621987146
"Q8IY92_IDR_64_289",0.157927133764039
"Q8IY92_IDR_824_1750",0.156577817454331
"Q8IYE1_IDR_684_715",0.534646047190462
"Q8IYF1_IDR_647_753",0.504281026009748
"Q8IYF1_IDR_79_458",0.495718973990252
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.359032427257144
"Q8IYH5_IDR_573_649",0.305095587448138
"Q8IYH5_IDR_714_786",0.335871985294719
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.488817564562267
"Q8IYI6_IDR_287_328",0.511182435437733
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.222007975500559
"Q8IYJ0_IDR_112_175",0.271392411390145
"Q8IYJ0_IDR_204_238",0.243259168125509
"Q8IYJ0_IDR_240_282",0.263340444983787
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.479513843512212
"Q8IYK4_IDR_584_626",0.520486156487788
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.176313258864131
"Q8IYW2_IDR_1347_1410",0.148322683382476
"Q8IYW2_IDR_1985_2022",0.171740368717673
"Q8IYW2_IDR_2287_2320",0.162189170676
"Q8IYW2_IDR_2540_2579",0.176573545007856
"Q8IYW2_IDR_2630_2661",0.164860973351865
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.559319698500776
"Q8IZ41_IDR_77_124",0.440680301499224
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.340878058710681
"Q8IZ63_IDR_360_422",0.32245825896142
"Q8IZ63_IDR_87_332",0.336663682327899
"Q8IZ69_IDR_1_56",0.498059656229252
"Q8IZ69_IDR_591_625",0.501940343770748
"Q8IZ73_IDR_31_122",0.432654193531815
"Q8IZ73_IDR_421_495",0.567345806468185
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.316200993562879
"Q8IZA0_IDR_201_244",0.375404020695245
"Q8IZA0_IDR_957_1015",0.308394985741877
"Q8IZA3_IDR_114_346",0.489628004537542
"Q8IZA3_IDR_1_50",0.510371995462458
"Q8IZC4_IDR_185_221",0.316599745399425
"Q8IZC4_IDR_409_445",0.368112016650383
"Q8IZC4_IDR_476_603",0.315288237950192
"Q8IZC6_IDR_1_36",0.531425699902946
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.488149961971692
"Q8IZJ3_IDR_1758_1835",0.511850038028308
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.518851232324295
"Q8IZL8_IDR_637_1130",0.481148767675706
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.476335197885157
"Q8IZN3_IDR_323_488",0.523664802114843
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.471372641229245
"Q8IZP6_IDR_97_147",0.528627358770755
"Q8IZP7_IDR_1_118",0.52732855864101
"Q8IZP7_IDR_426_459",0.47267144135899
"Q8IZP9_IDR_249_371",0.238837030811239
"Q8IZP9_IDR_39_74",0.279587628057898
"Q8IZU9_IDR_701_778",0.487088990548767
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.177036046366121
"Q8IZX4_IDR_1220_1400",0.164742482923264
"Q8IZX4_IDR_1644_1826",0.163959875339663
"Q8IZX4_IDR_268_354",0.169914342445328
"Q8IZX4_IDR_536_578",0.160641792270966
"Q8IZX4_IDR_82_235",0.163705460654658
"Q8IZY2_IDR_1152_1210",0.450815839107412
"Q8IZY2_IDR_2105_2146",0.549184160892588
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.531161638890954
"Q8N0S2_IDR_260_351",0.468838361109046
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.225653112823047
"Q8N0U7_IDR_267_299",0.252345460076148
"Q8N0U7_IDR_37_122",0.264562611351905
"Q8N0U7_IDR_391_467",0.2574388157489
"Q8N103_IDR_1_81",0.485870733121732
"Q8N103_IDR_283_731",0.514129266878268
"Q8N108_IDR_1_176",0.489122347599222
"Q8N108_IDR_344_512",0.510877652400778
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.489648327394993
"Q8N114_IDR_203_240",0.510351672605007
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504105426488546
"Q8N122_IDR_820_949",0.495894573511454
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.476747366646282
"Q8N128_IDR_68_213",0.523252633353718
"Q8N129_IDR_1_32",0.508458217055791
"Q8N129_IDR_202_248",0.491541782944209
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.351370129453
