"","GO0140694_non_membrane_bounded_organelle_assembly"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.264335613206184
"Q5VUJ6_IDR_1_54",0.467139646562976
"Q5VUJ6_IDR_308_649",0.532860353437024
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.476837871935143
"Q5VV16_IDR_235_409",0.523162128064858
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.506940161473818
"Q5VV42_IDR_499_545",0.493059838526182
"Q5VWN6_IDR_1918_1981",0.165221510455992
"Q5VWN6_IDR_1993_2150",0.16613320076621
"Q5VWN6_IDR_803_1879",0.173646256210077
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.313042964036166
"Q5VWQ0_IDR_63_351",0.366479731218194
"Q5VWQ0_IDR_708_802",0.320477304745639
"Q5VWQ8_IDR_1141_1189",0.337763629991451
"Q5VWQ8_IDR_1_142",0.31715241793753
"Q5VWQ8_IDR_654_1098",0.345083952071019
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.201077297479759
"Q5VZL5_IDR_1_334",0.202851420975222
"Q5VZL5_IDR_640_677",0.200873076377546
"Q5VZL5_IDR_851_997",0.193250334988564
"Q5VZL5_IDR_999_1200",0.201947870178908
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162743996763649
"Q5VZP5_IDR_45_103",0.16525633228982
"Q5XX13_IDR_168_231",0.48014621616344
"Q5XX13_IDR_693_978",0.51985378383656
"Q5XXA6_IDR_1_48",0.331716534098562
"Q5XXA6_IDR_74_121",0.334596451194118
"Q5XXA6_IDR_945_986",0.33368701470732
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.514983344766135
"Q63HK3_IDR_383_743",0.485016655233865
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.34436568866542
"Q66K14_IDR_944_993",0.338618237806387
"Q66K41_IDR_1_291",0.498997067289906
"Q66K41_IDR_304_345",0.501002932710094
"Q66K64_IDR_1_37",0.5155492842054
"Q66K64_IDR_275_383",0.4844507157946
"Q66K66_IDR_241_349",0.543957681132733
"Q66K66_IDR_32_81",0.456042318867267
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.247582331133307
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.495718810355991
"Q8IU57_IDR_479_520",0.504281189644009
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.493628972757565
"Q8IU81_IDR_56_237",0.506371027242435
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.487455406459838
"Q8IUC6_IDR_634_673",0.512544593540162
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.248818868530533
"Q8IUD2_IDR_621_730",0.272311613430557
"Q8IUD2_IDR_764_839",0.226918738453693
"Q8IUD2_IDR_926_1072",0.251950779585217
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.489324848167939
"Q8IUE0_IDR_1_55",0.510675151832061
"Q8IUE1_IDR_116_241",0.499486267830015
"Q8IUE1_IDR_1_55",0.500513732169985
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.2827778009949
"Q8IUG5_IDR_1_504",0.287183132841017
"Q8IUW5_IDR_126_223",0.235097187221784
"Q8IUW5_IDR_1_54",0.243176152262319
"Q8IUW5_IDR_234_271",0.270231986258487
"Q8IUW5_IDR_91_123",0.25149467425741
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.356348836860185
"Q8IUX7_IDR_1099_1138",0.33008819681462
"Q8IUX7_IDR_44_388",0.313562966325195
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.513772056697163
"Q8IUY3_IDR_182_321",0.486227943302837
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.495021644714936
"Q8IV04_IDR_352_446",0.504978355285064
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.493696094414301
"Q8IV31_IDR_62_184",0.506303905585699
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.226167027692254
"Q8IVE3_IDR_1453_1493",0.241777227442674
"Q8IVE3_IDR_36_69",0.260315393643582
"Q8IVE3_IDR_71_132",0.27174035122149
"Q8IVF1_IDR_14_81",0.200194543547888
"Q8IVF1_IDR_232_366",0.190638436813485
"Q8IVF1_IDR_407_522",0.208912993398905
"Q8IVF1_IDR_525_878",0.207490054202733
"Q8IVF1_IDR_83_205",0.192763972036989
"Q8IVF2_IDR_1_114",0.322210691140386
"Q8IVF2_IDR_1794_5795",0.328163037893439
"Q8IVF2_IDR_195_1792",0.349626270966175
"Q8IVF4_IDR_156_187",0.502328160658693
"Q8IVF4_IDR_1_66",0.497671839341307
"Q8IVF5_IDR_1017_1093",0.241921041729758
"Q8IVF5_IDR_1461_1667",0.291691634346433
"Q8IVF5_IDR_1_498",0.226547530107967
"Q8IVF5_IDR_749_804",0.239839793815841
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.339002197112815
"Q8IVW6_IDR_319_491",0.38147605068442
"Q8IVW6_IDR_516_561",0.279521752202766
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.317685192552966
"Q8IW35_IDR_575_628",0.342292429558393
"Q8IW35_IDR_633_854",0.34002237788864
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.477153858571947
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.531121568753393
"Q8IWE2_IDR_404_437",0.468878431246607
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.49931439756094
"Q8IWF9_IDR_234_348",0.50068560243906
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.103434111220895
"Q8IWI9_IDR_1340_1371",0.110137652939819
"Q8IWI9_IDR_1398_1903",0.109870189159754
"Q8IWI9_IDR_1905_2856",0.145487142261763
"Q8IWI9_IDR_261_649",0.102887804365147
"Q8IWI9_IDR_2974_3016",0.10667408707787
"Q8IWI9_IDR_3020_3065",0.108768518487385
"Q8IWI9_IDR_681_751",0.110449367193955
"Q8IWI9_IDR_753_1079",0.102291127293412
"Q8IWJ2_IDR_1_69",0.247871851052593
"Q8IWT3_IDR_1658_1690",0.266537728331853
"Q8IWT3_IDR_2437_2517",0.250183225185651
"Q8IWT6_IDR_180_231",0.510467459229266
"Q8IWT6_IDR_62_95",0.489532540770735
"Q8IWU2_IDR_1_101",0.24605751407808
"Q8IWU2_IDR_1377_1415",0.253599136531229
"Q8IWU2_IDR_1426_1459",0.24964684576545
"Q8IWU2_IDR_557_1314",0.250696503625241
"Q8IWU5_IDR_1_40",0.26800730564348
"Q8IWU5_IDR_557_594",0.238579295429382
"Q8IWU5_IDR_648_718",0.246667790833654
"Q8IWU5_IDR_824_860",0.246745608093485
"Q8IWU6_IDR_1_37",0.25107727740576
"Q8IWU6_IDR_510_543",0.250312122131291
"Q8IWU6_IDR_561_610",0.251860935141218
"Q8IWU6_IDR_666_738",0.246749665321732
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.324005872787263
"Q8IWV1_IDR_178_270",0.327295100568352
"Q8IWV1_IDR_295_398",0.348699026644385
"Q8IX03_IDR_790_917",0.245930817919031
"Q8IX03_IDR_945_991",0.244810846647398
"Q8IX07_IDR_1_83",0.340140804738104
"Q8IX07_IDR_194_247",0.346592140184811
"Q8IX07_IDR_266_972",0.313267055077085
"Q8IX12_IDR_212_357",0.158296165735785
"Q8IX12_IDR_599_722",0.172302900254175
"Q8IX12_IDR_793_917",0.151638447769739
"Q8IX12_IDR_9_144",0.365943453444991
"Q8IX12_IDR_981_1021",0.151819032795311
"Q8IX15_IDR_125_364",0.251624458665048
"Q8IX15_IDR_1_38",0.247307809455334
"Q8IX15_IDR_420_461",0.259555617076749
"Q8IX15_IDR_504_550",0.241512114802869
"Q8IX18_IDR_1_50",0.484347555797146
"Q8IX18_IDR_706_779",0.515652444202854
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.491652876447261
"Q8IX29_IDR_239_292",0.508347123552739
"Q8IXP5_IDR_108_216",0.507878933173328
"Q8IXP5_IDR_1_106",0.492121066826672
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.518889174121947
"Q8IXQ8_IDR_211_264",0.481110825878052
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.339392668273723
"Q8IXT5_IDR_485_921",0.329606017452074
"Q8IXT5_IDR_89_151",0.331001314274202
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.332302821394147
"Q8IXW0_IDR_176_344",0.327312534197003
"Q8IXW0_IDR_466_587",0.34038464440885
"Q8IXW5_IDR_1_41",0.515219380132019
"Q8IXW5_IDR_171_324",0.484780619867981
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.518869820596868
"Q8IY63_IDR_493_952",0.481130179403132
"Q8IY67_IDR_1_35",0.506013762732196
"Q8IY67_IDR_349_606",0.493986237267804
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.493146799798625
"Q8IY84_IDR_7_44",0.506853200201375
"Q8IY85_IDR_375_441",0.506691437150749
"Q8IY85_IDR_77_146",0.493308562849251
"Q8IY92_IDR_1_50",0.162264964170279
"Q8IY92_IDR_377_470",0.166048166077545
"Q8IY92_IDR_558_613",0.171224353931702
"Q8IY92_IDR_630_669",0.157411970713612
"Q8IY92_IDR_64_289",0.176230225454907
"Q8IY92_IDR_824_1750",0.166820319651955
"Q8IYE1_IDR_684_715",0.196331088708461
"Q8IYF1_IDR_647_753",0.479494578096596
"Q8IYF1_IDR_79_458",0.520505421903404
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.317975745556361
"Q8IYH5_IDR_573_649",0.346203459648427
"Q8IYH5_IDR_714_786",0.335820794795211
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.495030454192124
"Q8IYI6_IDR_287_328",0.504969545807876
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.24624679584567
"Q8IYJ0_IDR_112_175",0.248683781831297
"Q8IYJ0_IDR_204_238",0.255659612175406
"Q8IYJ0_IDR_240_282",0.249409810147628
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.478058304593444
"Q8IYK4_IDR_584_626",0.521941695406557
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.165973104560382
"Q8IYW2_IDR_1347_1410",0.165482193134231
"Q8IYW2_IDR_1985_2022",0.16868828627138
"Q8IYW2_IDR_2287_2320",0.166966100089169
"Q8IYW2_IDR_2540_2579",0.166135888660151
"Q8IYW2_IDR_2630_2661",0.166754427284688
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.478476556786436
"Q8IZ41_IDR_77_124",0.521523443213564
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.333454850365067
"Q8IZ63_IDR_360_422",0.339422180302068
"Q8IZ63_IDR_87_332",0.327122969332865
"Q8IZ69_IDR_1_56",0.503424624172799
"Q8IZ69_IDR_591_625",0.496575375827202
"Q8IZ73_IDR_31_122",0.500412981948313
"Q8IZ73_IDR_421_495",0.499587018051687
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.345853223847525
"Q8IZA0_IDR_201_244",0.333130686164668
"Q8IZA0_IDR_957_1015",0.321016089987806
"Q8IZA3_IDR_114_346",0.502363736514766
"Q8IZA3_IDR_1_50",0.497636263485235
"Q8IZC4_IDR_185_221",0.33206065174224
"Q8IZC4_IDR_409_445",0.328272547109518
"Q8IZC4_IDR_476_603",0.339666801148242
"Q8IZC6_IDR_1_36",0.502024212809234
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.499855153947573
"Q8IZJ3_IDR_1758_1835",0.500144846052427
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.508666986269411
"Q8IZL8_IDR_637_1130",0.491333013730589
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.508216045632136
"Q8IZN3_IDR_323_488",0.491783954367864
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.483515941880428
"Q8IZP6_IDR_97_147",0.516484058119572
"Q8IZP7_IDR_1_118",0.466763471655708
"Q8IZP7_IDR_426_459",0.533236528344292
"Q8IZP9_IDR_249_371",0.24255139499793
"Q8IZP9_IDR_39_74",0.249089459756048
"Q8IZU9_IDR_701_778",0.481132385633186
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162133705671261
"Q8IZX4_IDR_1220_1400",0.168018929545607
"Q8IZX4_IDR_1644_1826",0.167379027589577
"Q8IZX4_IDR_268_354",0.159835331978271
"Q8IZX4_IDR_536_578",0.177136889009078
"Q8IZX4_IDR_82_235",0.165496116206207
"Q8IZY2_IDR_1152_1210",0.508508787107202
"Q8IZY2_IDR_2105_2146",0.491491212892798
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.475592333055398
"Q8N0S2_IDR_260_351",0.524407666944602
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.241534879060482
"Q8N0U7_IDR_267_299",0.251184445671656
"Q8N0U7_IDR_37_122",0.262098547592966
"Q8N0U7_IDR_391_467",0.245182127674896
"Q8N103_IDR_1_81",0.476187171799025
"Q8N103_IDR_283_731",0.523812828200975
"Q8N108_IDR_1_176",0.504873258478571
"Q8N108_IDR_344_512",0.495126741521429
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.503065861332799
"Q8N114_IDR_203_240",0.496934138667201
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504014839398565
"Q8N122_IDR_820_949",0.495985160601435
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.482341795610687
"Q8N128_IDR_68_213",0.517658204389313
"Q8N129_IDR_1_32",0.485382434741112
"Q8N129_IDR_202_248",0.514617565258888
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.325111342345574
