"","GO0005694_chromosome"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.313226905200804
"Q5VUJ6_IDR_1_54",0.469175717979748
"Q5VUJ6_IDR_308_649",0.530824282020252
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.566780186680238
"Q5VV16_IDR_235_409",0.433219813319762
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.585175708223609
"Q5VV42_IDR_499_545",0.414824291776391
"Q5VWN6_IDR_1918_1981",0.153390766614334
"Q5VWN6_IDR_1993_2150",0.145014079371449
"Q5VWN6_IDR_803_1879",0.165145407823297
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.288700641057108
"Q5VWQ0_IDR_63_351",0.428698982265703
"Q5VWQ0_IDR_708_802",0.282600376677188
"Q5VWQ8_IDR_1141_1189",0.339640316007769
"Q5VWQ8_IDR_1_142",0.330989271078452
"Q5VWQ8_IDR_654_1098",0.32937041291378
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.196845762462527
"Q5VZL5_IDR_1_334",0.206722710385355
"Q5VZL5_IDR_640_677",0.188432346759967
"Q5VZL5_IDR_851_997",0.186930763343699
"Q5VZL5_IDR_999_1200",0.221068417048452
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.155337375132203
"Q5VZP5_IDR_45_103",0.142401315460122
"Q5XX13_IDR_168_231",0.503189393363289
"Q5XX13_IDR_693_978",0.496810606636711
"Q5XXA6_IDR_1_48",0.336826443533316
"Q5XXA6_IDR_74_121",0.332085430627575
"Q5XXA6_IDR_945_986",0.331088125839108
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.452865743151258
"Q63HK3_IDR_383_743",0.547134256848742
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.328956320604291
"Q66K14_IDR_944_993",0.366141947928365
"Q66K41_IDR_1_291",0.543953634207655
"Q66K41_IDR_304_345",0.456046365792345
"Q66K64_IDR_1_37",0.513490961759745
"Q66K64_IDR_275_383",0.486509038240255
"Q66K66_IDR_241_349",0.518724582087691
"Q66K66_IDR_32_81",0.481275417912309
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.23495549138749
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.484221818011189
"Q8IU57_IDR_479_520",0.515778181988811
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.479915178636305
"Q8IU81_IDR_56_237",0.520084821363695
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.500690921551362
"Q8IUC6_IDR_634_673",0.499309078448638
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.22896543878954
"Q8IUD2_IDR_621_730",0.255810550569587
"Q8IUD2_IDR_764_839",0.243517943321192
"Q8IUD2_IDR_926_1072",0.271706067319681
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.44462258029655
"Q8IUE0_IDR_1_55",0.55537741970345
"Q8IUE1_IDR_116_241",0.430027726166036
"Q8IUE1_IDR_1_55",0.569972273833964
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.250467848091005
"Q8IUG5_IDR_1_504",0.367826769535333
"Q8IUW5_IDR_126_223",0.238017318520806
"Q8IUW5_IDR_1_54",0.226253259523777
"Q8IUW5_IDR_234_271",0.267769746846833
"Q8IUW5_IDR_91_123",0.267959675108585
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.283057822673304
"Q8IUX7_IDR_1099_1138",0.311486683423556
"Q8IUX7_IDR_44_388",0.405455493903139
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.481374095012567
"Q8IUY3_IDR_182_321",0.518625904987433
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.48681718334599
"Q8IV04_IDR_352_446",0.51318281665401
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.48635673989471
"Q8IV31_IDR_62_184",0.51364326010529
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.239093628988854
"Q8IVE3_IDR_1453_1493",0.234550312307914
"Q8IVE3_IDR_36_69",0.250655024117873
"Q8IVE3_IDR_71_132",0.275701034585359
"Q8IVF1_IDR_14_81",0.197155910470662
"Q8IVF1_IDR_232_366",0.186375559670677
"Q8IVF1_IDR_407_522",0.203460335938285
"Q8IVF1_IDR_525_878",0.230312300869338
"Q8IVF1_IDR_83_205",0.182695893051038
"Q8IVF2_IDR_1_114",0.250816826352936
"Q8IVF2_IDR_1794_5795",0.390291601543509
"Q8IVF2_IDR_195_1792",0.358891572103556
"Q8IVF4_IDR_156_187",0.475593042195203
"Q8IVF4_IDR_1_66",0.524406957804797
"Q8IVF5_IDR_1017_1093",0.239188439899381
"Q8IVF5_IDR_1461_1667",0.27583757939809
"Q8IVF5_IDR_1_498",0.23840970179159
"Q8IVF5_IDR_749_804",0.246564278910939
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.364438447065028
"Q8IVW6_IDR_319_491",0.324627317677112
"Q8IVW6_IDR_516_561",0.31093423525786
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.319321850954402
"Q8IW35_IDR_575_628",0.34653786087754
"Q8IW35_IDR_633_854",0.334140288168059
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.475646234541887
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.430803979052088
"Q8IWE2_IDR_404_437",0.569196020947912
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.525293735746885
"Q8IWF9_IDR_234_348",0.474706264253115
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.130616119113725
"Q8IWI9_IDR_1340_1371",0.0989366625568933
"Q8IWI9_IDR_1398_1903",0.0942251209632479
"Q8IWI9_IDR_1905_2856",0.14818284478069
"Q8IWI9_IDR_261_649",0.125394035589274
"Q8IWI9_IDR_2974_3016",0.097147181340703
"Q8IWI9_IDR_3020_3065",0.0992570793689198
"Q8IWI9_IDR_681_751",0.101403648568285
"Q8IWI9_IDR_753_1079",0.104837307718262
"Q8IWJ2_IDR_1_69",0.34575756940185
"Q8IWT3_IDR_1658_1690",0.247368153956048
"Q8IWT3_IDR_2437_2517",0.271980589040153
"Q8IWT6_IDR_180_231",0.517448489288349
"Q8IWT6_IDR_62_95",0.482551510711651
"Q8IWU2_IDR_1_101",0.248673069562629
"Q8IWU2_IDR_1377_1415",0.238936555046904
"Q8IWU2_IDR_1426_1459",0.241450512158375
"Q8IWU2_IDR_557_1314",0.270939863232091
"Q8IWU5_IDR_1_40",0.235413890001459
"Q8IWU5_IDR_557_594",0.238197348147716
"Q8IWU5_IDR_648_718",0.298688412518163
"Q8IWU5_IDR_824_860",0.227700349332662
"Q8IWU6_IDR_1_37",0.208442082245277
"Q8IWU6_IDR_510_543",0.222568662143198
"Q8IWU6_IDR_561_610",0.235278017008388
"Q8IWU6_IDR_666_738",0.333711238603137
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.320403959001008
"Q8IWV1_IDR_178_270",0.338273082480152
"Q8IWV1_IDR_295_398",0.34132295851884
"Q8IX03_IDR_790_917",0.279693658840235
"Q8IX03_IDR_945_991",0.248042420275819
"Q8IX07_IDR_1_83",0.387214843490346
"Q8IX07_IDR_194_247",0.321153076657491
"Q8IX07_IDR_266_972",0.291632079852163
"Q8IX12_IDR_212_357",0.220337139055112
"Q8IX12_IDR_599_722",0.1943253623258
"Q8IX12_IDR_793_917",0.249265583352162
"Q8IX12_IDR_9_144",0.151148992011431
"Q8IX12_IDR_981_1021",0.184922923255494
"Q8IX15_IDR_125_364",0.248717355039761
"Q8IX15_IDR_1_38",0.240536569698196
"Q8IX15_IDR_420_461",0.246239353411033
"Q8IX15_IDR_504_550",0.26450672185101
"Q8IX18_IDR_1_50",0.455330248065787
"Q8IX18_IDR_706_779",0.544669751934213
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.52878178350014
"Q8IX29_IDR_239_292",0.47121821649986
"Q8IXP5_IDR_108_216",0.493724668218799
"Q8IXP5_IDR_1_106",0.506275331781201
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.520130091848994
"Q8IXQ8_IDR_211_264",0.479869908151006
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.337036459590211
"Q8IXT5_IDR_485_921",0.340108105558762
"Q8IXT5_IDR_89_151",0.322855434851028
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.325041818701874
"Q8IXW0_IDR_176_344",0.307702769830477
"Q8IXW0_IDR_466_587",0.36725541146765
"Q8IXW5_IDR_1_41",0.531137407837341
"Q8IXW5_IDR_171_324",0.468862592162658
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.446427461507431
"Q8IY63_IDR_493_952",0.553572538492568
"Q8IY67_IDR_1_35",0.541903033257637
"Q8IY67_IDR_349_606",0.458096966742363
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.48329071144622
"Q8IY84_IDR_7_44",0.51670928855378
"Q8IY85_IDR_375_441",0.477039199300352
"Q8IY85_IDR_77_146",0.522960800699648
"Q8IY92_IDR_1_50",0.147039735341832
"Q8IY92_IDR_377_470",0.232910610454107
"Q8IY92_IDR_558_613",0.137078761541157
"Q8IY92_IDR_630_669",0.14768793852251
"Q8IY92_IDR_64_289",0.171256365386167
"Q8IY92_IDR_824_1750",0.164026588754226
"Q8IYE1_IDR_684_715",0.433182131947477
"Q8IYF1_IDR_647_753",0.425958769132397
"Q8IYF1_IDR_79_458",0.574041230867603
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.438231714718851
"Q8IYH5_IDR_573_649",0.302280413337602
"Q8IYH5_IDR_714_786",0.259487871943547
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.461928863915962
"Q8IYI6_IDR_287_328",0.538071136084038
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.237759730772126
"Q8IYJ0_IDR_112_175",0.244796801658856
"Q8IYJ0_IDR_204_238",0.267910209263715
"Q8IYJ0_IDR_240_282",0.249533258305302
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.484144133019921
"Q8IYK4_IDR_584_626",0.515855866980079
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.157065242598962
"Q8IYW2_IDR_1347_1410",0.200588014414592
"Q8IYW2_IDR_1985_2022",0.167683547345669
"Q8IYW2_IDR_2287_2320",0.164842785903538
"Q8IYW2_IDR_2540_2579",0.156651313086406
"Q8IYW2_IDR_2630_2661",0.153169096650833
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.499539879074671
"Q8IZ41_IDR_77_124",0.500460120925329
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.310579083637717
"Q8IZ63_IDR_360_422",0.387949443270115
"Q8IZ63_IDR_87_332",0.301471473092168
"Q8IZ69_IDR_1_56",0.526052066110182
"Q8IZ69_IDR_591_625",0.473947933889818
"Q8IZ73_IDR_31_122",0.591930551659676
"Q8IZ73_IDR_421_495",0.408069448340324
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.303405384188881
"Q8IZA0_IDR_201_244",0.292923919184313
"Q8IZA0_IDR_957_1015",0.403670696626807
"Q8IZA3_IDR_114_346",0.654568951694667
"Q8IZA3_IDR_1_50",0.345431048305333
"Q8IZC4_IDR_185_221",0.327417055219182
"Q8IZC4_IDR_409_445",0.275819575250918
"Q8IZC4_IDR_476_603",0.3967633695299
"Q8IZC6_IDR_1_36",0.499646451969905
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.531778819956463
"Q8IZJ3_IDR_1758_1835",0.468221180043537
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.503021070029783
"Q8IZL8_IDR_637_1130",0.496978929970217
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.540292102759504
"Q8IZN3_IDR_323_488",0.459707897240496
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.57300860374957
"Q8IZP6_IDR_97_147",0.42699139625043
"Q8IZP7_IDR_1_118",0.476736900626864
"Q8IZP7_IDR_426_459",0.523263099373136
"Q8IZP9_IDR_249_371",0.235351891459447
"Q8IZP9_IDR_39_74",0.249758305903703
"Q8IZU9_IDR_701_778",0.484573646786419
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.162607312886625
"Q8IZX4_IDR_1220_1400",0.156302634358298
"Q8IZX4_IDR_1644_1826",0.176529366131406
"Q8IZX4_IDR_268_354",0.170411201664469
"Q8IZX4_IDR_536_578",0.146826800618521
"Q8IZX4_IDR_82_235",0.18732268434068
"Q8IZY2_IDR_1152_1210",0.488693290491726
"Q8IZY2_IDR_2105_2146",0.511306709508274
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.4950032990532
"Q8N0S2_IDR_260_351",0.5049967009468
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.239758343080291
"Q8N0U7_IDR_267_299",0.246828860194596
"Q8N0U7_IDR_37_122",0.253630243951016
"Q8N0U7_IDR_391_467",0.259782552774097
"Q8N103_IDR_1_81",0.552386846319421
"Q8N103_IDR_283_731",0.447613153680579
"Q8N108_IDR_1_176",0.487587388387691
"Q8N108_IDR_344_512",0.512412611612309
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.503887791715156
"Q8N114_IDR_203_240",0.496112208284844
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.504187345453888
"Q8N122_IDR_820_949",0.495812654546112
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.514915977077823
"Q8N128_IDR_68_213",0.485084022922177
"Q8N129_IDR_1_32",0.445290921838327
"Q8N129_IDR_202_248",0.554709078161673
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.323907808408311
"Q8N137_IDR_442_797",0.311033207107369
