"","GO0009891_positive_regulation_of_biosynthetic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.315623434167208
"Q5VUJ6_IDR_1_54",0.53212010022513
"Q5VUJ6_IDR_308_649",0.46787989977487
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.511444263724681
"Q5VV16_IDR_235_409",0.488555736275319
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.507954767983129
"Q5VV42_IDR_499_545",0.492045232016871
"Q5VWN6_IDR_1918_1981",0.160580992239778
"Q5VWN6_IDR_1993_2150",0.168460131036202
"Q5VWN6_IDR_803_1879",0.16964021324833
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.295372635137094
"Q5VWQ0_IDR_63_351",0.361741325016722
"Q5VWQ0_IDR_708_802",0.342886039846183
"Q5VWQ8_IDR_1141_1189",0.238296202198066
"Q5VWQ8_IDR_1_142",0.251305695247202
"Q5VWQ8_IDR_654_1098",0.510398102554733
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.189319324144646
"Q5VZL5_IDR_1_334",0.202799364471088
"Q5VZL5_IDR_640_677",0.207344371173501
"Q5VZL5_IDR_851_997",0.204052480722195
"Q5VZL5_IDR_999_1200",0.196484459488569
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.162663961345606
"Q5VZP5_IDR_45_103",0.174315113818033
"Q5XX13_IDR_168_231",0.481170280235627
"Q5XX13_IDR_693_978",0.518829719764373
"Q5XXA6_IDR_1_48",0.299841887101977
"Q5XXA6_IDR_74_121",0.362332824829912
"Q5XXA6_IDR_945_986",0.337825288068112
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.485506136938718
"Q63HK3_IDR_383_743",0.514493863061282
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.341537955894175
"Q66K14_IDR_944_993",0.331178786042447
"Q66K41_IDR_1_291",0.525770457669491
"Q66K41_IDR_304_345",0.474229542330509
"Q66K64_IDR_1_37",0.48640778462885
"Q66K64_IDR_275_383",0.51359221537115
"Q66K66_IDR_241_349",0.571130594926984
"Q66K66_IDR_32_81",0.428869405073016
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.257482111832762
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.490061912386249
"Q8IU57_IDR_479_520",0.509938087613751
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.513730366169992
"Q8IU81_IDR_56_237",0.486269633830008
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.490794357656076
"Q8IUC6_IDR_634_673",0.509205642343924
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.300884734845124
"Q8IUD2_IDR_621_730",0.207188920230317
"Q8IUD2_IDR_764_839",0.244416248108087
"Q8IUD2_IDR_926_1072",0.247510096816472
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.481988757148542
"Q8IUE0_IDR_1_55",0.518011242851457
"Q8IUE1_IDR_116_241",0.502871679424565
"Q8IUE1_IDR_1_55",0.497128320575435
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.34291924372101
"Q8IUG5_IDR_1_504",0.326441906894646
"Q8IUW5_IDR_126_223",0.271741243545518
"Q8IUW5_IDR_1_54",0.268967577119038
"Q8IUW5_IDR_234_271",0.218750032256102
"Q8IUW5_IDR_91_123",0.240541147079341
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.448528549402764
"Q8IUX7_IDR_1099_1138",0.275159273722279
"Q8IUX7_IDR_44_388",0.276312176874956
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.518043893943519
"Q8IUY3_IDR_182_321",0.481956106056481
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.532669025639781
"Q8IV04_IDR_352_446",0.467330974360219
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.498255781212088
"Q8IV31_IDR_62_184",0.501744218787912
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.300219236792267
"Q8IVE3_IDR_1453_1493",0.221675334819771
"Q8IVE3_IDR_36_69",0.247595045415219
"Q8IVE3_IDR_71_132",0.230510382972742
"Q8IVF1_IDR_14_81",0.193155493766172
"Q8IVF1_IDR_232_366",0.192980540473474
"Q8IVF1_IDR_407_522",0.210409525601135
"Q8IVF1_IDR_525_878",0.191505386288858
"Q8IVF1_IDR_83_205",0.211949053870361
"Q8IVF2_IDR_1_114",0.32306777416505
"Q8IVF2_IDR_1794_5795",0.325708061784305
"Q8IVF2_IDR_195_1792",0.351224164050645
"Q8IVF4_IDR_156_187",0.504476232918613
"Q8IVF4_IDR_1_66",0.495523767081387
"Q8IVF5_IDR_1017_1093",0.236483094308501
"Q8IVF5_IDR_1461_1667",0.264180014308085
"Q8IVF5_IDR_1_498",0.265902893413219
"Q8IVF5_IDR_749_804",0.233433997970194
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.297832061352925
"Q8IVW6_IDR_319_491",0.421593545110563
"Q8IVW6_IDR_516_561",0.280574393536512
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.35255795603193
"Q8IW35_IDR_575_628",0.318330971643657
"Q8IW35_IDR_633_854",0.329111072324413
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.520564397371765
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.538970052028444
"Q8IWE2_IDR_404_437",0.461029947971556
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.519971438077543
"Q8IWF9_IDR_234_348",0.480028561922457
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.105327193543996
"Q8IWI9_IDR_1340_1371",0.100872318959486
"Q8IWI9_IDR_1398_1903",0.130942636465083
"Q8IWI9_IDR_1905_2856",0.134343009734232
"Q8IWI9_IDR_261_649",0.121723842887431
"Q8IWI9_IDR_2974_3016",0.104067117945226
"Q8IWI9_IDR_3020_3065",0.100686823926409
"Q8IWI9_IDR_681_751",0.100634863706853
"Q8IWI9_IDR_753_1079",0.101402192831284
"Q8IWJ2_IDR_1_69",0.35383911079117
"Q8IWT3_IDR_1658_1690",0.245461869980342
"Q8IWT3_IDR_2437_2517",0.229711151656284
"Q8IWT6_IDR_180_231",0.508970286217236
"Q8IWT6_IDR_62_95",0.491029713782764
"Q8IWU2_IDR_1_101",0.273453374007994
"Q8IWU2_IDR_1377_1415",0.252393068833558
"Q8IWU2_IDR_1426_1459",0.235174080262204
"Q8IWU2_IDR_557_1314",0.238979476896244
"Q8IWU5_IDR_1_40",0.245791588759231
"Q8IWU5_IDR_557_594",0.248680994987698
"Q8IWU5_IDR_648_718",0.26789931565942
"Q8IWU5_IDR_824_860",0.237628100593651
"Q8IWU6_IDR_1_37",0.261289019743753
"Q8IWU6_IDR_510_543",0.248166498308379
"Q8IWU6_IDR_561_610",0.262038377178884
"Q8IWU6_IDR_666_738",0.228506104768984
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.332899341179251
"Q8IWV1_IDR_178_270",0.326078337713942
"Q8IWV1_IDR_295_398",0.341022321106808
"Q8IX03_IDR_790_917",0.248254186575384
"Q8IX03_IDR_945_991",0.254534218013925
"Q8IX07_IDR_1_83",0.337769497741634
"Q8IX07_IDR_194_247",0.29726682171751
"Q8IX07_IDR_266_972",0.364963680540856
"Q8IX12_IDR_212_357",0.205162164837804
"Q8IX12_IDR_599_722",0.174548271065104
"Q8IX12_IDR_793_917",0.178587557639086
"Q8IX12_IDR_9_144",0.261975038816096
"Q8IX12_IDR_981_1021",0.179726967641909
"Q8IX15_IDR_125_364",0.273989960062581
"Q8IX15_IDR_1_38",0.251350996680992
"Q8IX15_IDR_420_461",0.247621062938644
"Q8IX15_IDR_504_550",0.227037980317782
"Q8IX18_IDR_1_50",0.479865381326603
"Q8IX18_IDR_706_779",0.520134618673397
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.516816608573258
"Q8IX29_IDR_239_292",0.483183391426742
"Q8IXP5_IDR_108_216",0.519302634576145
"Q8IXP5_IDR_1_106",0.480697365423855
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.484234048928643
"Q8IXQ8_IDR_211_264",0.515765951071357
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.349936127945428
"Q8IXT5_IDR_485_921",0.320875013968916
"Q8IXT5_IDR_89_151",0.329188858085656
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.347179241031943
"Q8IXW0_IDR_176_344",0.324390928351113
"Q8IXW0_IDR_466_587",0.328429830616944
"Q8IXW5_IDR_1_41",0.510998843483257
"Q8IXW5_IDR_171_324",0.489001156516743
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.499399044781946
"Q8IY63_IDR_493_952",0.500600955218054
"Q8IY67_IDR_1_35",0.453956661004609
"Q8IY67_IDR_349_606",0.546043338995391
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.479706681403112
"Q8IY84_IDR_7_44",0.520293318596888
"Q8IY85_IDR_375_441",0.48601083778094
"Q8IY85_IDR_77_146",0.51398916221906
"Q8IY92_IDR_1_50",0.170937480594625
"Q8IY92_IDR_377_470",0.179190332854309
"Q8IY92_IDR_558_613",0.15350186003569
"Q8IY92_IDR_630_669",0.152442920413556
"Q8IY92_IDR_64_289",0.173065268554044
"Q8IY92_IDR_824_1750",0.170862137547776
"Q8IYE1_IDR_684_715",0.480260755030651
"Q8IYF1_IDR_647_753",0.516769434276399
"Q8IYF1_IDR_79_458",0.483230565723601
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.32545764172578
"Q8IYH5_IDR_573_649",0.334082262082297
"Q8IYH5_IDR_714_786",0.340460096191924
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.476307284021455
"Q8IYI6_IDR_287_328",0.523692715978545
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.240884585954913
"Q8IYJ0_IDR_112_175",0.251341849949204
"Q8IYJ0_IDR_204_238",0.265385946626675
"Q8IYJ0_IDR_240_282",0.242387617469208
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.504063406450474
"Q8IYK4_IDR_584_626",0.495936593549526
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.173528476931931
"Q8IYW2_IDR_1347_1410",0.151697076116033
"Q8IYW2_IDR_1985_2022",0.168714751040027
"Q8IYW2_IDR_2287_2320",0.169800870894722
"Q8IYW2_IDR_2540_2579",0.166392269058324
"Q8IYW2_IDR_2630_2661",0.169866555958963
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.536938217769716
"Q8IZ41_IDR_77_124",0.463061782230284
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.338651337746629
"Q8IZ63_IDR_360_422",0.336078813091346
"Q8IZ63_IDR_87_332",0.325269849162025
"Q8IZ69_IDR_1_56",0.506260153546633
"Q8IZ69_IDR_591_625",0.493739846453367
"Q8IZ73_IDR_31_122",0.504973873088977
"Q8IZ73_IDR_421_495",0.495026126911023
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.322541648695298
"Q8IZA0_IDR_201_244",0.324305319606633
"Q8IZA0_IDR_957_1015",0.353153031698069
"Q8IZA3_IDR_114_346",0.473538091873726
"Q8IZA3_IDR_1_50",0.526461908126274
"Q8IZC4_IDR_185_221",0.337437301865266
"Q8IZC4_IDR_409_445",0.32419244055384
"Q8IZC4_IDR_476_603",0.338370257580893
"Q8IZC6_IDR_1_36",0.517621538114218
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.501422408605244
"Q8IZJ3_IDR_1758_1835",0.498577591394756
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.463844993926374
"Q8IZL8_IDR_637_1130",0.536155006073626
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.478690600842772
"Q8IZN3_IDR_323_488",0.521309399157228
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.518794611055372
"Q8IZP6_IDR_97_147",0.481205388944628
"Q8IZP7_IDR_1_118",0.521220968071998
"Q8IZP7_IDR_426_459",0.478779031928002
"Q8IZP9_IDR_249_371",0.252374944680363
"Q8IZP9_IDR_39_74",0.253906990668733
"Q8IZU9_IDR_701_778",0.484871010973376
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.151204300133315
"Q8IZX4_IDR_1220_1400",0.154276236173471
"Q8IZX4_IDR_1644_1826",0.218075543139083
"Q8IZX4_IDR_268_354",0.168050580716704
"Q8IZX4_IDR_536_578",0.158033574940238
"Q8IZX4_IDR_82_235",0.150359764897189
"Q8IZY2_IDR_1152_1210",0.488007527634963
"Q8IZY2_IDR_2105_2146",0.511992472365038
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.48863502277239
"Q8N0S2_IDR_260_351",0.511364977227611
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.242739224116916
"Q8N0U7_IDR_267_299",0.252694548563927
"Q8N0U7_IDR_37_122",0.251097980905021
"Q8N0U7_IDR_391_467",0.253468246414135
"Q8N103_IDR_1_81",0.520069283002167
"Q8N103_IDR_283_731",0.479930716997833
"Q8N108_IDR_1_176",0.490059994602356
"Q8N108_IDR_344_512",0.509940005397644
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.543562277662176
"Q8N114_IDR_203_240",0.456437722337823
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.451360615313784
"Q8N122_IDR_820_949",0.548639384686216
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.487996037228067
"Q8N128_IDR_68_213",0.512003962771933
"Q8N129_IDR_1_32",0.517856571376408
"Q8N129_IDR_202_248",0.482143428623592
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.357730572677297
