"","GO0007017_microtubule_based_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.216083492048547
"Q5VUJ6_IDR_1_54",0.365336635310859
"Q5VUJ6_IDR_308_649",0.634663364689141
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.508648332890574
"Q5VV16_IDR_235_409",0.491351667109427
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.512749750344462
"Q5VV42_IDR_499_545",0.487250249655538
"Q5VWN6_IDR_1918_1981",0.155887597594057
"Q5VWN6_IDR_1993_2150",0.170646068059675
"Q5VWN6_IDR_803_1879",0.233186924868253
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.276692013478099
"Q5VWQ0_IDR_63_351",0.381366863006268
"Q5VWQ0_IDR_708_802",0.341941123515634
"Q5VWQ8_IDR_1141_1189",0.334456372816346
"Q5VWQ8_IDR_1_142",0.329652023072885
"Q5VWQ8_IDR_654_1098",0.335891604110769
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.181892599606487
"Q5VZL5_IDR_1_334",0.224623053217179
"Q5VZL5_IDR_640_677",0.175881945992693
"Q5VZL5_IDR_851_997",0.202015493320647
"Q5VZL5_IDR_999_1200",0.215586907862994
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.167172537325261
"Q5VZP5_IDR_45_103",0.161458827317996
"Q5XX13_IDR_168_231",0.404250816321355
"Q5XX13_IDR_693_978",0.595749183678645
"Q5XXA6_IDR_1_48",0.353805946688659
"Q5XXA6_IDR_74_121",0.326421648919252
"Q5XXA6_IDR_945_986",0.319772404392089
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.526660978607908
"Q63HK3_IDR_383_743",0.473339021392093
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.302972738486759
"Q66K14_IDR_944_993",0.364228720403643
"Q66K41_IDR_1_291",0.500235584868449
"Q66K41_IDR_304_345",0.499764415131551
"Q66K64_IDR_1_37",0.542343481526942
"Q66K64_IDR_275_383",0.457656518473058
"Q66K66_IDR_241_349",0.556613008998931
"Q66K66_IDR_32_81",0.443386991001069
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.219670426721029
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.495441970906914
"Q8IU57_IDR_479_520",0.504558029093086
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.490677244435315
"Q8IU81_IDR_56_237",0.509322755564685
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.520098559296127
"Q8IUC6_IDR_634_673",0.479901440703873
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.197562609391672
"Q8IUD2_IDR_621_730",0.319400056343705
"Q8IUD2_IDR_764_839",0.220830585223634
"Q8IUD2_IDR_926_1072",0.262206749040989
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.487356922279046
"Q8IUE0_IDR_1_55",0.512643077720954
"Q8IUE1_IDR_116_241",0.499853682105426
"Q8IUE1_IDR_1_55",0.500146317894574
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.235953208234754
"Q8IUG5_IDR_1_504",0.177712084627647
"Q8IUW5_IDR_126_223",0.23081059655351
"Q8IUW5_IDR_1_54",0.219544300983464
"Q8IUW5_IDR_234_271",0.298352921175998
"Q8IUW5_IDR_91_123",0.251292181287028
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.36579632538123
"Q8IUX7_IDR_1099_1138",0.318555645450099
"Q8IUX7_IDR_44_388",0.315648029168671
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.441756493130908
"Q8IUY3_IDR_182_321",0.558243506869092
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.492134302420095
"Q8IV04_IDR_352_446",0.507865697579905
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.467731102339509
"Q8IV31_IDR_62_184",0.532268897660491
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.226142260174398
"Q8IVE3_IDR_1453_1493",0.246239282272531
"Q8IVE3_IDR_36_69",0.266174002361629
"Q8IVE3_IDR_71_132",0.261444455191441
"Q8IVF1_IDR_14_81",0.201255383109505
"Q8IVF1_IDR_232_366",0.173702550957781
"Q8IVF1_IDR_407_522",0.209411055616976
"Q8IVF1_IDR_525_878",0.224062501936316
"Q8IVF1_IDR_83_205",0.191568508379422
"Q8IVF2_IDR_1_114",0.284987726246551
"Q8IVF2_IDR_1794_5795",0.341948431505348
"Q8IVF2_IDR_195_1792",0.373063842248101
"Q8IVF4_IDR_156_187",0.466698896744557
"Q8IVF4_IDR_1_66",0.533301103255443
"Q8IVF5_IDR_1017_1093",0.218379547839785
"Q8IVF5_IDR_1461_1667",0.375317390853284
"Q8IVF5_IDR_1_498",0.190410247534294
"Q8IVF5_IDR_749_804",0.215892813772636
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.332639448459488
"Q8IVW6_IDR_319_491",0.39966063056865
"Q8IVW6_IDR_516_561",0.267699920971862
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.375312966921833
"Q8IW35_IDR_575_628",0.3301901037585
"Q8IW35_IDR_633_854",0.294496929319667
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.488351698417659
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.551136855304063
"Q8IWE2_IDR_404_437",0.448863144695937
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.467108226376709
"Q8IWF9_IDR_234_348",0.532891773623291
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.0896281161157059
"Q8IWI9_IDR_1340_1371",0.0869460648578683
"Q8IWI9_IDR_1398_1903",0.0954427957674791
"Q8IWI9_IDR_1905_2856",0.271186449666723
"Q8IWI9_IDR_261_649",0.100331283726786
"Q8IWI9_IDR_2974_3016",0.0764725611506898
"Q8IWI9_IDR_3020_3065",0.0886388493315145
"Q8IWI9_IDR_681_751",0.107041174009858
"Q8IWI9_IDR_753_1079",0.0843127053733756
"Q8IWJ2_IDR_1_69",0.212814413172151
"Q8IWT3_IDR_1658_1690",0.25155686908823
"Q8IWT3_IDR_2437_2517",0.280500967658116
"Q8IWT6_IDR_180_231",0.492736932412427
"Q8IWT6_IDR_62_95",0.507263067587573
"Q8IWU2_IDR_1_101",0.214040974573205
"Q8IWU2_IDR_1377_1415",0.194197077168182
"Q8IWU2_IDR_1426_1459",0.204077764288826
"Q8IWU2_IDR_557_1314",0.387684183969786
"Q8IWU5_IDR_1_40",0.285261062579863
"Q8IWU5_IDR_557_594",0.223930082633387
"Q8IWU5_IDR_648_718",0.239314507588413
"Q8IWU5_IDR_824_860",0.251494347198337
"Q8IWU6_IDR_1_37",0.264953156594875
"Q8IWU6_IDR_510_543",0.252159212428667
"Q8IWU6_IDR_561_610",0.24009161080515
"Q8IWU6_IDR_666_738",0.242796020171308
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.308158312382631
"Q8IWV1_IDR_178_270",0.341435032965132
"Q8IWV1_IDR_295_398",0.350406654652237
"Q8IX03_IDR_790_917",0.246817791854388
"Q8IX03_IDR_945_991",0.227317214760247
"Q8IX07_IDR_1_83",0.361271376511608
"Q8IX07_IDR_194_247",0.355876088414731
"Q8IX07_IDR_266_972",0.28285253507366
"Q8IX12_IDR_212_357",0.179853199743397
"Q8IX12_IDR_599_722",0.252706054743037
"Q8IX12_IDR_793_917",0.218053855782
"Q8IX12_IDR_9_144",0.195053861625018
"Q8IX12_IDR_981_1021",0.154333028106549
"Q8IX15_IDR_125_364",0.281814478833661
"Q8IX15_IDR_1_38",0.254800280366344
"Q8IX15_IDR_420_461",0.219913529799364
"Q8IX15_IDR_504_550",0.24347171100063
"Q8IX18_IDR_1_50",0.396289718376538
"Q8IX18_IDR_706_779",0.603710281623462
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.442825651412687
"Q8IX29_IDR_239_292",0.557174348587313
"Q8IXP5_IDR_108_216",0.521272660874813
"Q8IXP5_IDR_1_106",0.478727339125187
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.53181178488937
"Q8IXQ8_IDR_211_264",0.46818821511063
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.379285204996379
"Q8IXT5_IDR_485_921",0.318250431979892
"Q8IXT5_IDR_89_151",0.302464363023729
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.310691751325529
"Q8IXW0_IDR_176_344",0.360859436015937
"Q8IXW0_IDR_466_587",0.328448812658534
"Q8IXW5_IDR_1_41",0.529042686650062
"Q8IXW5_IDR_171_324",0.470957313349938
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.386346480734341
"Q8IY63_IDR_493_952",0.613653519265659
"Q8IY67_IDR_1_35",0.556313080706423
"Q8IY67_IDR_349_606",0.443686919293577
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.51665789945157
"Q8IY84_IDR_7_44",0.48334210054843
"Q8IY85_IDR_375_441",0.531652827164355
"Q8IY85_IDR_77_146",0.468347172835646
"Q8IY92_IDR_1_50",0.162423699988065
"Q8IY92_IDR_377_470",0.160364369159799
"Q8IY92_IDR_558_613",0.169836031379926
"Q8IY92_IDR_630_669",0.140483667040729
"Q8IY92_IDR_64_289",0.16628149579403
"Q8IY92_IDR_824_1750",0.200610736637451
"Q8IYE1_IDR_684_715",0.204180924339178
"Q8IYF1_IDR_647_753",0.421769483424644
"Q8IYF1_IDR_79_458",0.578230516575356
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.336607916416951
"Q8IYH5_IDR_573_649",0.308903466109957
"Q8IYH5_IDR_714_786",0.354488617473092
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.441624132130886
"Q8IYI6_IDR_287_328",0.558375867869114
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.247101980968625
"Q8IYJ0_IDR_112_175",0.252665419120463
"Q8IYJ0_IDR_204_238",0.259615037289415
"Q8IYJ0_IDR_240_282",0.240617562621497
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.486905011934153
"Q8IYK4_IDR_584_626",0.513094988065847
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.151743059814828
"Q8IYW2_IDR_1347_1410",0.178102377573665
"Q8IYW2_IDR_1985_2022",0.183465177307569
"Q8IYW2_IDR_2287_2320",0.164010702283129
"Q8IYW2_IDR_2540_2579",0.157655670691293
"Q8IYW2_IDR_2630_2661",0.165023012329514
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.526660798297954
"Q8IZ41_IDR_77_124",0.473339201702046
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.337116129870695
"Q8IZ63_IDR_360_422",0.352950937372855
"Q8IZ63_IDR_87_332",0.30993293275645
"Q8IZ69_IDR_1_56",0.475481413835009
"Q8IZ69_IDR_591_625",0.524518586164991
"Q8IZ73_IDR_31_122",0.458332742648896
"Q8IZ73_IDR_421_495",0.541667257351104
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.305062120967309
"Q8IZA0_IDR_201_244",0.36441275986216
"Q8IZA0_IDR_957_1015",0.330525119170531
"Q8IZA3_IDR_114_346",0.48357806526099
"Q8IZA3_IDR_1_50",0.51642193473901
"Q8IZC4_IDR_185_221",0.33480131241336
"Q8IZC4_IDR_409_445",0.317102087166525
"Q8IZC4_IDR_476_603",0.348096600420115
"Q8IZC6_IDR_1_36",0.535873484269749
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.528733157507037
"Q8IZJ3_IDR_1758_1835",0.471266842492963
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.519723642056812
"Q8IZL8_IDR_637_1130",0.480276357943188
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.523614951582062
"Q8IZN3_IDR_323_488",0.476385048417938
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.484507189903621
"Q8IZP6_IDR_97_147",0.515492810096379
"Q8IZP7_IDR_1_118",0.484623044026208
"Q8IZP7_IDR_426_459",0.515376955973792
"Q8IZP9_IDR_249_371",0.308792967542916
"Q8IZP9_IDR_39_74",0.2207560520614
"Q8IZU9_IDR_701_778",0.456435456068744
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.166925881691754
"Q8IZX4_IDR_1220_1400",0.162789149984916
"Q8IZX4_IDR_1644_1826",0.179790986612451
"Q8IZX4_IDR_268_354",0.147816627835773
"Q8IZX4_IDR_536_578",0.155863529350271
"Q8IZX4_IDR_82_235",0.186813824524835
"Q8IZY2_IDR_1152_1210",0.498419580549351
"Q8IZY2_IDR_2105_2146",0.501580419450649
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.468447997642774
"Q8N0S2_IDR_260_351",0.531552002357226
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.228840200345575
"Q8N0U7_IDR_267_299",0.239372620287609
"Q8N0U7_IDR_37_122",0.255877363432706
"Q8N0U7_IDR_391_467",0.27590981593411
"Q8N103_IDR_1_81",0.457096840392515
"Q8N103_IDR_283_731",0.542903159607485
"Q8N108_IDR_1_176",0.530526919357682
"Q8N108_IDR_344_512",0.469473080642319
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.485048762791654
"Q8N114_IDR_203_240",0.514951237208346
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.496453862722828
"Q8N122_IDR_820_949",0.503546137277172
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.4631583884752
"Q8N128_IDR_68_213",0.5368416115248
"Q8N129_IDR_1_32",0.456467222979384
"Q8N129_IDR_202_248",0.543532777020616
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.459147050521359
