"","GO0008380_RNA_splicing"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.328531634562274
"Q5VUJ6_IDR_1_54",0.47479231002664
"Q5VUJ6_IDR_308_649",0.52520768997336
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.545899340864688
"Q5VV16_IDR_235_409",0.454100659135312
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.536656095600555
"Q5VV42_IDR_499_545",0.463343904399445
"Q5VWN6_IDR_1918_1981",0.174607633994942
"Q5VWN6_IDR_1993_2150",0.170483528643934
"Q5VWN6_IDR_803_1879",0.152024667014644
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.318125788820475
"Q5VWQ0_IDR_63_351",0.380350632588634
"Q5VWQ0_IDR_708_802",0.301523578590891
"Q5VWQ8_IDR_1141_1189",0.314127171531526
"Q5VWQ8_IDR_1_142",0.28847947253429
"Q5VWQ8_IDR_654_1098",0.397393355934184
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.195529779252441
"Q5VZL5_IDR_1_334",0.204865597832348
"Q5VZL5_IDR_640_677",0.202544720800508
"Q5VZL5_IDR_851_997",0.187855373533972
"Q5VZL5_IDR_999_1200",0.209204528580732
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.130532505924535
"Q5VZP5_IDR_45_103",0.137197887116688
"Q5XX13_IDR_168_231",0.519318536036182
"Q5XX13_IDR_693_978",0.480681463963818
"Q5XXA6_IDR_1_48",0.30590014120117
"Q5XXA6_IDR_74_121",0.357653280056357
"Q5XXA6_IDR_945_986",0.336446578742473
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.496711500316146
"Q63HK3_IDR_383_743",0.503288499683854
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.352085361038476
"Q66K14_IDR_944_993",0.348112219490607
"Q66K41_IDR_1_291",0.470451591275021
"Q66K41_IDR_304_345",0.529548408724979
"Q66K64_IDR_1_37",0.48538508542012
"Q66K64_IDR_275_383",0.51461491457988
"Q66K66_IDR_241_349",0.653232794311204
"Q66K66_IDR_32_81",0.346767205688796
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.249124051127478
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.47893242831328
"Q8IU57_IDR_479_520",0.52106757168672
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.49896243962005
"Q8IU81_IDR_56_237",0.50103756037995
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.466618782811966
"Q8IUC6_IDR_634_673",0.533381217188034
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.248042491247845
"Q8IUD2_IDR_621_730",0.242300423503682
"Q8IUD2_IDR_764_839",0.259098904582332
"Q8IUD2_IDR_926_1072",0.250558180666141
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.488524254761997
"Q8IUE0_IDR_1_55",0.511475745238003
"Q8IUE1_IDR_116_241",0.48099935872635
"Q8IUE1_IDR_1_55",0.51900064127365
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.260871299702495
"Q8IUG5_IDR_1_504",0.454935815348133
"Q8IUW5_IDR_126_223",0.234926016248485
"Q8IUW5_IDR_1_54",0.256515044615232
"Q8IUW5_IDR_234_271",0.237993955905673
"Q8IUW5_IDR_91_123",0.27056498323061
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.316423778833309
"Q8IUX7_IDR_1099_1138",0.297258305834918
"Q8IUX7_IDR_44_388",0.386317915331774
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.518209678567065
"Q8IUY3_IDR_182_321",0.481790321432935
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.484541209859324
"Q8IV04_IDR_352_446",0.515458790140676
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.489795877390685
"Q8IV31_IDR_62_184",0.510204122609315
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.260525034726566
"Q8IVE3_IDR_1453_1493",0.2350225336496
"Q8IVE3_IDR_36_69",0.249996069045458
"Q8IVE3_IDR_71_132",0.254456362578376
"Q8IVF1_IDR_14_81",0.201096542401484
"Q8IVF1_IDR_232_366",0.203279286910047
"Q8IVF1_IDR_407_522",0.207881870375689
"Q8IVF1_IDR_525_878",0.195182629421881
"Q8IVF1_IDR_83_205",0.192559670890899
"Q8IVF2_IDR_1_114",0.350152059427381
"Q8IVF2_IDR_1794_5795",0.324004510842298
"Q8IVF2_IDR_195_1792",0.325843429730321
"Q8IVF4_IDR_156_187",0.502197141854728
"Q8IVF4_IDR_1_66",0.497802858145272
"Q8IVF5_IDR_1017_1093",0.234089830062597
"Q8IVF5_IDR_1461_1667",0.23700287149055
"Q8IVF5_IDR_1_498",0.28908629605458
"Q8IVF5_IDR_749_804",0.239821002392272
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.362343977217261
"Q8IVW6_IDR_319_491",0.291546569509149
"Q8IVW6_IDR_516_561",0.34610945327359
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.315294527831633
"Q8IW35_IDR_575_628",0.348274542184361
"Q8IW35_IDR_633_854",0.336430929984006
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.47948175456468
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.416026296828027
"Q8IWE2_IDR_404_437",0.583973703171973
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.519196409545649
"Q8IWF9_IDR_234_348",0.480803590454351
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.12136989428097
"Q8IWI9_IDR_1340_1371",0.115806339669865
"Q8IWI9_IDR_1398_1903",0.102740202065502
"Q8IWI9_IDR_1905_2856",0.114228189811166
"Q8IWI9_IDR_261_649",0.111721857982243
"Q8IWI9_IDR_2974_3016",0.113546625690329
"Q8IWI9_IDR_3020_3065",0.111617745013216
"Q8IWI9_IDR_681_751",0.103996666799698
"Q8IWI9_IDR_753_1079",0.104972478687012
"Q8IWJ2_IDR_1_69",0.333912531975363
"Q8IWT3_IDR_1658_1690",0.235904662009001
"Q8IWT3_IDR_2437_2517",0.307683841131018
"Q8IWT6_IDR_180_231",0.494862796837926
"Q8IWT6_IDR_62_95",0.505137203162074
"Q8IWU2_IDR_1_101",0.236281224867439
"Q8IWU2_IDR_1377_1415",0.280144085707287
"Q8IWU2_IDR_1426_1459",0.250050245667769
"Q8IWU2_IDR_557_1314",0.233524443757506
"Q8IWU5_IDR_1_40",0.222550941268152
"Q8IWU5_IDR_557_594",0.245514464591813
"Q8IWU5_IDR_648_718",0.281537935560301
"Q8IWU5_IDR_824_860",0.250396658579734
"Q8IWU6_IDR_1_37",0.196584033944868
"Q8IWU6_IDR_510_543",0.266818553793211
"Q8IWU6_IDR_561_610",0.226368649416199
"Q8IWU6_IDR_666_738",0.310228762845722
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.300456083879641
"Q8IWV1_IDR_178_270",0.355618498270936
"Q8IWV1_IDR_295_398",0.343925417849423
"Q8IX03_IDR_790_917",0.277396101411212
"Q8IX03_IDR_945_991",0.244059912193562
"Q8IX07_IDR_1_83",0.3814157761241
"Q8IX07_IDR_194_247",0.305111866448032
"Q8IX07_IDR_266_972",0.313472357427868
"Q8IX12_IDR_212_357",0.202248394300825
"Q8IX12_IDR_599_722",0.164684974044911
"Q8IX12_IDR_793_917",0.320818187908766
"Q8IX12_IDR_9_144",0.157878415263625
"Q8IX12_IDR_981_1021",0.154370028481874
"Q8IX15_IDR_125_364",0.232662390559153
"Q8IX15_IDR_1_38",0.259764223378298
"Q8IX15_IDR_420_461",0.255882771993286
"Q8IX15_IDR_504_550",0.251690614069264
"Q8IX18_IDR_1_50",0.483253030075006
"Q8IX18_IDR_706_779",0.516746969924994
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.513001804163492
"Q8IX29_IDR_239_292",0.486998195836508
"Q8IXP5_IDR_108_216",0.509486669913129
"Q8IXP5_IDR_1_106",0.490513330086871
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.50393474475529
"Q8IXQ8_IDR_211_264",0.49606525524471
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.304507177916764
"Q8IXT5_IDR_485_921",0.426312006095236
"Q8IXT5_IDR_89_151",0.269180815988001
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.337403089734889
"Q8IXW0_IDR_176_344",0.315088170733768
"Q8IXW0_IDR_466_587",0.347508739531343
"Q8IXW5_IDR_1_41",0.575048855470513
"Q8IXW5_IDR_171_324",0.424951144529487
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.481736591810313
"Q8IY63_IDR_493_952",0.518263408189687
"Q8IY67_IDR_1_35",0.536875991281043
"Q8IY67_IDR_349_606",0.463124008718957
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.470169907790015
"Q8IY84_IDR_7_44",0.529830092209985
"Q8IY85_IDR_375_441",0.490539001400669
"Q8IY85_IDR_77_146",0.509460998599331
"Q8IY92_IDR_1_50",0.172590490954331
"Q8IY92_IDR_377_470",0.173826156960225
"Q8IY92_IDR_558_613",0.162710216745041
"Q8IY92_IDR_630_669",0.159528384349555
"Q8IY92_IDR_64_289",0.160536475983797
"Q8IY92_IDR_824_1750",0.17080827500705
"Q8IYE1_IDR_684_715",0.515186108602215
"Q8IYF1_IDR_647_753",0.415075150712218
"Q8IYF1_IDR_79_458",0.584924849287782
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.373294329638232
"Q8IYH5_IDR_573_649",0.325662242899812
"Q8IYH5_IDR_714_786",0.301043427461955
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.487748125851715
"Q8IYI6_IDR_287_328",0.512251874148285
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242954633867439
"Q8IYJ0_IDR_112_175",0.244555561698284
"Q8IYJ0_IDR_204_238",0.267830190793309
"Q8IYJ0_IDR_240_282",0.244659613640969
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.449611143225646
"Q8IYK4_IDR_584_626",0.550388856774354
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.161658170162599
"Q8IYW2_IDR_1347_1410",0.186851804769963
"Q8IYW2_IDR_1985_2022",0.162962789936601
"Q8IYW2_IDR_2287_2320",0.162054140539247
"Q8IYW2_IDR_2540_2579",0.165935556688039
"Q8IYW2_IDR_2630_2661",0.160537537903551
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.489514703265911
"Q8IZ41_IDR_77_124",0.510485296734089
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.337974228585163
"Q8IZ63_IDR_360_422",0.339182622429932
"Q8IZ63_IDR_87_332",0.322843148984905
"Q8IZ69_IDR_1_56",0.510292378862408
"Q8IZ69_IDR_591_625",0.489707621137592
"Q8IZ73_IDR_31_122",0.574434259198064
"Q8IZ73_IDR_421_495",0.425565740801936
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.309105330392183
"Q8IZA0_IDR_201_244",0.295236301733339
"Q8IZA0_IDR_957_1015",0.395658367874477
"Q8IZA3_IDR_114_346",0.543136073599792
"Q8IZA3_IDR_1_50",0.456863926400208
"Q8IZC4_IDR_185_221",0.328159756349483
"Q8IZC4_IDR_409_445",0.331869892736278
"Q8IZC4_IDR_476_603",0.339970350914239
"Q8IZC6_IDR_1_36",0.48051499476302
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.547201251937381
"Q8IZJ3_IDR_1758_1835",0.452798748062619
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.489868707733737
"Q8IZL8_IDR_637_1130",0.510131292266263
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.539538781957158
"Q8IZN3_IDR_323_488",0.460461218042842
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.55965634989352
"Q8IZP6_IDR_97_147",0.44034365010648
"Q8IZP7_IDR_1_118",0.394947128292948
"Q8IZP7_IDR_426_459",0.605052871707052
"Q8IZP9_IDR_249_371",0.231255829003456
"Q8IZP9_IDR_39_74",0.246101531943815
"Q8IZU9_IDR_701_778",0.505275029588835
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.169651489911461
"Q8IZX4_IDR_1220_1400",0.158613829524462
"Q8IZX4_IDR_1644_1826",0.174263315002624
"Q8IZX4_IDR_268_354",0.180090882910606
"Q8IZX4_IDR_536_578",0.157122422041436
"Q8IZX4_IDR_82_235",0.160258060609411
"Q8IZY2_IDR_1152_1210",0.501790230733042
"Q8IZY2_IDR_2105_2146",0.498209769266958
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.492437256346439
"Q8N0S2_IDR_260_351",0.507562743653561
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.258898787762206
"Q8N0U7_IDR_267_299",0.254043834175246
"Q8N0U7_IDR_37_122",0.259007798166205
"Q8N0U7_IDR_391_467",0.228049579896343
"Q8N103_IDR_1_81",0.49682395055046
"Q8N103_IDR_283_731",0.50317604944954
"Q8N108_IDR_1_176",0.511122588922652
"Q8N108_IDR_344_512",0.488877411077348
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.493969963729007
"Q8N114_IDR_203_240",0.506030036270993
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.502019210582627
"Q8N122_IDR_820_949",0.497980789417373
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.530116957659177
"Q8N128_IDR_68_213",0.469883042340823
"Q8N129_IDR_1_32",0.441637345803852
"Q8N129_IDR_202_248",0.558362654196148
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.306522771596072
"Q8N137_IDR_442_797",0.320299602813993
