"","GO0000398_mRNA_splicing._via_spliceosome"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.332513068097353
"Q5VUJ6_IDR_1_54",0.487181402595111
"Q5VUJ6_IDR_308_649",0.512818597404889
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.541254901712746
"Q5VV16_IDR_235_409",0.458745098287254
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.53860662480055
"Q5VV42_IDR_499_545",0.46139337519945
"Q5VWN6_IDR_1918_1981",0.175258754206827
"Q5VWN6_IDR_1993_2150",0.170178170404662
"Q5VWN6_IDR_803_1879",0.152937924197695
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.324170579696123
"Q5VWQ0_IDR_63_351",0.372979645705528
"Q5VWQ0_IDR_708_802",0.302849774598349
"Q5VWQ8_IDR_1141_1189",0.323767075741244
"Q5VWQ8_IDR_1_142",0.301924056613718
"Q5VWQ8_IDR_654_1098",0.374308867645038
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.194615139647641
"Q5VZL5_IDR_1_334",0.205196941754179
"Q5VZL5_IDR_640_677",0.203210461365631
"Q5VZL5_IDR_851_997",0.19027871011524
"Q5VZL5_IDR_999_1200",0.206698747117308
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.137225300538449
"Q5VZP5_IDR_45_103",0.146831787505665
"Q5XX13_IDR_168_231",0.513420030753143
"Q5XX13_IDR_693_978",0.486579969246857
"Q5XXA6_IDR_1_48",0.308495574188721
"Q5XXA6_IDR_74_121",0.354907694585994
"Q5XXA6_IDR_945_986",0.336596731225284
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.496191018215156
"Q63HK3_IDR_383_743",0.503808981784844
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.341306918376094
"Q66K14_IDR_944_993",0.350101661010784
"Q66K41_IDR_1_291",0.465732384394403
"Q66K41_IDR_304_345",0.534267615605597
"Q66K64_IDR_1_37",0.488872418487714
"Q66K64_IDR_275_383",0.511127581512286
"Q66K66_IDR_241_349",0.636957172032914
"Q66K66_IDR_32_81",0.363042827967086
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.250636376382156
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.484249509725151
"Q8IU57_IDR_479_520",0.515750490274849
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.498618254998469
"Q8IU81_IDR_56_237",0.501381745001531
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.461001655581157
"Q8IUC6_IDR_634_673",0.538998344418843
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.244206040026908
"Q8IUD2_IDR_621_730",0.244036843513707
"Q8IUD2_IDR_764_839",0.259055606343085
"Q8IUD2_IDR_926_1072",0.2527015101163
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.491289019647156
"Q8IUE0_IDR_1_55",0.508710980352844
"Q8IUE1_IDR_116_241",0.484369265690924
"Q8IUE1_IDR_1_55",0.515630734309076
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.275200703676138
"Q8IUG5_IDR_1_504",0.44102429850325
"Q8IUW5_IDR_126_223",0.23578061730847
"Q8IUW5_IDR_1_54",0.256503535369966
"Q8IUW5_IDR_234_271",0.240249747063098
"Q8IUW5_IDR_91_123",0.267466100258466
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.312078004949675
"Q8IUX7_IDR_1099_1138",0.280171704834829
"Q8IUX7_IDR_44_388",0.407750290215496
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.509945083196089
"Q8IUY3_IDR_182_321",0.490054916803911
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.47987150219258
"Q8IV04_IDR_352_446",0.52012849780742
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.493812650828918
"Q8IV31_IDR_62_184",0.506187349171082
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.256310896902344
"Q8IVE3_IDR_1453_1493",0.237597701395571
"Q8IVE3_IDR_36_69",0.251006780012871
"Q8IVE3_IDR_71_132",0.255084621689214
"Q8IVF1_IDR_14_81",0.200177208648289
"Q8IVF1_IDR_232_366",0.203453269332326
"Q8IVF1_IDR_407_522",0.207903438105888
"Q8IVF1_IDR_525_878",0.194629399851373
"Q8IVF1_IDR_83_205",0.193836684062124
"Q8IVF2_IDR_1_114",0.352892313415749
"Q8IVF2_IDR_1794_5795",0.321879411985616
"Q8IVF2_IDR_195_1792",0.325228274598635
"Q8IVF4_IDR_156_187",0.504125805180646
"Q8IVF4_IDR_1_66",0.495874194819354
"Q8IVF5_IDR_1017_1093",0.243170155330837
"Q8IVF5_IDR_1461_1667",0.240208299697791
"Q8IVF5_IDR_1_498",0.270301411509569
"Q8IVF5_IDR_749_804",0.246320133461803
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.365352238662584
"Q8IVW6_IDR_319_491",0.296793442052442
"Q8IVW6_IDR_516_561",0.337854319284974
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.317280315310087
"Q8IW35_IDR_575_628",0.350380108673954
"Q8IW35_IDR_633_854",0.332339576015959
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.480827219921048
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.427415146741509
"Q8IWE2_IDR_404_437",0.572584853258491
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.51859681477692
"Q8IWF9_IDR_234_348",0.48140318522308
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.117906860836661
"Q8IWI9_IDR_1340_1371",0.117300338967227
"Q8IWI9_IDR_1398_1903",0.103805540683025
"Q8IWI9_IDR_1905_2856",0.11228469186694
"Q8IWI9_IDR_261_649",0.109274542049571
"Q8IWI9_IDR_2974_3016",0.114734696407751
"Q8IWI9_IDR_3020_3065",0.112627955190623
"Q8IWI9_IDR_681_751",0.105952779471996
"Q8IWI9_IDR_753_1079",0.106112594526206
"Q8IWJ2_IDR_1_69",0.333702872536758
"Q8IWT3_IDR_1658_1690",0.237532545974915
"Q8IWT3_IDR_2437_2517",0.294230340188187
"Q8IWT6_IDR_180_231",0.49528211224216
"Q8IWT6_IDR_62_95",0.50471788775784
"Q8IWU2_IDR_1_101",0.239246238661542
"Q8IWU2_IDR_1377_1415",0.270288222814444
"Q8IWU2_IDR_1426_1459",0.256658139694764
"Q8IWU2_IDR_557_1314",0.23380739882925
"Q8IWU5_IDR_1_40",0.228898974217571
"Q8IWU5_IDR_557_594",0.240581355363683
"Q8IWU5_IDR_648_718",0.278607065588298
"Q8IWU5_IDR_824_860",0.251912604830448
"Q8IWU6_IDR_1_37",0.199526255245691
"Q8IWU6_IDR_510_543",0.266485546141623
"Q8IWU6_IDR_561_610",0.224575668887799
"Q8IWU6_IDR_666_738",0.309412529724887
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.311612220106043
"Q8IWV1_IDR_178_270",0.348241057600606
"Q8IWV1_IDR_295_398",0.340146722293351
"Q8IX03_IDR_790_917",0.270727417863503
"Q8IX03_IDR_945_991",0.248568616341554
"Q8IX07_IDR_1_83",0.378409611013182
"Q8IX07_IDR_194_247",0.30695385951287
"Q8IX07_IDR_266_972",0.314636529473948
"Q8IX12_IDR_212_357",0.219278779058042
"Q8IX12_IDR_599_722",0.159517500526064
"Q8IX12_IDR_793_917",0.313748650374115
"Q8IX12_IDR_9_144",0.155269631403214
"Q8IX12_IDR_981_1021",0.152185438638565
"Q8IX15_IDR_125_364",0.233499437911745
"Q8IX15_IDR_1_38",0.258116775577065
"Q8IX15_IDR_420_461",0.258252820420025
"Q8IX15_IDR_504_550",0.250130966091165
"Q8IX18_IDR_1_50",0.483273091638276
"Q8IX18_IDR_706_779",0.516726908361724
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.514867721457938
"Q8IX29_IDR_239_292",0.485132278542062
"Q8IXP5_IDR_108_216",0.501109317252744
"Q8IXP5_IDR_1_106",0.498890682747256
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.499420892658411
"Q8IXQ8_IDR_211_264",0.500579107341589
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.32365175404151
"Q8IXT5_IDR_485_921",0.406112475287545
"Q8IXT5_IDR_89_151",0.270235770670945
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.336095114873338
"Q8IXW0_IDR_176_344",0.313446794128487
"Q8IXW0_IDR_466_587",0.350458090998175
"Q8IXW5_IDR_1_41",0.578276166584539
"Q8IXW5_IDR_171_324",0.421723833415461
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.48964721162795
"Q8IY63_IDR_493_952",0.51035278837205
"Q8IY67_IDR_1_35",0.532214064344945
"Q8IY67_IDR_349_606",0.467785935655055
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.47594344021622
"Q8IY84_IDR_7_44",0.52405655978378
"Q8IY85_IDR_375_441",0.489302456404614
"Q8IY85_IDR_77_146",0.510697543595386
"Q8IY92_IDR_1_50",0.173606482685131
"Q8IY92_IDR_377_470",0.17462623682266
"Q8IY92_IDR_558_613",0.164975570633882
"Q8IY92_IDR_630_669",0.162972713849629
"Q8IY92_IDR_64_289",0.158815530565674
"Q8IY92_IDR_824_1750",0.165003465443025
"Q8IYE1_IDR_684_715",0.519948150888118
"Q8IYF1_IDR_647_753",0.427146378013211
"Q8IYF1_IDR_79_458",0.572853621986789
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.35747033510546
"Q8IYH5_IDR_573_649",0.329811586638406
"Q8IYH5_IDR_714_786",0.312718078256134
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.489625502750038
"Q8IYI6_IDR_287_328",0.510374497249962
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.247108865907277
"Q8IYJ0_IDR_112_175",0.244732253185427
"Q8IYJ0_IDR_204_238",0.26415854396282
"Q8IYJ0_IDR_240_282",0.244000336944477
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.457336688729287
"Q8IYK4_IDR_584_626",0.542663311270713
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.162106133974454
"Q8IYW2_IDR_1347_1410",0.182150188031081
"Q8IYW2_IDR_1985_2022",0.163451504362992
"Q8IYW2_IDR_2287_2320",0.163706122790593
"Q8IYW2_IDR_2540_2579",0.167640312561386
"Q8IYW2_IDR_2630_2661",0.160945738279494
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.483291166380316
"Q8IZ41_IDR_77_124",0.516708833619684
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.336047858343345
"Q8IZ63_IDR_360_422",0.338653239692713
"Q8IZ63_IDR_87_332",0.325298901963942
"Q8IZ69_IDR_1_56",0.506451271564673
"Q8IZ69_IDR_591_625",0.493548728435327
"Q8IZ73_IDR_31_122",0.571739218084609
"Q8IZ73_IDR_421_495",0.428260781915391
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.310261749841199
"Q8IZA0_IDR_201_244",0.295926764829413
"Q8IZA0_IDR_957_1015",0.393811485329388
"Q8IZA3_IDR_114_346",0.546986478800421
"Q8IZA3_IDR_1_50",0.453013521199579
"Q8IZC4_IDR_185_221",0.326965549209144
"Q8IZC4_IDR_409_445",0.330993556501457
"Q8IZC4_IDR_476_603",0.342040894289399
"Q8IZC6_IDR_1_36",0.477360405847888
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.549846661545125
"Q8IZJ3_IDR_1758_1835",0.450153338454875
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.49186323950243
"Q8IZL8_IDR_637_1130",0.50813676049757
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.537167795248343
"Q8IZN3_IDR_323_488",0.462832204751657
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.540827248417005
"Q8IZP6_IDR_97_147",0.459172751582994
"Q8IZP7_IDR_1_118",0.404905528507692
"Q8IZP7_IDR_426_459",0.595094471492308
"Q8IZP9_IDR_249_371",0.234112838097127
"Q8IZP9_IDR_39_74",0.24800133216272
"Q8IZU9_IDR_701_778",0.504698584674297
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.167714505586695
"Q8IZX4_IDR_1220_1400",0.160506964101131
"Q8IZX4_IDR_1644_1826",0.172365440914827
"Q8IZX4_IDR_268_354",0.180920789088792
"Q8IZX4_IDR_536_578",0.158177257473394
"Q8IZX4_IDR_82_235",0.16031504283516
"Q8IZY2_IDR_1152_1210",0.499721785902097
"Q8IZY2_IDR_2105_2146",0.500278214097903
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.499483289944325
"Q8N0S2_IDR_260_351",0.500516710055675
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.261267084892793
"Q8N0U7_IDR_267_299",0.252192922598819
"Q8N0U7_IDR_37_122",0.257462226973757
"Q8N0U7_IDR_391_467",0.229077765534631
"Q8N103_IDR_1_81",0.505690515971144
"Q8N103_IDR_283_731",0.494309484028856
"Q8N108_IDR_1_176",0.501784742963084
"Q8N108_IDR_344_512",0.498215257036916
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.493565616610069
"Q8N114_IDR_203_240",0.506434383389931
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.496699348222381
"Q8N122_IDR_820_949",0.503300651777619
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.529546223002478
"Q8N128_IDR_68_213",0.470453776997522
"Q8N129_IDR_1_32",0.45427980936544
"Q8N129_IDR_202_248",0.54572019063456
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.308699427587722
