"","GO0010324_membrane_invagination"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.343719564071804
"Q5VUJ6_IDR_1_54",0.516977820989535
"Q5VUJ6_IDR_308_649",0.483022179010465
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.488525124097404
"Q5VV16_IDR_235_409",0.511474875902596
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.503287855973383
"Q5VV42_IDR_499_545",0.496712144026617
"Q5VWN6_IDR_1918_1981",0.176037956502946
"Q5VWN6_IDR_1993_2150",0.15850785643887
"Q5VWN6_IDR_803_1879",0.176721989377133
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.344358184373735
"Q5VWQ0_IDR_63_351",0.309174863782782
"Q5VWQ0_IDR_708_802",0.346466951843482
"Q5VWQ8_IDR_1141_1189",0.317073667645082
"Q5VWQ8_IDR_1_142",0.315318706803667
"Q5VWQ8_IDR_654_1098",0.367607625551251
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.187529616577892
"Q5VZL5_IDR_1_334",0.195921903276598
"Q5VZL5_IDR_640_677",0.203144135029593
"Q5VZL5_IDR_851_997",0.192302656726619
"Q5VZL5_IDR_999_1200",0.221101688389299
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.17300793883142
"Q5VZP5_IDR_45_103",0.164238365338246
"Q5XX13_IDR_168_231",0.519345161023125
"Q5XX13_IDR_693_978",0.480654838976875
"Q5XXA6_IDR_1_48",0.341741875851191
"Q5XXA6_IDR_74_121",0.313693010067927
"Q5XXA6_IDR_945_986",0.344565114080882
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.50188810942485
"Q63HK3_IDR_383_743",0.498111890575149
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.349991140447683
"Q66K14_IDR_944_993",0.322904992652081
"Q66K41_IDR_1_291",0.490169301274958
"Q66K41_IDR_304_345",0.509830698725042
"Q66K64_IDR_1_37",0.506111292708068
"Q66K64_IDR_275_383",0.493888707291932
"Q66K66_IDR_241_349",0.471891188492969
"Q66K66_IDR_32_81",0.528108811507031
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.231184946767431
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.539374159888382
"Q8IU57_IDR_479_520",0.460625840111618
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.521913270829487
"Q8IU81_IDR_56_237",0.478086729170513
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.482665000396981
"Q8IUC6_IDR_634_673",0.517334999603019
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.254572526240473
"Q8IUD2_IDR_621_730",0.248400329862291
"Q8IUD2_IDR_764_839",0.24547529803897
"Q8IUD2_IDR_926_1072",0.251551845858266
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.509518747014482
"Q8IUE0_IDR_1_55",0.490481252985518
"Q8IUE1_IDR_116_241",0.527874534439331
"Q8IUE1_IDR_1_55",0.472125465560669
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.335277717079368
"Q8IUG5_IDR_1_504",0.332337744551149
"Q8IUW5_IDR_126_223",0.235760075944442
"Q8IUW5_IDR_1_54",0.264184025703409
"Q8IUW5_IDR_234_271",0.247361365713442
"Q8IUW5_IDR_91_123",0.252694532638707
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.337992166733103
"Q8IUX7_IDR_1099_1138",0.334706601337164
"Q8IUX7_IDR_44_388",0.327301231929733
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.510751438269356
"Q8IUY3_IDR_182_321",0.489248561730644
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.528591248613228
"Q8IV04_IDR_352_446",0.471408751386772
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.528950484818982
"Q8IV31_IDR_62_184",0.471049515181018
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.273727507275866
"Q8IVE3_IDR_1453_1493",0.242584288191856
"Q8IVE3_IDR_36_69",0.244645685921326
"Q8IVE3_IDR_71_132",0.239042518610952
"Q8IVF1_IDR_14_81",0.186315743313807
"Q8IVF1_IDR_232_366",0.215401206586391
"Q8IVF1_IDR_407_522",0.189699150897098
"Q8IVF1_IDR_525_878",0.19059150539941
"Q8IVF1_IDR_83_205",0.217992393803295
"Q8IVF2_IDR_1_114",0.327202406118593
"Q8IVF2_IDR_1794_5795",0.353318556858575
"Q8IVF2_IDR_195_1792",0.319479037022832
"Q8IVF4_IDR_156_187",0.501975082241036
"Q8IVF4_IDR_1_66",0.498024917758964
"Q8IVF5_IDR_1017_1093",0.247793769202057
"Q8IVF5_IDR_1461_1667",0.243135719463451
"Q8IVF5_IDR_1_498",0.264753794998944
"Q8IVF5_IDR_749_804",0.244316716335548
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.344927919489725
"Q8IVW6_IDR_319_491",0.311459392387271
"Q8IVW6_IDR_516_561",0.343612688123004
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.338288081655506
"Q8IW35_IDR_575_628",0.290342061515473
"Q8IW35_IDR_633_854",0.371369856829021
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.508453438762881
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.557207724030126
"Q8IWE2_IDR_404_437",0.442792275969874
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.508408109516954
"Q8IWF9_IDR_234_348",0.491591890483046
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.100961225005373
"Q8IWI9_IDR_1340_1371",0.110050860578176
"Q8IWI9_IDR_1398_1903",0.134634018028435
"Q8IWI9_IDR_1905_2856",0.108402342454784
"Q8IWI9_IDR_261_649",0.113850218798975
"Q8IWI9_IDR_2974_3016",0.111479411239839
"Q8IWI9_IDR_3020_3065",0.10949778422002
"Q8IWI9_IDR_681_751",0.103979252593581
"Q8IWI9_IDR_753_1079",0.107144887080817
"Q8IWJ2_IDR_1_69",0.337315925220696
"Q8IWT3_IDR_1658_1690",0.244961772013507
"Q8IWT3_IDR_2437_2517",0.278607023521193
"Q8IWT6_IDR_180_231",0.485162957699613
"Q8IWT6_IDR_62_95",0.514837042300387
"Q8IWU2_IDR_1_101",0.242439085559224
"Q8IWU2_IDR_1377_1415",0.230451752931414
"Q8IWU2_IDR_1426_1459",0.239787711285047
"Q8IWU2_IDR_557_1314",0.287321450224315
"Q8IWU5_IDR_1_40",0.259383626845456
"Q8IWU5_IDR_557_594",0.254011166570715
"Q8IWU5_IDR_648_718",0.24040991539587
"Q8IWU5_IDR_824_860",0.246195291187959
"Q8IWU6_IDR_1_37",0.266585526166268
"Q8IWU6_IDR_510_543",0.242254131095289
"Q8IWU6_IDR_561_610",0.258506830765407
"Q8IWU6_IDR_666_738",0.232653511973036
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.357059159515009
"Q8IWV1_IDR_178_270",0.337582251486697
"Q8IWV1_IDR_295_398",0.305358588998294
"Q8IX03_IDR_790_917",0.244927299998869
"Q8IX03_IDR_945_991",0.255096011990764
"Q8IX07_IDR_1_83",0.337145953244508
"Q8IX07_IDR_194_247",0.354419711769011
"Q8IX07_IDR_266_972",0.308434334986481
"Q8IX12_IDR_212_357",0.208655013841421
"Q8IX12_IDR_599_722",0.18302358842944
"Q8IX12_IDR_793_917",0.18450706425665
"Q8IX12_IDR_9_144",0.220389033483217
"Q8IX12_IDR_981_1021",0.203425299989271
"Q8IX15_IDR_125_364",0.238509752906307
"Q8IX15_IDR_1_38",0.248184078668696
"Q8IX15_IDR_420_461",0.262485537674602
"Q8IX15_IDR_504_550",0.250820630750395
"Q8IX18_IDR_1_50",0.50517411270567
"Q8IX18_IDR_706_779",0.49482588729433
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.487215237171935
"Q8IX29_IDR_239_292",0.512784762828065
"Q8IXP5_IDR_108_216",0.505450106782219
"Q8IXP5_IDR_1_106",0.494549893217781
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.474133875537085
"Q8IXQ8_IDR_211_264",0.525866124462915
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.320727313100631
"Q8IXT5_IDR_485_921",0.340899054769498
"Q8IXT5_IDR_89_151",0.338373632129871
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.328764036313351
"Q8IXW0_IDR_176_344",0.352039603672774
"Q8IXW0_IDR_466_587",0.319196360013875
"Q8IXW5_IDR_1_41",0.503024483794219
"Q8IXW5_IDR_171_324",0.496975516205781
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.509977988030245
"Q8IY63_IDR_493_952",0.490022011969755
"Q8IY67_IDR_1_35",0.482182745772839
"Q8IY67_IDR_349_606",0.517817254227161
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.494711917525459
"Q8IY84_IDR_7_44",0.505288082474541
"Q8IY85_IDR_375_441",0.512320365707693
"Q8IY85_IDR_77_146",0.487679634292307
"Q8IY92_IDR_1_50",0.17308570951821
"Q8IY92_IDR_377_470",0.157799274200026
"Q8IY92_IDR_558_613",0.16661175189455
"Q8IY92_IDR_630_669",0.168124685153554
"Q8IY92_IDR_64_289",0.165656531417082
"Q8IY92_IDR_824_1750",0.168722047816578
"Q8IYE1_IDR_684_715",0.523941739647563
"Q8IYF1_IDR_647_753",0.520320400503421
"Q8IYF1_IDR_79_458",0.479679599496579
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.322209401804357
"Q8IYH5_IDR_573_649",0.341238701358128
"Q8IYH5_IDR_714_786",0.336551896837515
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.468438386488872
"Q8IYI6_IDR_287_328",0.531561613511128
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.248236803429655
"Q8IYJ0_IDR_112_175",0.253901923149897
"Q8IYJ0_IDR_204_238",0.245050755380397
"Q8IYJ0_IDR_240_282",0.25281051804005
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.512199286787352
"Q8IYK4_IDR_584_626",0.487800713212648
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.172162747293448
"Q8IYW2_IDR_1347_1410",0.158501338602253
"Q8IYW2_IDR_1985_2022",0.167524641848089
"Q8IYW2_IDR_2287_2320",0.164606372839131
"Q8IYW2_IDR_2540_2579",0.169101140180227
"Q8IYW2_IDR_2630_2661",0.168103759236852
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.485770226452208
"Q8IZ41_IDR_77_124",0.514229773547792
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.33697725310563
"Q8IZ63_IDR_360_422",0.328276896100751
"Q8IZ63_IDR_87_332",0.334745850793619
"Q8IZ69_IDR_1_56",0.493934095228772
"Q8IZ69_IDR_591_625",0.506065904771228
"Q8IZ73_IDR_31_122",0.478959510044538
"Q8IZ73_IDR_421_495",0.521040489955462
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.322999999504391
"Q8IZA0_IDR_201_244",0.363148277954093
"Q8IZA0_IDR_957_1015",0.313851722541515
"Q8IZA3_IDR_114_346",0.487842622079579
"Q8IZA3_IDR_1_50",0.512157377920421
"Q8IZC4_IDR_185_221",0.331257446648604
"Q8IZC4_IDR_409_445",0.336328040649327
"Q8IZC4_IDR_476_603",0.332414512702069
"Q8IZC6_IDR_1_36",0.500144312783326
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.489241847273779
"Q8IZJ3_IDR_1758_1835",0.510758152726221
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.491428847523269
"Q8IZL8_IDR_637_1130",0.508571152476731
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.491316638008303
"Q8IZN3_IDR_323_488",0.508683361991697
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.473338916842547
"Q8IZP6_IDR_97_147",0.526661083157453
"Q8IZP7_IDR_1_118",0.546965093895731
"Q8IZP7_IDR_426_459",0.453034906104269
"Q8IZP9_IDR_249_371",0.270840466238005
"Q8IZP9_IDR_39_74",0.247123026826728
"Q8IZU9_IDR_701_778",0.511214213867209
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.155434485238804
"Q8IZX4_IDR_1220_1400",0.151589652891176
"Q8IZX4_IDR_1644_1826",0.217175150018508
"Q8IZX4_IDR_268_354",0.148792203896417
"Q8IZX4_IDR_536_578",0.147924663618737
"Q8IZX4_IDR_82_235",0.179083844336359
"Q8IZY2_IDR_1152_1210",0.500135334343532
"Q8IZY2_IDR_2105_2146",0.499864665656468
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.524533435785305
"Q8N0S2_IDR_260_351",0.475466564214695
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.243264788431596
"Q8N0U7_IDR_267_299",0.257528022297676
"Q8N0U7_IDR_37_122",0.248437346887961
"Q8N0U7_IDR_391_467",0.250769842382767
"Q8N103_IDR_1_81",0.497567807843266
"Q8N103_IDR_283_731",0.502432192156734
"Q8N108_IDR_1_176",0.515212884477902
"Q8N108_IDR_344_512",0.484787115522098
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.495951880716373
"Q8N114_IDR_203_240",0.504048119283627
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.471350273087696
"Q8N122_IDR_820_949",0.528649726912304
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.474856814868095
"Q8N128_IDR_68_213",0.525143185131905
"Q8N129_IDR_1_32",0.531232561908314
"Q8N129_IDR_202_248",0.468767438091686
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.344610280804807
"Q8N137_IDR_442_797",0.32409467454486
