"","GO0000280_nuclear_division"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.315749600790498
"Q5VUJ6_IDR_1_54",0.479985468244572
"Q5VUJ6_IDR_308_649",0.520014531755428
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.509545498467497
"Q5VV16_IDR_235_409",0.490454501532503
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.531738932817348
"Q5VV42_IDR_499_545",0.468261067182652
"Q5VWN6_IDR_1918_1981",0.129788616695291
"Q5VWN6_IDR_1993_2150",0.13589864429251
"Q5VWN6_IDR_803_1879",0.211508372724605
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.283998833531285
"Q5VWQ0_IDR_63_351",0.424379348118911
"Q5VWQ0_IDR_708_802",0.291621818349804
"Q5VWQ8_IDR_1141_1189",0.319119266726123
"Q5VWQ8_IDR_1_142",0.35308828899716
"Q5VWQ8_IDR_654_1098",0.327792444276716
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.198732301100725
"Q5VZL5_IDR_1_334",0.213667491979442
"Q5VZL5_IDR_640_677",0.195143083169734
"Q5VZL5_IDR_851_997",0.181896579321135
"Q5VZL5_IDR_999_1200",0.210560544428963
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.161418334002365
"Q5VZP5_IDR_45_103",0.162412897902472
"Q5XX13_IDR_168_231",0.521184265182267
"Q5XX13_IDR_693_978",0.478815734817733
"Q5XXA6_IDR_1_48",0.349794995144994
"Q5XXA6_IDR_74_121",0.317315272147481
"Q5XXA6_IDR_945_986",0.332889732707525
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.489721996078968
"Q63HK3_IDR_383_743",0.510278003921032
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.33918394698887
"Q66K14_IDR_944_993",0.337879953265055
"Q66K41_IDR_1_291",0.590897171992371
"Q66K41_IDR_304_345",0.409102828007629
"Q66K64_IDR_1_37",0.528725334637562
"Q66K64_IDR_275_383",0.471274665362438
"Q66K66_IDR_241_349",0.50569284448055
"Q66K66_IDR_32_81",0.49430715551945
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.235091315887132
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.519300098703732
"Q8IU57_IDR_479_520",0.480699901296268
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.499613284348728
"Q8IU81_IDR_56_237",0.500386715651272
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.531732302204776
"Q8IUC6_IDR_634_673",0.468267697795224
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.222790824916404
"Q8IUD2_IDR_621_730",0.274033539755687
"Q8IUD2_IDR_764_839",0.25088650539903
"Q8IUD2_IDR_926_1072",0.252289129928878
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.482256494053025
"Q8IUE0_IDR_1_55",0.517743505946975
"Q8IUE1_IDR_116_241",0.480424216404103
"Q8IUE1_IDR_1_55",0.519575783595897
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.327054851053492
"Q8IUG5_IDR_1_504",0.29871500237298
"Q8IUW5_IDR_126_223",0.248486056365489
"Q8IUW5_IDR_1_54",0.217247382137417
"Q8IUW5_IDR_234_271",0.28160549633333
"Q8IUW5_IDR_91_123",0.252661065163764
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.33705400154074
"Q8IUX7_IDR_1099_1138",0.329606846817781
"Q8IUX7_IDR_44_388",0.333339151641479
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.485669649980198
"Q8IUY3_IDR_182_321",0.514330350019802
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.515370603321238
"Q8IV04_IDR_352_446",0.484629396678762
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.503245170229876
"Q8IV31_IDR_62_184",0.496754829770123
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.248488153895868
"Q8IVE3_IDR_1453_1493",0.2432506398062
"Q8IVE3_IDR_36_69",0.255701079903194
"Q8IVE3_IDR_71_132",0.252560126394738
"Q8IVF1_IDR_14_81",0.198161676015557
"Q8IVF1_IDR_232_366",0.194968314006072
"Q8IVF1_IDR_407_522",0.190654224429182
"Q8IVF1_IDR_525_878",0.225234274544814
"Q8IVF1_IDR_83_205",0.190981511004375
"Q8IVF2_IDR_1_114",0.287151586177641
"Q8IVF2_IDR_1794_5795",0.355069320299003
"Q8IVF2_IDR_195_1792",0.357779093523356
"Q8IVF4_IDR_156_187",0.498862651223851
"Q8IVF4_IDR_1_66",0.501137348776149
"Q8IVF5_IDR_1017_1093",0.23910370223272
"Q8IVF5_IDR_1461_1667",0.290103377755409
"Q8IVF5_IDR_1_498",0.234562483154514
"Q8IVF5_IDR_749_804",0.236230436857357
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.346602837576564
"Q8IVW6_IDR_319_491",0.339639206648527
"Q8IVW6_IDR_516_561",0.31375795577491
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.381262948424028
"Q8IW35_IDR_575_628",0.256311004778163
"Q8IW35_IDR_633_854",0.362426046797809
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.493004888286465
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.492226636537887
"Q8IWE2_IDR_404_437",0.507773363462113
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.48546916427419
"Q8IWF9_IDR_234_348",0.51453083572581
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.118203020099882
"Q8IWI9_IDR_1340_1371",0.0998602396252842
"Q8IWI9_IDR_1398_1903",0.107188092677291
"Q8IWI9_IDR_1905_2856",0.162334484939423
"Q8IWI9_IDR_261_649",0.110748306197784
"Q8IWI9_IDR_2974_3016",0.0921234239176155
"Q8IWI9_IDR_3020_3065",0.0976228534437022
"Q8IWI9_IDR_681_751",0.10069558273751
"Q8IWI9_IDR_753_1079",0.111223996361509
"Q8IWJ2_IDR_1_69",0.314122998498427
"Q8IWT3_IDR_1658_1690",0.250381419349468
"Q8IWT3_IDR_2437_2517",0.26262620924842
"Q8IWT6_IDR_180_231",0.454896595928372
"Q8IWT6_IDR_62_95",0.545103404071627
"Q8IWU2_IDR_1_101",0.224875182654874
"Q8IWU2_IDR_1377_1415",0.223701716744489
"Q8IWU2_IDR_1426_1459",0.219480559237699
"Q8IWU2_IDR_557_1314",0.331942541362938
"Q8IWU5_IDR_1_40",0.252106415437807
"Q8IWU5_IDR_557_594",0.243739669613723
"Q8IWU5_IDR_648_718",0.261907260541461
"Q8IWU5_IDR_824_860",0.242246654407009
"Q8IWU6_IDR_1_37",0.250031814942569
"Q8IWU6_IDR_510_543",0.245323442853858
"Q8IWU6_IDR_561_610",0.239194438132472
"Q8IWU6_IDR_666_738",0.265450304071101
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.336093319521797
"Q8IWV1_IDR_178_270",0.347910597484108
"Q8IWV1_IDR_295_398",0.315996082994095
"Q8IX03_IDR_790_917",0.263906595020115
"Q8IX03_IDR_945_991",0.249716884804322
"Q8IX07_IDR_1_83",0.356313312288689
"Q8IX07_IDR_194_247",0.350401091166812
"Q8IX07_IDR_266_972",0.2932855965445
"Q8IX12_IDR_212_357",0.255856903208775
"Q8IX12_IDR_599_722",0.184440841023608
"Q8IX12_IDR_793_917",0.205200646350698
"Q8IX12_IDR_9_144",0.167919057324937
"Q8IX12_IDR_981_1021",0.186582552091981
"Q8IX15_IDR_125_364",0.261265964218393
"Q8IX15_IDR_1_38",0.260402028856651
"Q8IX15_IDR_420_461",0.236275074825228
"Q8IX15_IDR_504_550",0.242056932099728
"Q8IX18_IDR_1_50",0.474118450437812
"Q8IX18_IDR_706_779",0.525881549562188
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.503762019820277
"Q8IX29_IDR_239_292",0.496237980179723
"Q8IXP5_IDR_108_216",0.520631905900628
"Q8IXP5_IDR_1_106",0.479368094099372
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.521273974724348
"Q8IXQ8_IDR_211_264",0.478726025275652
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.421834616641066
"Q8IXT5_IDR_485_921",0.2803066955125
"Q8IXT5_IDR_89_151",0.297858687846434
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.30384791559334
"Q8IXW0_IDR_176_344",0.315227885312859
"Q8IXW0_IDR_466_587",0.380924199093801
"Q8IXW5_IDR_1_41",0.501909720491326
"Q8IXW5_IDR_171_324",0.498090279508674
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.451642604428313
"Q8IY63_IDR_493_952",0.548357395571687
"Q8IY67_IDR_1_35",0.56249881412638
"Q8IY67_IDR_349_606",0.43750118587362
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.501858506044863
"Q8IY84_IDR_7_44",0.498141493955137
"Q8IY85_IDR_375_441",0.499585390633476
"Q8IY85_IDR_77_146",0.500414609366523
"Q8IY92_IDR_1_50",0.146733801812725
"Q8IY92_IDR_377_470",0.155891364527331
"Q8IY92_IDR_558_613",0.138110125097721
"Q8IY92_IDR_630_669",0.143378640097803
"Q8IY92_IDR_64_289",0.183083294349608
"Q8IY92_IDR_824_1750",0.232802774114813
"Q8IYE1_IDR_684_715",0.510984715088804
"Q8IYF1_IDR_647_753",0.466279967302502
"Q8IYF1_IDR_79_458",0.533720032697498
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.509017355785001
"Q8IYH5_IDR_573_649",0.255206724389053
"Q8IYH5_IDR_714_786",0.235775919825946
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.441582720509128
"Q8IYI6_IDR_287_328",0.558417279490872
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.242444947909116
"Q8IYJ0_IDR_112_175",0.246595961108351
"Q8IYJ0_IDR_204_238",0.255914069711348
"Q8IYJ0_IDR_240_282",0.255045021271186
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.50519593996987
"Q8IYK4_IDR_584_626",0.49480406003013
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.166310272365141
"Q8IYW2_IDR_1347_1410",0.161903043438418
"Q8IYW2_IDR_1985_2022",0.172595082896763
"Q8IYW2_IDR_2287_2320",0.166121008329413
"Q8IYW2_IDR_2540_2579",0.165800470781249
"Q8IYW2_IDR_2630_2661",0.167270122189015
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.530506523811877
"Q8IZ41_IDR_77_124",0.469493476188123
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.346722035299723
"Q8IZ63_IDR_360_422",0.34521350048964
"Q8IZ63_IDR_87_332",0.308064464210637
"Q8IZ69_IDR_1_56",0.497996525915895
"Q8IZ69_IDR_591_625",0.502003474084105
"Q8IZ73_IDR_31_122",0.509247612525162
"Q8IZ73_IDR_421_495",0.490752387474838
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.31339229931323
"Q8IZA0_IDR_201_244",0.342693027489688
"Q8IZA0_IDR_957_1015",0.343914673197082
"Q8IZA3_IDR_114_346",0.519807814659881
"Q8IZA3_IDR_1_50",0.480192185340119
"Q8IZC4_IDR_185_221",0.314158082389513
"Q8IZC4_IDR_409_445",0.294939231731282
"Q8IZC4_IDR_476_603",0.390902685879205
"Q8IZC6_IDR_1_36",0.517109663306898
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.521251216315627
"Q8IZJ3_IDR_1758_1835",0.478748783684373
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.531519487798105
"Q8IZL8_IDR_637_1130",0.468480512201895
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.564811568083002
"Q8IZN3_IDR_323_488",0.435188431916998
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.521266984423864
"Q8IZP6_IDR_97_147",0.478733015576136
"Q8IZP7_IDR_1_118",0.55012914490681
"Q8IZP7_IDR_426_459",0.44987085509319
"Q8IZP9_IDR_249_371",0.25393984049177
"Q8IZP9_IDR_39_74",0.263241939202054
"Q8IZU9_IDR_701_778",0.502706689524968
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.149712349000694
"Q8IZX4_IDR_1220_1400",0.153414040313248
"Q8IZX4_IDR_1644_1826",0.168438876885241
"Q8IZX4_IDR_268_354",0.164478217503088
"Q8IZX4_IDR_536_578",0.218471895153813
"Q8IZX4_IDR_82_235",0.145484621143915
"Q8IZY2_IDR_1152_1210",0.507820170052175
"Q8IZY2_IDR_2105_2146",0.492179829947825
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.500940526550549
"Q8N0S2_IDR_260_351",0.499059473449451
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.25643048284752
"Q8N0U7_IDR_267_299",0.248675205512712
"Q8N0U7_IDR_37_122",0.241750748105358
"Q8N0U7_IDR_391_467",0.25314356353441
"Q8N103_IDR_1_81",0.453334875169779
"Q8N103_IDR_283_731",0.546665124830221
"Q8N108_IDR_1_176",0.488377072225225
"Q8N108_IDR_344_512",0.511622927774775
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.507044264366088
"Q8N114_IDR_203_240",0.492955735633912
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.518943499376143
"Q8N122_IDR_820_949",0.481056500623857
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.503710331159208
"Q8N128_IDR_68_213",0.496289668840792
"Q8N129_IDR_1_32",0.514450485183819
"Q8N129_IDR_202_248",0.485549514816181
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.345832245188037
"Q8N137_IDR_442_797",0.348018732199781
