"","GO0022843_voltage_gated_cation_channel_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.321233236968879
"Q5VUJ6_IDR_1_54",0.501004809422713
"Q5VUJ6_IDR_308_649",0.498995190577287
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.496994699123862
"Q5VV16_IDR_235_409",0.503005300876138
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.495906639279838
"Q5VV42_IDR_499_545",0.504093360720162
"Q5VWN6_IDR_1918_1981",0.176646510579325
"Q5VWN6_IDR_1993_2150",0.177778212928854
"Q5VWN6_IDR_803_1879",0.156433634380488
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.329604934941878
"Q5VWQ0_IDR_63_351",0.339910571426535
"Q5VWQ0_IDR_708_802",0.330484493631587
"Q5VWQ8_IDR_1141_1189",0.314386983316156
"Q5VWQ8_IDR_1_142",0.322765101958684
"Q5VWQ8_IDR_654_1098",0.36284791472516
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.199563419329643
"Q5VZL5_IDR_1_334",0.197131242741861
"Q5VZL5_IDR_640_677",0.21736792476849
"Q5VZL5_IDR_851_997",0.189326325618353
"Q5VZL5_IDR_999_1200",0.196611087541652
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.163302171952099
"Q5VZP5_IDR_45_103",0.161785825113738
"Q5XX13_IDR_168_231",0.556252062143847
"Q5XX13_IDR_693_978",0.443747937856153
"Q5XXA6_IDR_1_48",0.316228521383001
"Q5XXA6_IDR_74_121",0.331579367444854
"Q5XXA6_IDR_945_986",0.352192111172145
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.498472180802973
"Q63HK3_IDR_383_743",0.501527819197027
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.354281874015068
"Q66K14_IDR_944_993",0.32475966919084
"Q66K41_IDR_1_291",0.478589566416528
"Q66K41_IDR_304_345",0.521410433583472
"Q66K64_IDR_1_37",0.468865027204525
"Q66K64_IDR_275_383",0.531134972795474
"Q66K66_IDR_241_349",0.534077348650828
"Q66K66_IDR_32_81",0.465922651349172
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.255255262696583
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.506145991417573
"Q8IU57_IDR_479_520",0.493854008582428
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.48627196928732
"Q8IU81_IDR_56_237",0.51372803071268
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.500643102254953
"Q8IUC6_IDR_634_673",0.499356897745047
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.278440892005411
"Q8IUD2_IDR_621_730",0.243607426762454
"Q8IUD2_IDR_764_839",0.245021029024963
"Q8IUD2_IDR_926_1072",0.232930652207173
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.498230898785809
"Q8IUE0_IDR_1_55",0.501769101214191
"Q8IUE1_IDR_116_241",0.49442516256204
"Q8IUE1_IDR_1_55",0.50557483743796
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.32525865994865
"Q8IUG5_IDR_1_504",0.303609801788974
"Q8IUW5_IDR_126_223",0.278169557633646
"Q8IUW5_IDR_1_54",0.260527767530682
"Q8IUW5_IDR_234_271",0.222521833189763
"Q8IUW5_IDR_91_123",0.238780841645909
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.345988595298553
"Q8IUX7_IDR_1099_1138",0.33741158498976
"Q8IUX7_IDR_44_388",0.316599819711688
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.512869000460753
"Q8IUY3_IDR_182_321",0.487130999539247
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.472218363632433
"Q8IV04_IDR_352_446",0.527781636367567
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.486551945163432
"Q8IV31_IDR_62_184",0.513448054836568
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.252857921623247
"Q8IVE3_IDR_1453_1493",0.276389513372243
"Q8IVE3_IDR_36_69",0.237967449809594
"Q8IVE3_IDR_71_132",0.232785115194916
"Q8IVF1_IDR_14_81",0.200437497747646
"Q8IVF1_IDR_232_366",0.201800269745434
"Q8IVF1_IDR_407_522",0.196445214160012
"Q8IVF1_IDR_525_878",0.199781829380513
"Q8IVF1_IDR_83_205",0.201535188966395
"Q8IVF2_IDR_1_114",0.347045155233704
"Q8IVF2_IDR_1794_5795",0.334465867758098
"Q8IVF2_IDR_195_1792",0.318488977008198
"Q8IVF4_IDR_156_187",0.508965901290708
"Q8IVF4_IDR_1_66",0.491034098709292
"Q8IVF5_IDR_1017_1093",0.24362508824648
"Q8IVF5_IDR_1461_1667",0.255514920713538
"Q8IVF5_IDR_1_498",0.258094194158973
"Q8IVF5_IDR_749_804",0.242765796881009
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.335823612706611
"Q8IVW6_IDR_319_491",0.345601806759729
"Q8IVW6_IDR_516_561",0.31857458053366
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.33798929582973
"Q8IW35_IDR_575_628",0.328746327882144
"Q8IW35_IDR_633_854",0.333264376288127
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.463027181155885
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.493110763849078
"Q8IWE2_IDR_404_437",0.506889236150922
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.459743763673876
"Q8IWF9_IDR_234_348",0.540256236326124
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.110366830018955
"Q8IWI9_IDR_1340_1371",0.116831002711532
"Q8IWI9_IDR_1398_1903",0.10574018968451
"Q8IWI9_IDR_1905_2856",0.111880764232109
"Q8IWI9_IDR_261_649",0.108403084363608
"Q8IWI9_IDR_2974_3016",0.114633745307678
"Q8IWI9_IDR_3020_3065",0.112152159017457
"Q8IWI9_IDR_681_751",0.110866680554867
"Q8IWI9_IDR_753_1079",0.109125544109285
"Q8IWJ2_IDR_1_69",0.318015019814251
"Q8IWT3_IDR_1658_1690",0.251130757815342
"Q8IWT3_IDR_2437_2517",0.261625507038933
"Q8IWT6_IDR_180_231",0.494227824001774
"Q8IWT6_IDR_62_95",0.505772175998226
"Q8IWU2_IDR_1_101",0.2406098697422
"Q8IWU2_IDR_1377_1415",0.265639150828109
"Q8IWU2_IDR_1426_1459",0.24901739403443
"Q8IWU2_IDR_557_1314",0.244733585395261
"Q8IWU5_IDR_1_40",0.243212004341269
"Q8IWU5_IDR_557_594",0.236686028094499
"Q8IWU5_IDR_648_718",0.242432988757885
"Q8IWU5_IDR_824_860",0.277668978806346
"Q8IWU6_IDR_1_37",0.239100643024156
"Q8IWU6_IDR_510_543",0.287100757456491
"Q8IWU6_IDR_561_610",0.237834642300613
"Q8IWU6_IDR_666_738",0.235963957218741
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.321683501089087
"Q8IWV1_IDR_178_270",0.341291780257103
"Q8IWV1_IDR_295_398",0.33702471865381
"Q8IX03_IDR_790_917",0.242804554228365
"Q8IX03_IDR_945_991",0.238384946254611
"Q8IX07_IDR_1_83",0.334185199347665
"Q8IX07_IDR_194_247",0.311030340996623
"Q8IX07_IDR_266_972",0.354784459655712
"Q8IX12_IDR_212_357",0.204146350550082
"Q8IX12_IDR_599_722",0.196640828560957
"Q8IX12_IDR_793_917",0.192663552895197
"Q8IX12_IDR_9_144",0.205672337423832
"Q8IX12_IDR_981_1021",0.200876930569932
"Q8IX15_IDR_125_364",0.250187698308441
"Q8IX15_IDR_1_38",0.265964500530646
"Q8IX15_IDR_420_461",0.247738935574906
"Q8IX15_IDR_504_550",0.236108865586006
"Q8IX18_IDR_1_50",0.503978842148443
"Q8IX18_IDR_706_779",0.496021157851557
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.473829334387827
"Q8IX29_IDR_239_292",0.526170665612173
"Q8IXP5_IDR_108_216",0.499094415971725
"Q8IXP5_IDR_1_106",0.500905584028275
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.499889231388717
"Q8IXQ8_IDR_211_264",0.500110768611283
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.320871080885472
"Q8IXT5_IDR_485_921",0.357421600503844
"Q8IXT5_IDR_89_151",0.321707318610684
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.309552937471056
"Q8IXW0_IDR_176_344",0.324564188398496
"Q8IXW0_IDR_466_587",0.365882874130448
"Q8IXW5_IDR_1_41",0.492799628809402
"Q8IXW5_IDR_171_324",0.507200371190598
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.498311603846009
"Q8IY63_IDR_493_952",0.501688396153991
"Q8IY67_IDR_1_35",0.455104528338092
"Q8IY67_IDR_349_606",0.544895471661908
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.502172972480744
"Q8IY84_IDR_7_44",0.497827027519256
"Q8IY85_IDR_375_441",0.513965734668633
"Q8IY85_IDR_77_146",0.486034265331367
"Q8IY92_IDR_1_50",0.16932254807305
"Q8IY92_IDR_377_470",0.16079876068542
"Q8IY92_IDR_558_613",0.167106300315112
"Q8IY92_IDR_630_669",0.167059626368322
"Q8IY92_IDR_64_289",0.165808564820038
"Q8IY92_IDR_824_1750",0.169904199738058
"Q8IYE1_IDR_684_715",0.516049677532389
"Q8IYF1_IDR_647_753",0.491469882540904
"Q8IYF1_IDR_79_458",0.508530117459096
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.319648492377997
"Q8IYH5_IDR_573_649",0.326098325671565
"Q8IYH5_IDR_714_786",0.354253181950438
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.507477618171705
"Q8IYI6_IDR_287_328",0.492522381828295
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.252098522595212
"Q8IYJ0_IDR_112_175",0.251051067535665
"Q8IYJ0_IDR_204_238",0.252909728146429
"Q8IYJ0_IDR_240_282",0.243940681722694
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.490209856377713
"Q8IYK4_IDR_584_626",0.509790143622287
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.165364965328808
"Q8IYW2_IDR_1347_1410",0.156566067874067
"Q8IYW2_IDR_1985_2022",0.165259549694846
"Q8IYW2_IDR_2287_2320",0.161743509545784
"Q8IYW2_IDR_2540_2579",0.182514897439986
"Q8IYW2_IDR_2630_2661",0.16855101011651
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.544483010345054
"Q8IZ41_IDR_77_124",0.455516989654946
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.330077312084423
"Q8IZ63_IDR_360_422",0.315913520438714
"Q8IZ63_IDR_87_332",0.354009167476863
"Q8IZ69_IDR_1_56",0.49115354764029
"Q8IZ69_IDR_591_625",0.50884645235971
"Q8IZ73_IDR_31_122",0.508533947439556
"Q8IZ73_IDR_421_495",0.491466052560444
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.337786025952462
"Q8IZA0_IDR_201_244",0.317172999113963
"Q8IZA0_IDR_957_1015",0.345040974933575
"Q8IZA3_IDR_114_346",0.487274644118186
"Q8IZA3_IDR_1_50",0.512725355881814
"Q8IZC4_IDR_185_221",0.337554074172178
"Q8IZC4_IDR_409_445",0.337642080266026
"Q8IZC4_IDR_476_603",0.324803845561796
"Q8IZC6_IDR_1_36",0.513281949177515
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.499557767279719
"Q8IZJ3_IDR_1758_1835",0.500442232720281
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.494462160207515
"Q8IZL8_IDR_637_1130",0.505537839792485
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.45309577598156
"Q8IZN3_IDR_323_488",0.54690422401844
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.510106234203691
"Q8IZP6_IDR_97_147",0.489893765796309
"Q8IZP7_IDR_1_118",0.451761444267593
"Q8IZP7_IDR_426_459",0.548238555732408
"Q8IZP9_IDR_249_371",0.238483195005453
"Q8IZP9_IDR_39_74",0.25766269378274
"Q8IZU9_IDR_701_778",0.547015045874299
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.163426228829027
"Q8IZX4_IDR_1220_1400",0.166135327778952
"Q8IZX4_IDR_1644_1826",0.180989496751374
"Q8IZX4_IDR_268_354",0.168335530515912
"Q8IZX4_IDR_536_578",0.165049528516504
"Q8IZX4_IDR_82_235",0.156063887608232
"Q8IZY2_IDR_1152_1210",0.516398510322289
"Q8IZY2_IDR_2105_2146",0.483601489677711
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.499180543128369
"Q8N0S2_IDR_260_351",0.500819456871631
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.29046493982522
"Q8N0U7_IDR_267_299",0.244593073921161
"Q8N0U7_IDR_37_122",0.233707501179307
"Q8N0U7_IDR_391_467",0.231234485074312
"Q8N103_IDR_1_81",0.389645470838175
"Q8N103_IDR_283_731",0.610354529161825
"Q8N108_IDR_1_176",0.517507734374747
"Q8N108_IDR_344_512",0.482492265625253
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.500617077156352
"Q8N114_IDR_203_240",0.499382922843648
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.49515508965185
"Q8N122_IDR_820_949",0.50484491034815
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.491677191916211
"Q8N128_IDR_68_213",0.508322808083789
"Q8N129_IDR_1_32",0.49632272573735
"Q8N129_IDR_202_248",0.50367727426265
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.33117993335016
