"","GO0031326_regulation_of_cellular_biosynthetic_process"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.297640321239701
"Q5VUJ6_IDR_1_54",0.511190166057661
"Q5VUJ6_IDR_308_649",0.488809833942339
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.454175418686847
"Q5VV16_IDR_235_409",0.545824581313153
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.412973347849538
"Q5VV42_IDR_499_545",0.587026652150462
"Q5VWN6_IDR_1918_1981",0.167278790724426
"Q5VWN6_IDR_1993_2150",0.185006919754317
"Q5VWN6_IDR_803_1879",0.149223340179914
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.175775984396113
"Q5VWQ0_IDR_63_351",0.537993279418676
"Q5VWQ0_IDR_708_802",0.286230736185211
"Q5VWQ8_IDR_1141_1189",0.353147835171242
"Q5VWQ8_IDR_1_142",0.309438432531092
"Q5VWQ8_IDR_654_1098",0.337413732297666
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.224918393457068
"Q5VZL5_IDR_1_334",0.237439615452554
"Q5VZL5_IDR_640_677",0.18267296926891
"Q5VZL5_IDR_851_997",0.184330116831455
"Q5VZL5_IDR_999_1200",0.170638904990013
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.170351231162756
"Q5VZP5_IDR_45_103",0.184982231663274
"Q5XX13_IDR_168_231",0.429340249954665
"Q5XX13_IDR_693_978",0.570659750045335
"Q5XXA6_IDR_1_48",0.239461741755038
"Q5XXA6_IDR_74_121",0.477518038569161
"Q5XXA6_IDR_945_986",0.283020219675801
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.545192538602236
"Q63HK3_IDR_383_743",0.454807461397764
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.337934262575984
"Q66K14_IDR_944_993",0.317811506335585
"Q66K41_IDR_1_291",0.523405057042962
"Q66K41_IDR_304_345",0.476594942957038
"Q66K64_IDR_1_37",0.51171188351509
"Q66K64_IDR_275_383",0.48828811648491
"Q66K66_IDR_241_349",0.732107434668368
"Q66K66_IDR_32_81",0.267892565331632
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.231777225034731
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.548931365580449
"Q8IU57_IDR_479_520",0.451068634419551
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.497980136056653
"Q8IU81_IDR_56_237",0.502019863943347
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.511288318773744
"Q8IUC6_IDR_634_673",0.488711681226256
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.264577706598256
"Q8IUD2_IDR_621_730",0.207625370157291
"Q8IUD2_IDR_764_839",0.216335793687362
"Q8IUD2_IDR_926_1072",0.311461129557092
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.513231908958233
"Q8IUE0_IDR_1_55",0.486768091041767
"Q8IUE1_IDR_116_241",0.513818735903077
"Q8IUE1_IDR_1_55",0.486181264096923
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.343039038544971
"Q8IUG5_IDR_1_504",0.352931203887455
"Q8IUW5_IDR_126_223",0.272044626174014
"Q8IUW5_IDR_1_54",0.274630283773491
"Q8IUW5_IDR_234_271",0.229584600916384
"Q8IUW5_IDR_91_123",0.223740489136111
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.31882798786254
"Q8IUX7_IDR_1099_1138",0.379524904397492
"Q8IUX7_IDR_44_388",0.301647107739969
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.590014187725555
"Q8IUY3_IDR_182_321",0.409985812274445
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.51766524460077
"Q8IV04_IDR_352_446",0.48233475539923
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.456303893208512
"Q8IV31_IDR_62_184",0.543696106791488
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.266039190606038
"Q8IVE3_IDR_1453_1493",0.2732545839197
"Q8IVE3_IDR_36_69",0.23745032144002
"Q8IVE3_IDR_71_132",0.223255904034243
"Q8IVF1_IDR_14_81",0.197613959066755
"Q8IVF1_IDR_232_366",0.187533575263473
"Q8IVF1_IDR_407_522",0.204301136952303
"Q8IVF1_IDR_525_878",0.206798922810876
"Q8IVF1_IDR_83_205",0.203752405906593
"Q8IVF2_IDR_1_114",0.281149163855844
"Q8IVF2_IDR_1794_5795",0.372810004456452
"Q8IVF2_IDR_195_1792",0.346040831687704
"Q8IVF4_IDR_156_187",0.537610182804351
"Q8IVF4_IDR_1_66",0.462389817195649
"Q8IVF5_IDR_1017_1093",0.21668652162899
"Q8IVF5_IDR_1461_1667",0.257337788353663
"Q8IVF5_IDR_1_498",0.330721051000118
"Q8IVF5_IDR_749_804",0.195254639017229
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.292880155094814
"Q8IVW6_IDR_319_491",0.337899739329752
"Q8IVW6_IDR_516_561",0.369220105575435
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.401978350728479
"Q8IW35_IDR_575_628",0.300234272842263
"Q8IW35_IDR_633_854",0.297787376429258
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.520393528188243
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.555568071465076
"Q8IWE2_IDR_404_437",0.444431928534924
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.488341074456781
"Q8IWF9_IDR_234_348",0.511658925543219
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.104313900437149
"Q8IWI9_IDR_1340_1371",0.10694100067665
"Q8IWI9_IDR_1398_1903",0.113866677008052
"Q8IWI9_IDR_1905_2856",0.124082931727071
"Q8IWI9_IDR_261_649",0.141972284083446
"Q8IWI9_IDR_2974_3016",0.102012545334058
"Q8IWI9_IDR_3020_3065",0.117885023511941
"Q8IWI9_IDR_681_751",0.102154755205111
"Q8IWI9_IDR_753_1079",0.0867708820165223
"Q8IWJ2_IDR_1_69",0.277062703925159
"Q8IWT3_IDR_1658_1690",0.223622687035807
"Q8IWT3_IDR_2437_2517",0.195453010926567
"Q8IWT6_IDR_180_231",0.480944594290492
"Q8IWT6_IDR_62_95",0.519055405709508
"Q8IWU2_IDR_1_101",0.251386612925132
"Q8IWU2_IDR_1377_1415",0.276997935543362
"Q8IWU2_IDR_1426_1459",0.22786147409517
"Q8IWU2_IDR_557_1314",0.243753977436336
"Q8IWU5_IDR_1_40",0.225268681315785
"Q8IWU5_IDR_557_594",0.238341202858403
"Q8IWU5_IDR_648_718",0.232466259128409
"Q8IWU5_IDR_824_860",0.303923856697403
"Q8IWU6_IDR_1_37",0.243439696099347
"Q8IWU6_IDR_510_543",0.27968087416829
"Q8IWU6_IDR_561_610",0.253298498583478
"Q8IWU6_IDR_666_738",0.223580931148885
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.296728985793702
"Q8IWV1_IDR_178_270",0.321280533209814
"Q8IWV1_IDR_295_398",0.381990480996484
"Q8IX03_IDR_790_917",0.232714609098394
"Q8IX03_IDR_945_991",0.265557049221073
"Q8IX07_IDR_1_83",0.19016949131562
"Q8IX07_IDR_194_247",0.209067093345009
"Q8IX07_IDR_266_972",0.600763415339371
"Q8IX12_IDR_212_357",0.132849503191539
"Q8IX12_IDR_599_722",0.166389496331475
"Q8IX12_IDR_793_917",0.170870232768027
"Q8IX12_IDR_9_144",0.342835842045917
"Q8IX12_IDR_981_1021",0.187054925663042
"Q8IX15_IDR_125_364",0.366010921153739
"Q8IX15_IDR_1_38",0.224596761168842
"Q8IX15_IDR_420_461",0.215564169848961
"Q8IX15_IDR_504_550",0.193828147828458
"Q8IX18_IDR_1_50",0.51355638255013
"Q8IX18_IDR_706_779",0.48644361744987
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.529635030263389
"Q8IX29_IDR_239_292",0.470364969736611
"Q8IXP5_IDR_108_216",0.555490087686743
"Q8IXP5_IDR_1_106",0.444509912313257
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.42546237584218
"Q8IXQ8_IDR_211_264",0.57453762415782
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.316179097654113
"Q8IXT5_IDR_485_921",0.362990658482989
"Q8IXT5_IDR_89_151",0.320830243862898
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.333588513466105
"Q8IXW0_IDR_176_344",0.360020149817837
"Q8IXW0_IDR_466_587",0.306391336716058
"Q8IXW5_IDR_1_41",0.479992781502644
"Q8IXW5_IDR_171_324",0.520007218497356
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.582301329198822
"Q8IY63_IDR_493_952",0.417698670801178
"Q8IY67_IDR_1_35",0.404728555483952
"Q8IY67_IDR_349_606",0.595271444516048
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.51655556355567
"Q8IY84_IDR_7_44",0.48344443644433
"Q8IY85_IDR_375_441",0.464731253007536
"Q8IY85_IDR_77_146",0.535268746992464
"Q8IY92_IDR_1_50",0.178845868037929
"Q8IY92_IDR_377_470",0.15059464203704
"Q8IY92_IDR_558_613",0.176661171580698
"Q8IY92_IDR_630_669",0.161768677399549
"Q8IY92_IDR_64_289",0.154127572555783
"Q8IY92_IDR_824_1750",0.178002068389001
"Q8IYE1_IDR_684_715",0.539717583482142
"Q8IYF1_IDR_647_753",0.424294592102693
"Q8IYF1_IDR_79_458",0.575705407897307
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.339818953523818
"Q8IYH5_IDR_573_649",0.339650939787561
"Q8IYH5_IDR_714_786",0.320530106688621
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.527453839079049
"Q8IYI6_IDR_287_328",0.472546160920951
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.244689349115693
"Q8IYJ0_IDR_112_175",0.245858045482421
"Q8IYJ0_IDR_204_238",0.248324771134636
"Q8IYJ0_IDR_240_282",0.261127834267251
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.442118459959165
"Q8IYK4_IDR_584_626",0.557881540040835
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.177989497812487
"Q8IYW2_IDR_1347_1410",0.15692721248541
"Q8IYW2_IDR_1985_2022",0.162111910609851
"Q8IYW2_IDR_2287_2320",0.163106002820256
"Q8IYW2_IDR_2540_2579",0.160119825397521
"Q8IYW2_IDR_2630_2661",0.179745550874475
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.487241414085991
"Q8IZ41_IDR_77_124",0.512758585914009
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.326410324485924
"Q8IZ63_IDR_360_422",0.312893084039995
"Q8IZ63_IDR_87_332",0.360696591474081
"Q8IZ69_IDR_1_56",0.471089203477435
"Q8IZ69_IDR_591_625",0.528910796522565
"Q8IZ73_IDR_31_122",0.448203677968373
"Q8IZ73_IDR_421_495",0.551796322031627
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.344662120951477
"Q8IZA0_IDR_201_244",0.355521710097748
"Q8IZA0_IDR_957_1015",0.299816168950775
"Q8IZA3_IDR_114_346",0.462099819890918
"Q8IZA3_IDR_1_50",0.537900180109082
"Q8IZC4_IDR_185_221",0.313970842131641
"Q8IZC4_IDR_409_445",0.318984366226071
"Q8IZC4_IDR_476_603",0.367044791642288
"Q8IZC6_IDR_1_36",0.477735317300673
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.50812037819155
"Q8IZJ3_IDR_1758_1835",0.49187962180845
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.470873377696267
"Q8IZL8_IDR_637_1130",0.529126622303733
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.362132615219809
"Q8IZN3_IDR_323_488",0.637867384780191
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.517537603232141
"Q8IZP6_IDR_97_147",0.482462396767859
"Q8IZP7_IDR_1_118",0.500010599745268
"Q8IZP7_IDR_426_459",0.499989400254732
"Q8IZP9_IDR_249_371",0.281533625834168
"Q8IZP9_IDR_39_74",0.260517649418782
"Q8IZU9_IDR_701_778",0.368560413316095
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.164132056185321
"Q8IZX4_IDR_1220_1400",0.16013199683611
"Q8IZX4_IDR_1644_1826",0.159205993590823
"Q8IZX4_IDR_268_354",0.152935070718128
"Q8IZX4_IDR_536_578",0.220856822703614
"Q8IZX4_IDR_82_235",0.142738059966004
"Q8IZY2_IDR_1152_1210",0.52012682246811
"Q8IZY2_IDR_2105_2146",0.47987317753189
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.46284722572948
"Q8N0S2_IDR_260_351",0.53715277427052
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.227232931520504
"Q8N0U7_IDR_267_299",0.234700540491678
"Q8N0U7_IDR_37_122",0.293936671099833
"Q8N0U7_IDR_391_467",0.244129856887985
"Q8N103_IDR_1_81",0.486620968453923
"Q8N103_IDR_283_731",0.513379031546077
"Q8N108_IDR_1_176",0.345172321321764
"Q8N108_IDR_344_512",0.654827678678236
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.506515055929266
"Q8N114_IDR_203_240",0.493484944070734
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.427145183817465
"Q8N122_IDR_820_949",0.572854816182535
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.432522541811324
"Q8N128_IDR_68_213",0.567477458188676
"Q8N129_IDR_1_32",0.454899396944323
"Q8N129_IDR_202_248",0.545100603055677
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.295051492911032
