"","GO0005198_structural_molecule_activity"
"Q5VTL8_IDR_234_546",1
"Q5VTQ0_IDR_1_129",1
"Q5VTR2_IDR_1_95",0.346340066531248
"Q5VUJ6_IDR_1_54",0.505095007929455
"Q5VUJ6_IDR_308_649",0.494904992070545
"Q5VUM1_IDR_1_98",1
"Q5VUR7_IDR_221_517",1
"Q5VV16_IDR_1_106",0.440333412728658
"Q5VV16_IDR_235_409",0.559666587271342
"Q5VV17_IDR_1_289",1
"Q5VV41_IDR_1_250",1
"Q5VV42_IDR_19_58",0.486180895726225
"Q5VV42_IDR_499_545",0.513819104273775
"Q5VWN6_IDR_1918_1981",0.16511381662889
"Q5VWN6_IDR_1993_2150",0.164621665960241
"Q5VWN6_IDR_803_1879",0.15535038591186
"Q5VWP3_IDR_1_458",1
"Q5VWQ0_IDR_1_44",0.353431725549669
"Q5VWQ0_IDR_63_351",0.319492072237492
"Q5VWQ0_IDR_708_802",0.327076202212839
"Q5VWQ8_IDR_1141_1189",0.338953857774054
"Q5VWQ8_IDR_1_142",0.334393536430382
"Q5VWQ8_IDR_654_1098",0.326652605795564
"Q5VWT5_IDR_1_647",1
"Q5VZI3_IDR_240_270",1
"Q5VZK9_IDR_870_1371",1
"Q5VZL5_IDR_1223_1263",0.196145706920005
"Q5VZL5_IDR_1_334",0.189047325511536
"Q5VZL5_IDR_640_677",0.220823105079633
"Q5VZL5_IDR_851_997",0.204236853618706
"Q5VZL5_IDR_999_1200",0.189747008870121
"Q5VZM2_IDR_1_37",1
"Q5VZP5_IDR_282_341",0.161439684185455
"Q5VZP5_IDR_45_103",0.168200332436333
"Q5XX13_IDR_168_231",0.503493645312232
"Q5XX13_IDR_693_978",0.496506354687768
"Q5XXA6_IDR_1_48",0.330662273560205
"Q5XXA6_IDR_74_121",0.345255424464614
"Q5XXA6_IDR_945_986",0.324082301975181
"Q5ZPR3_IDR_492_534",1
"Q63HK3_IDR_128_379",0.5171849867827
"Q63HK3_IDR_383_743",0.4828150132173
"Q63HK5_IDR_1_897",1
"Q63HM2_IDR_777_820",1
"Q66K14_IDR_1067_1191",0.36033557646367
"Q66K14_IDR_944_993",0.31352771225682
"Q66K41_IDR_1_291",0.489373566010343
"Q66K41_IDR_304_345",0.510626433989657
"Q66K64_IDR_1_37",0.505159577512979
"Q66K64_IDR_275_383",0.494840422487021
"Q66K66_IDR_241_349",0.569186237105278
"Q66K66_IDR_32_81",0.430813762894722
"Q66K74_IDR_456_943",1
"Q8HWS3_IDR_857_909",0.242824132754275
"Q8IU54_IDR_1_32",1
"Q8IU57_IDR_297_435",0.489673500775175
"Q8IU57_IDR_479_520",0.510326499224825
"Q8IU60_IDR_244_388",1
"Q8IU68_IDR_652_726",1
"Q8IU81_IDR_283_498",0.49770208821553
"Q8IU81_IDR_56_237",0.50229791178447
"Q8IU85_IDR_322_385",1
"Q8IU89_IDR_334_383",1
"Q8IU99_IDR_257_289",1
"Q8IUA7_IDR_796_832",1
"Q8IUC0_IDR_1_116",1
"Q8IUC1_IDR_1_163",1
"Q8IUC4_IDR_596_675",1
"Q8IUC6_IDR_150_390",0.490771262477004
"Q8IUC6_IDR_634_673",0.509228737522996
"Q8IUC8_IDR_1_36",1
"Q8IUD2_IDR_1_434",0.252495825893661
"Q8IUD2_IDR_621_730",0.248726999149417
"Q8IUD2_IDR_764_839",0.254420361547906
"Q8IUD2_IDR_926_1072",0.244356813409016
"Q8IUD6_IDR_206_239",1
"Q8IUE0_IDR_117_185",0.497885589835119
"Q8IUE0_IDR_1_55",0.502114410164881
"Q8IUE1_IDR_116_241",0.491603045844861
"Q8IUE1_IDR_1_55",0.508396954155139
"Q8IUF1_IDR_1_38",1
"Q8IUF8_IDR_1_34",1
"Q8IUG5_IDR_1481_1514",0.32308494135423
"Q8IUG5_IDR_1_504",0.36854029212527
"Q8IUW5_IDR_126_223",0.259936130555878
"Q8IUW5_IDR_1_54",0.252375659037493
"Q8IUW5_IDR_234_271",0.253704330813726
"Q8IUW5_IDR_91_123",0.233983879592903
"Q8IUX1_IDR_1_47",1
"Q8IUX7_IDR_1004_1067",0.366138934453593
"Q8IUX7_IDR_1099_1138",0.294572806503997
"Q8IUX7_IDR_44_388",0.339288259042409
"Q8IUX8_IDR_286_360",1
"Q8IUY3_IDR_1_66",0.511199215935039
"Q8IUY3_IDR_182_321",0.488800784064961
"Q8IUZ0_IDR_326_403",1
"Q8IV01_IDR_58_149",1
"Q8IV04_IDR_1_34",0.472465508303076
"Q8IV04_IDR_352_446",0.527534491696924
"Q8IV08_IDR_1_73",1
"Q8IV31_IDR_1_49",0.506209391266934
"Q8IV31_IDR_62_184",0.493790608733066
"Q8IV32_IDR_74_421",1
"Q8IV33_IDR_374_409",1
"Q8IVC4_IDR_62_139",1
"Q8IVD9_IDR_79_178",1
"Q8IVE3_IDR_140_700",0.247715664178372
"Q8IVE3_IDR_1453_1493",0.255663282585207
"Q8IVE3_IDR_36_69",0.247350027041025
"Q8IVE3_IDR_71_132",0.249271026195395
"Q8IVF1_IDR_14_81",0.199121768369089
"Q8IVF1_IDR_232_366",0.217991411627177
"Q8IVF1_IDR_407_522",0.199199864513451
"Q8IVF1_IDR_525_878",0.189985020520558
"Q8IVF1_IDR_83_205",0.193701934969725
"Q8IVF2_IDR_1_114",0.298665033081372
"Q8IVF2_IDR_1794_5795",0.355933606390397
"Q8IVF2_IDR_195_1792",0.34540136052823
"Q8IVF4_IDR_156_187",0.503341056573056
"Q8IVF4_IDR_1_66",0.496658943426944
"Q8IVF5_IDR_1017_1093",0.246770483934545
"Q8IVF5_IDR_1461_1667",0.243983387718781
"Q8IVF5_IDR_1_498",0.239721865592808
"Q8IVF5_IDR_749_804",0.269524262753866
"Q8IVS2_IDR_1_56",1
"Q8IVT2_IDR_1_679",1
"Q8IVU1_IDR_671_814",1
"Q8IVU9_IDR_112_158",1
"Q8IVV7_IDR_1_115",1
"Q8IVW4_IDR_294_592",1
"Q8IVW6_IDR_1_201",0.265837594358413
"Q8IVW6_IDR_319_491",0.359359566505109
"Q8IVW6_IDR_516_561",0.374802839136479
"Q8IVW8_IDR_1_99",1
"Q8IVY1_IDR_54_94",1
"Q8IW00_IDR_221_278",1
"Q8IW03_IDR_40_96",1
"Q8IW19_IDR_106_484",1
"Q8IW35_IDR_278_569",0.325136710038716
"Q8IW35_IDR_575_628",0.351452038136586
"Q8IW35_IDR_633_854",0.323411251824698
"Q8IW41_IDR_339_386",1
"Q8IW50_IDR_1_131",1
"Q8IW52_IDR_567_623",0.526116758671349
"Q8IWD5_IDR_547_586",1
"Q8IWE2_IDR_1_242",0.49614188514026
"Q8IWE2_IDR_404_437",0.50385811485974
"Q8IWE4_IDR_1_85",1
"Q8IWE5_IDR_168_585",1
"Q8IWF2_IDR_643_684",1
"Q8IWF6_IDR_1_50",1
"Q8IWF9_IDR_1_33",0.50514941882091
"Q8IWF9_IDR_234_348",0.49485058117909
"Q8IWG1_IDR_1_33",1
"Q8IWI9_IDR_1091_1337",0.106348840515122
"Q8IWI9_IDR_1340_1371",0.10550352529422
"Q8IWI9_IDR_1398_1903",0.126223319910778
"Q8IWI9_IDR_1905_2856",0.0987822763517276
"Q8IWI9_IDR_261_649",0.10130630408149
"Q8IWI9_IDR_2974_3016",0.114383705551624
"Q8IWI9_IDR_3020_3065",0.111144506682914
"Q8IWI9_IDR_681_751",0.10337473038672
"Q8IWI9_IDR_753_1079",0.132932791225404
"Q8IWJ2_IDR_1_69",0.340541274060012
"Q8IWT3_IDR_1658_1690",0.247557248738719
"Q8IWT3_IDR_2437_2517",0.243108383814227
"Q8IWT6_IDR_180_231",0.503804308736303
"Q8IWT6_IDR_62_95",0.496195691263697
"Q8IWU2_IDR_1_101",0.246484951602697
"Q8IWU2_IDR_1377_1415",0.266579611585292
"Q8IWU2_IDR_1426_1459",0.252371743182809
"Q8IWU2_IDR_557_1314",0.234563693629202
"Q8IWU5_IDR_1_40",0.257292536243052
"Q8IWU5_IDR_557_594",0.23795499861004
"Q8IWU5_IDR_648_718",0.238225757187007
"Q8IWU5_IDR_824_860",0.266526707959901
"Q8IWU6_IDR_1_37",0.264503220446214
"Q8IWU6_IDR_510_543",0.260852363547769
"Q8IWU6_IDR_561_610",0.232087549801536
"Q8IWU6_IDR_666_738",0.242556866204482
"Q8IWU9_IDR_1_60",1
"Q8IWV1_IDR_1_59",0.357831153636118
"Q8IWV1_IDR_178_270",0.323720536921968
"Q8IWV1_IDR_295_398",0.318448309441914
"Q8IX03_IDR_790_917",0.235964202337761
"Q8IX03_IDR_945_991",0.260944966630092
"Q8IX07_IDR_1_83",0.320708902409817
"Q8IX07_IDR_194_247",0.339330351882036
"Q8IX07_IDR_266_972",0.339960745708147
"Q8IX12_IDR_212_357",0.210295887135403
"Q8IX12_IDR_599_722",0.200223158284452
"Q8IX12_IDR_793_917",0.188860807648629
"Q8IX12_IDR_9_144",0.200032409974957
"Q8IX12_IDR_981_1021",0.200587736956558
"Q8IX15_IDR_125_364",0.251751176518518
"Q8IX15_IDR_1_38",0.251592962641502
"Q8IX15_IDR_420_461",0.253503262037771
"Q8IX15_IDR_504_550",0.243152598802208
"Q8IX18_IDR_1_50",0.509434759674141
"Q8IX18_IDR_706_779",0.490565240325859
"Q8IX21_IDR_1_669",1
"Q8IX29_IDR_164_215",0.507428001632445
"Q8IX29_IDR_239_292",0.492571998367556
"Q8IXP5_IDR_108_216",0.523255884141142
"Q8IXP5_IDR_1_106",0.476744115858858
"Q8IXQ3_IDR_1_143",1
"Q8IXQ4_IDR_1_340",1
"Q8IXQ8_IDR_121_193",0.502227475584174
"Q8IXQ8_IDR_211_264",0.497772524415826
"Q8IXR9_IDR_113_272",1
"Q8IXS0_IDR_1_508",1
"Q8IXS8_IDR_289_517",1
"Q8IXT1_IDR_190_937",1
"Q8IXT2_IDR_1_367",1
"Q8IXT5_IDR_241_280",0.326989186348256
"Q8IXT5_IDR_485_921",0.320178485367846
"Q8IXT5_IDR_89_151",0.352832328283898
"Q8IXU6_IDR_336_374",1
"Q8IXW0_IDR_1_47",0.336682322396136
"Q8IXW0_IDR_176_344",0.321028056724958
"Q8IXW0_IDR_466_587",0.342289620878906
"Q8IXW5_IDR_1_41",0.522729722943894
"Q8IXW5_IDR_171_324",0.477270277056106
"Q8IY51_IDR_429_466",1
"Q8IY57_IDR_47_180",1
"Q8IY63_IDR_1_456",0.489297675225283
"Q8IY63_IDR_493_952",0.510702324774717
"Q8IY67_IDR_1_35",0.304568199417126
"Q8IY67_IDR_349_606",0.695431800582874
"Q8IY81_IDR_325_660",1
"Q8IY82_IDR_1_41",1
"Q8IY84_IDR_399_436",0.523249973713544
"Q8IY84_IDR_7_44",0.476750026286456
"Q8IY85_IDR_375_441",0.487395580325265
"Q8IY85_IDR_77_146",0.512604419674735
"Q8IY92_IDR_1_50",0.158498600222977
"Q8IY92_IDR_377_470",0.187273433304633
"Q8IY92_IDR_558_613",0.165246773031179
"Q8IY92_IDR_630_669",0.170197691632171
"Q8IY92_IDR_64_289",0.165309883420593
"Q8IY92_IDR_824_1750",0.153473618388447
"Q8IYE1_IDR_684_715",0.516885235780052
"Q8IYF1_IDR_647_753",0.571611176368707
"Q8IYF1_IDR_79_458",0.428388823631293
"Q8IYG6_IDR_258_542",1
"Q8IYH5_IDR_1_491",0.317787452088175
"Q8IYH5_IDR_573_649",0.350228292856531
"Q8IYH5_IDR_714_786",0.331984255055294
"Q8IYI0_IDR_1_72",1
"Q8IYI6_IDR_104_158",0.512533808680084
"Q8IYI6_IDR_287_328",0.487466191319916
"Q8IYI8_IDR_48_142",1
"Q8IYJ0_IDR_1_101",0.261744287940845
"Q8IYJ0_IDR_112_175",0.237376894432513
"Q8IYJ0_IDR_204_238",0.239449650833864
"Q8IYJ0_IDR_240_282",0.261429166792778
"Q8IYJ3_IDR_62_254",1
"Q8IYK2_IDR_257_371",1
"Q8IYK4_IDR_1_41",0.494078420262765
"Q8IYK4_IDR_584_626",0.505921579737235
"Q8IYU4_IDR_103_475",1
"Q8IYU8_IDR_1_61",1
"Q8IYV9_IDR_255_287",1
"Q8IYW2_IDR_1255_1286",0.161329744453947
"Q8IYW2_IDR_1347_1410",0.176011990454578
"Q8IYW2_IDR_1985_2022",0.163305332136224
"Q8IYW2_IDR_2287_2320",0.166584974817381
"Q8IYW2_IDR_2540_2579",0.167892290800919
"Q8IYW2_IDR_2630_2661",0.164875667336951
"Q8IYW4_IDR_149_544",1
"Q8IZ41_IDR_348_535",0.488507725426829
"Q8IZ41_IDR_77_124",0.511492274573171
"Q8IZ52_IDR_36_81",1
"Q8IZ63_IDR_1_81",0.361095013064765
"Q8IZ63_IDR_360_422",0.328763893108871
"Q8IZ63_IDR_87_332",0.310141093826364
"Q8IZ69_IDR_1_56",0.495895501876367
"Q8IZ69_IDR_591_625",0.504104498123633
"Q8IZ73_IDR_31_122",0.531618858682916
"Q8IZ73_IDR_421_495",0.468381141317084
"Q8IZ96_IDR_1_36",1
"Q8IZA0_IDR_1017_1049",0.342699204288062
"Q8IZA0_IDR_201_244",0.323097588982609
"Q8IZA0_IDR_957_1015",0.334203206729329
"Q8IZA3_IDR_114_346",0.525570099175943
"Q8IZA3_IDR_1_50",0.474429900824057
"Q8IZC4_IDR_185_221",0.385990874593598
"Q8IZC4_IDR_409_445",0.311417365490827
"Q8IZC4_IDR_476_603",0.302591759915575
"Q8IZC6_IDR_1_36",0.483501417233415
"Q8IZI9_IDR_1_34",1
"Q8IZJ1_IDR_461_541",1
"Q8IZJ3_IDR_1518_1548",0.503141657401943
"Q8IZJ3_IDR_1758_1835",0.496858342598057
"Q8IZJ4_IDR_116_211",1
"Q8IZK6_IDR_1_34",1
"Q8IZL2_IDR_1_1108",1
"Q8IZL8_IDR_474_517",0.523787081084602
"Q8IZL8_IDR_637_1130",0.476212918915398
"Q8IZM9_IDR_1_44",1
"Q8IZN3_IDR_1_35",0.512597112030062
"Q8IZN3_IDR_323_488",0.487402887969938
"Q8IZP0_IDR_151_436",1
"Q8IZP1_IDR_352_449",1
"Q8IZP6_IDR_24_93",0.516422532553737
"Q8IZP6_IDR_97_147",0.483577467446263
"Q8IZP7_IDR_1_118",0.460799946876799
"Q8IZP7_IDR_426_459",0.539200053123201
"Q8IZP9_IDR_249_371",0.258506474400513
"Q8IZP9_IDR_39_74",0.24607504075744
"Q8IZU9_IDR_701_778",0.560468186263808
"Q8IZW8_IDR_1_434",1
"Q8IZX4_IDR_1099_1180",0.170642759846995
"Q8IZX4_IDR_1220_1400",0.171964702433523
"Q8IZX4_IDR_1644_1826",0.162546764042434
"Q8IZX4_IDR_268_354",0.166056689143398
"Q8IZX4_IDR_536_578",0.169624973405489
"Q8IZX4_IDR_82_235",0.159164111128161
"Q8IZY2_IDR_1152_1210",0.501686572698611
"Q8IZY2_IDR_2105_2146",0.498313427301389
"Q8J025_IDR_1_34",1
"Q8N0S2_IDR_1_35",0.495407011084926
"Q8N0S2_IDR_260_351",0.504592988915074
"Q8N0S6_IDR_1_59",1
"Q8N0T1_IDR_66_100",1
"Q8N0U2_IDR_133_181",1
"Q8N0U7_IDR_129_172",0.262481572783643
"Q8N0U7_IDR_267_299",0.251006021127737
"Q8N0U7_IDR_37_122",0.2394362331114
"Q8N0U7_IDR_391_467",0.247076172977219
"Q8N103_IDR_1_81",0.444297285777492
"Q8N103_IDR_283_731",0.555702714222508
"Q8N108_IDR_1_176",0.500108583228778
"Q8N108_IDR_344_512",0.499891416771222
"Q8N111_IDR_1_116",1
"Q8N112_IDR_1_42",1
"Q8N114_IDR_130_176",0.503506922068618
"Q8N114_IDR_203_240",0.496493077931382
"Q8N119_IDR_119_161",1
"Q8N122_IDR_762_814",0.498944925934919
"Q8N122_IDR_820_949",0.501055074065081
"Q8N123_IDR_1_92",1
"Q8N128_IDR_1_38",0.504894847148849
"Q8N128_IDR_68_213",0.495105152851151
"Q8N129_IDR_1_32",0.505838339532189
"Q8N129_IDR_202_248",0.494161660467811
"Q8N130_IDR_1_87",1
"Q8N131_IDR_26_161",1
"Q8N137_IDR_1_200",0.311312359464181
"Q8N137_IDR_442_797",0.329638110324646
